"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"41.59","43.95","34548ead","4AC96C","275","47000","390","","GLF5","SE-RKL","1710266740","HAN","BBU","EUW3219","EU","0","-64","EUW3219","EUW"
"42.12","-6.84","3455e5af","49D56E","15","45000","410","","E55P","OK-PHA","1710266740","CMN","BHX","","","0","0","OKPHA",""
"49.78","-11.29","3454f61e","","96","45000","540","","GA6C","","1710266740","","","","","0","64","GA6C",""
"49.57","5.45","3455f0b9","39AE32","59","45000","402","","E55P","F-HLRS","1710266741","EDM","GDN","","","0","0","LWG17G","LWG"
"43.35","-3.61","34558ab9","493291","192","45000","426","","C68A","CS-LTQ","1710266741","DUB","GIB","","","0","0","NJE831G","NJE"
"40.96","37.7","345567c8","","288","45000","362","","F2TH","","1710266739","","","","","0","0","F2TH",""
"40.94","-2.83","3455ef4e","3CD051","17","45000","385","","C25B","D-CGER","1710266741","AGP","GOT","","","0","0","ECA3ER","ECA"
"43.67","-4.44","3455f8d7","","26","43000","465","","GLF5","","1710266740","","","","","0","-64","GLF5",""
"57.48","-5.96","3455dfb3","405FD0","151","43000","459","","LJ45","G-OSRL","1710266740","RKV","MAN","","","0","64","SXN45G","SXN"
"47.74","-3.77","3455e11b","4D2389","202","43000","451","","E550","9H-JFX","1710266740","BQH","FAO","","","0","0","FJO64J","LXJ"
"53.3","-16.63","3455b3cf","","277","43000","420","","GLF5","","1710266743","","","","","0","0","GLF5",""
"42.06","4.64","34555ccb","44B2AD","2","43000","414","","FA7X","OO-LUM","1710266742","BKO","","BAF87","BA","0","64","BAF87","BAF"
"47.04","46.41","345559f3","142AFC","319","43000","414","","GLF4","RA-11044","1710266740","IST","VKO","MMM9632","MM","0","-64","MMM9632","MMM"
"43.35","0.78","3455e3a6","4D243C","59","43000","480","","CL35","9H-VCS","1710266742","CAT","LIN","VJT451","VJ","0","-64","VJT451","VJT"
"47.36","-5.6","3455b004","493294","200","43000","422","","C68A","CS-LTT","1710266742","MAN","OPO","","","0","0","NJE927R","NJE"
"52.48","10.76","3455ad42","3CF62A","17","43000","439","","LJ45","D-CUNI","1710266740","ALC","MMX","UNI137","UN","0","128","UNI137","UNI"
"46.99","1.65","3455be3e","","200","43000","493","","GL5T","","1710266741","","","","","0","-64","GL5T",""
"38.23","40.83","34550d00","","111","42975","559","","GLEX","","1710266735","","","","","0","0","GLEX",""
"47.88","3.78","3455c440","4D2330","332","42975","402","","E550","9H-AFX","1710266741","NCE","FAB","","","0","-64","FJO54A","LXJ"
"41.28","48.29","3455a244","","233","42025","403","","F2TH","","1710266740","","","","","0","1024","F2TH",""
"44.99","9.01","3455f140","344446","230","41025","426","","B738","EC-LUT","1710266740","BTS","MAD","AME807","AM","0","64","AME0807","AEA"
"37.91","42.53","34557c6f","06A0E5","120","41025","570","","A359","A7-AMF","1710266743","ZRH","DOH","QR96","QR","0","0","QTR9B","QTR"
"42.27","29.99","34558d6e","06A0E7","109","41000","509","","A359","A7-AMH","1710266739","LHR","DOH","QR8","QR","0","0","QTR54X","QTR"
"50.72","4.17","34560bc5","4407C0","98","41000","454","","C560","OE-GDM","1710266741","BQH","SZG","","","0","0","OEGDM",""
"33.71","32.01","34557ca0","7380C6","122","41000","532","","B789","4X-EDH","1710266741","CDG","TLV","LY324","LY","0","-64","ELY324","ELY"
"46.93","18.32","3455c00d","89639A","117","41000","490","","A388","A6-EOA","1710266740","LHR","DXB","EK30","EK","0","0","UAE79Y","UAE"
"38.76","38.88","3455e713","4BB0F0","100","41000","548","","A359","TC-LGP","1710266739","IST","DXB","TK760","TK","0","0","THY9LG","THY"
"50.76","3.69","34560c9d","","131","41000","542","","GLF6","","1710266741","","","","","0","64","GLF6",""
"37.32","43.62","345550df","500362","128","41000","548","","GLEX","T7-ALEX3","1710266739","LTN","DWC","","","0","0","T7ALEX3",""
"52.46","-4.36","345613b6","49D508","119","41000","478","","E55P","OK-PHE","1710266742","DUB","MST","","","0","0","OKPHE","AAN"
"35.75","17.11","3455ccc6","02A0AD","101","41000","547","","A332","TS-IFN","1710266742","TUN","JED","TU713","TU","0","-64","TAR713","TAR"
"47.51","8.3","345609d0","48648F","129","41000","497","","C680","PH-UZI","1710266741","MST","ATH","","","0","64","PHUZI",""
