"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"43.97","11.54","3451b591","","302","47000","487","","GA6C","","1710182142","","","","","0","-64","GA6C",""
"42.49","29.81","34527223","4D2371","293","46975","452","","GL7T","9H-VII","1710182138","EBL","ZRH","VJT779","VJ","0","-64","VJT779","VJT"
"42.43","14.4","3452b5c5","","130","45000","537","","GLF6","","1710182141","","","","","0","-64","GLF6",""
"38.61","25.41","34524c10","4D24A1","136","45000","469","","CL35","9H-VCZ","1710182142","RTM","TLV","VJT409","VJ","0","128","VJT409","VJT"
"48.68","15.59","34525691","3CC004","305","45000","448","","LJ45","D-CAAE","1710182140","AYT","RTM","UNI131","UN","0","64","UNI131","UNI"
"46.46","-6.64","34515ced","","90","45000","518","","GL5T","","1710182139","","","","","0","-64","GL5T",""
"45.57","-1.13","34518fe4","","114","45000","551","","GLF6","","1710182142","","","","","0","64","GLF6",""
"56.68","12.41","34527bbd","4631CC","58","45000","402","","C25A","OH-SWI","1710182140","LPL","HEL","ABF1","AB","0","0","ABF1","ABF"
"44.92","-0.99","345273be","3CD3C6","24","45000","393","","PC24","D-CHMS","1710182140","AGP","AMS","PTN954","PT","0","64","PTN954","PTN"
"44.77","21.58","3452780f","4D2149","88","44975","481","","CL35","9H-VCO","1710182140","LYN","OTP","VJT449","VJ","0","-64","VJT449","VJT"
"47.22","-3.95","345256cd","44B4A4","33","43000","420","","LJ45","OO-MED","1710182140","FNC","BHX","","","0","0","OOMED",""
"41.1","16.97","34529ffa","491D8B","303","43000","460","","GLEX","CS-GLK","1710182140","ATH","LBG","","","0","-128","NJE497N","NJE"
"50.7","11.7","34527fd9","45A94A","211","43000","461","","HA4T","OY-JJJ","1710182140","TLL","ACH","JNJ9107","JN","0","0","JNJ9107","SUS"
"52.04","12.84","345280ce","49D2A8","210","43000","413","","BE4W","OK-ESC","1710182141","TLL","ZRH","","","0","0","JBC378D","JBC"
"43.06","24.84","3450db81","4CAD45","272","43000","439","","A359","EI-IFB","1710182142","HND","FCO","AZ793","AZ","0","0","ITY793","ITY"
"39.15","-7.46","34523561","49410C","186","43000","421","","E55P","CS-PHL","1710182140","MAN","FAO","","","0","0","NJE244K","NJE"
"39.81","12.47","34528ad6","","282","43000","431","","GLEX","","1710182142","","","","","0","0","GLEX",""
"51.28","4.02","34524b8e","4D211A","288","43000","464","","GLEX","9H-VJR","1710182139","MUC","NHT","VJT915","VJ","0","64","VJT915","VJT"
"42.49","29.79","3451304a","406D6F","302","42975","444","","B788","G-TUIH","1710182138","HKT","CPH","6B372","6B","0","-64","BLX372","TUI"
"42.57","-3.69","3452ae7e","4D20E8","357","42975","414","","CL35","9H-VCF","1710182141","MAD","FAB","VJT486","VJ","0","-64","VJT486","VJT"
"61.39","-1.09","34524287","459D6E","126","41000","465","","A338","OY-GKN","1710182141","SFJ","CPH","GL780","GL","0","0","GRL780","GRL"
"40.23","36.98","34525e58","48AE04","107","41000","553","","B788","SP-LRE","1710182142","WAW","DEL","LO71","LO","0","0","LOT71","LOT"
"36.76","16.34","3452840c","4BA9C1","51","41000","546","","A332","TC-JNA","1710182141","ORN","IST","TK494","TK","0","0","THY3DJ","THY"
"46.42","18.8","3452877d","600B78","102","41000","476","","GLF4","4K-AZ888","1710182141","LBG","GYD","","","0","64","ESW8M","ESW"
"45.88","18.95","34528d18","4BB1E1","130","41000","458","","A333","TC-LOA","1710182140","FRA","IST","TK1594","TK","0","64","THY4MG","THY"
"53.21","-12.78","3451bfab","4007F3","103","41000","526","","B772","G-YMMH","1710182139","EWR","LHR","BA180","BA","0","0","BAW46K","BAW"
"51.54","-1.6","3451c3df","","100","41000","544","","GLF6","","1710182140","","","","","0","64","GLF6",""
"35.37","26.22","34525b61","","146","41000","470","","F900","","1710182140","","","","","0","576","F900",""
"40.44","35.8","3452a449","4BCE12","72","41000","498","","B738","TC-SPR","1710182140","ADB","TZX","XQ9270","XQ","0","0","SXS4F","SXS"
"42.74","-1.7","34529cd4","44A82F","207","41000","434","","B737","OO-JAO","1710182142","ORY","RAK","TB7522","TB","0","0","JAF79J","TUI"
"46.63","14.72","34529bc6","4BA933","128","41000","460","","A332","TC-JIS","1710182142","BRU","IST","TK1940","TK","0","0","THY40B","THY"
"37.99","26.0","345265db","48AF00","151","41000","435","","B38M","SP-LVA","1710182142","WAW","CAI","LO149","LO","0","-64","LOT149","LOT"
"37.99","42.27","3451feab","06A0AB","117","41000","543","","B788","A7-BCG","1710182139","BHX","DOH","QR34","QR","0","0","QTR79R","QTR"
"39.38","38.7","3452079d","406A9C","115","41000","553","","B788","G-ZBJE","1710182140","LHR","MAA","BA35","BA","0","-64","BAW35","BAW"
