"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"45.25","24.56","34542fab","4D2322","297","47000","470","","GL7T","9H-VIE","1710246941","JAI","LTN","VJT133","VJ","0","0","VJT133","VJT"
"40.79","24.73","34548941","","265","46975","440","","GL7T","","1710246941","","","","","0","-64","GL7T",""
"39.77","37.81","3454aa5b","","91","45025","525","","FA7X","","1710246939","","","","","0","0","FA7X",""
"44.05","43.57","3454d63b","15063B","92","45025","548","","GL5T","RA-67131","1710246939","AER","","RFE9732","RF","0","0","RFE9732","TUL"
"46.15","0.86","3454eb61","45A94B","356","45000","427","","HA4T","OY-JJK","1710246942","PMI","BLL","","","0","64","JNJ5KC",""
"40.38","0.76","3454ee31","020199","227","45000","440","","CL30","CN-EMM","1710246939","GVA","CMN","","","0","0","CNEMM",""
"38.98","26.22","3454eecd","44B4A4","311","45000","397","","LJ45","OO-MED","1710246940","PFO","LGG","","","0","-128","OOMED",""
"35.87","30.98","3454a0ce","486442","131","45000","451","","C56X","PH-GHZ","1710246940","ANR","LCA","","","0","-64","PHGHZ",""
"51.46","5.03","3454da6c","490D07","212","45000","446","","CL35","CS-CHG","1710246942","BMA","AGP","","","0","0","NJE661L","NJE"
"48.12","2.17","3454c979","471841","53","43025","436","","C650","HA-JEV","1710246942","AGP","HAM","JSG259","JS","0","0","JSG259","JSH"
"38.75","19.99","34548e95","","305","43000","450","","GLF5","","1710246941","","","","","0","0","GLF5",""
"47.35","46.82","3454e42e","151F69","138","43000","585","","GL5T","RA-73577","1710246939","VKO","GYD","","","0","0","RLA7771",""
"39.8","-4.48","3454f345","49410C","33","43000","415","","E55P","CS-PHL","1710246941","FAO","GRQ","","","0","64","NJE422P","NJE"
"43.07","-4.03","3454cfe7","4912C8","185","43000","392","","C25B","CS-DVH","1710246939","BQH","AGP","VVV232","VV","0","0","VVV232","VVV"
"39.74","14.76","3454eabe","","332","43000","480","","GA6C","","1710246941","","","","","0","64","GA6C",""
"41.9","4.62","3454e1aa","48D000","49","43000","456","","CL35","SP-WAA","1710246940","AGP","KRK","","","0","0","JDI22R","JDI"
"47.15","1.65","3454dfe4","","209","43000","448","","F2TH","","1710246940","","","","","0","-64","F2TH",""
"50.01","10.78","345501fe","493298","312","43000","391","","C68A","CS-LTX","1710246942","INN","AMS","","","0","0","NJE3TQ","NJE"
"39.36","25.89","3454d419","A94DB8","322","43000","448","","G280","N699SC","1710246942","TLV","BFS","","","0","64","N699SC",""
"42.08","31.57","3454d402","440C58","288","43000","404","","F2TH","OE-HCY","1710246940","TBS","NCE","SKV111","SK","0","64","SKV111","SKV"
"40.55","38.69","3454f0f3","49118D","242","43000","386","","F2TH","CS-DLM","1710246939","TBS","LCA","","","0","0","NJE785U","NJE"
"53.03","9.27","3454efaa","407FA0","218","43000","467","","E550","G-RORE","1710246939","CPH","LUX","","","0","0","FLJ64G",""
"55.0","-7.59","3454d116","A98B45","290","42975","400","","GLF3","N714DS","1710246942","RMS","","PH604","PH","0","0","GRB604",""
"35.61","30.95","3454f084","3CE997","286","42975","329","","PC24","D-CPTN","1710246941","LCA","CMF","PTN946","PT","0","0","PTN946","PTN"
"46.62","20.09","34547b17","500388","296","42975","494","","GL7T","T7-MAHA","1710246940","SHJ","LBG","","","0","-64","T7MAHA",""
"55.87","-4.43","3455062f","407022","90","42825","3","","A320","G-GATU","1710246890","","","BA9999","BA","0","0","BA9999","BAW"
"48.99","9.29","345491e7","","328","41250","459","","GLF6","","1710246939","","","","","0","-1024","GLF6",""
"40.52","35.75","3454ac4d","8963F1","106","41025","553","","A388","A6-EOT","1710246941","CDG","DXB","EK72","EK","0","-128","UAE25K","UAE"
"56.02","19.6","34549eb4","4A81F9","280","41025","414","","GLF4","102002","1710246942","QEI","","SVF680","SV","0","0","SVF680","SVF"
"46.37","9.86","34550b7a","4D2526","112","41000","522","","FA7X","9H-XONE","1710246942","VIP","ATH","TYJ459","TY","0","64","TYJ459","TJS"
"40.49","20.78","3454f2d7","896556","95","41000","489","","B38M","A6-FMN","1710246942","NAP","DXB","FZ1682","FZ","0","0","FDB93Q","FDB"
"40.47","35.95","34549c28","896462","115","41000","541","","A388","A6-APG","1710246941","LHR","AUH","EY12","EY","0","0","ETD81C","ETD"
"39.62","38.62","34549ad1","8005EF","99","41000","549","","B788","VT-ANE","1710246942","LHR","DEL","AI162","AI","0","-64","AIC162","AIC"
"36.43","48.73","3454bf80","7335A5","115","41000","538","","A346","EP-MME","1710246938","IST","IKA","W5117","W5","0","0","IRM117","IRM"
"39.31","40.14","3454e585","8965C0","109","41000","524","","B38M","A6-FPA","1710246940","SAW","DXB","FZ752","FZ","0","0","FDB7MT","FDB"
"37.87","25.84","3454e584","","333","41000","492","","GLF6","","1710246942","","","","","0","64","GLF6",""
"50.56","-13.45","345436d8","AA9F76","86","41000","517","","B788","N784AV","1710246940","BOG","LHR","AV120","AV","0","-64","AVA120","AVA"
"52.22","9.37","3454d42c","4B17DE","185","41000","433","","BCS1","HB-JBA","1710246942","OSL","ZRH","LX5111","LX","0","0","SWR5111","SWR"
"39.72","23.7","3454dfe3","","129","41000","484","","F2TH","","1710246940","","","","","0","-64","F2TH",""
"55.65","-4.77","345420c8","407FCC","143","41000","512","","A35K","G-XWBR","1710246939","PHX","LHR","BA288","BA","0","0","BAW3PB","BAW"
"42.54","29.18","3454ae4f","8963F7","118","41000","505","","A388","A6-EOZ","1710246942","LGW","DXB","EK12","EK","0","0","UAE12","UAE"
"57.91","-8.01","345422c5","39C494","136","41000","493","","A359","F-HREU","1710246941","SFO","ORY","BF711","BF","0","0","FBU75A","FBU"
"42.05","30.83","3454ad72","8940A1","109","41000","534","","B789","A9C-FJ","1710246940","LHR","BAH","GF2","GF","0","-64","GFA002","GFA"
"40.89","34.41","34549dac","896186","107","41000","541","","A388","A6-EEG","1710246940","MAN","DXB","EK22","EK","0","0","UAE6AQ","UAE"
"40.43","50.39","34549fac","","99","41000","520","","F900","","1710246942","","","","","0","0","F900",""
