"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"46.21","-14.73","34536bcf","406D7A","225","33975","439","","B789","G-ZBKD","1710201935","LHR","SCL","BA251","BA","0","0","BAW251","BAW"
"57.98","-14.2","345371f1","0D0BBA","291","35975","457","","B789","XA-MFG","1710201943","LHR","MEX","AM8","AM","0","0","AMX008","AMX"
"36.11","-14.03","3453793d","345251","237","37975","448","","B788","EC-MLT","1710201926","MAD","VVI","UX25","UX","0","0","AEA025","AEA"
"36.68","-13.89","34537ead","E80472","225","33975","460","","B789","CC-BGW","1710201939","MAD","SCL","LA705","LA","0","0","LAN705","LAN"
"38.49","-13.29","34534a9b","3C4B35","222","32000","436","","B748","D-ABYU","1710201932","FRA","EZE","LH510","LH","0","0","DLH510","DLH"
"37.32","-12.94","34532b7f","4952B2","240","34425","453","","A339","CS-TUR","1710201937","LIS","GRU","TP87","TP","0","1024","TAP087","TAP"
"36.68","-12.86","3453464a","3C4B2A","214","31000","483","","B748","D-ABYJ","1710201939","FRA","GRU","LH506","LH","0","0","DLH506","DLH"
"44.3","-12.76","34532d1c","3949F8","226","32000","457","","B772","F-GSPY","1710201943","CDG","SCL","AF406","AF","0","0","AFR406","AFR"
"37.78","-12.69","34538388","347643","247","33950","461","","B789","EC-OEM","1710201941","MAD","LIM","UX175","UX","0","960","AEA175","AEA"
"34.48","-12.66","34538c0f","4ACA8B","33","36000","470","","B38M","SE-RTK","1710201939","TFS","HEL","D82879","D8","0","0","NSZ9LH","NOZ"
"37.35","-12.62","34538376","3451CF","243","36975","446","","B788","EC-MIH","1710201939","MAD","MVD","UX45","UX","0","-64","AEA045","AEA"
"37.87","-12.55","3453a470","4952A1","246","29975","472","","A339","CS-TUA","1710201941","LIS","GIG","TP75","TP","0","768","TAP075","TAP"
"56.01","-12.5","34534cbf","4CC56E","344","37950","447","","A20N","TF-PPF","1710201939","LIS","KEF","OG695","OG","0","0","FPY15L","FPY"
"53.94","-12.47","3452ce1d","896190","93","35000","557","","A388","A6-EEQ","1710201942","YYZ","DXB","EK242","EK","0","0","UAE242","UAE"
"56.16","-12.4","34534473","4CC546","338","35025","423","","A21N","TF-PLB","1710201943","MAD","KEF","OG665","OG","0","64","FPY9B","FPY"
"46.71","-12.38","34537031","4007F3","210","34000","449","","B772","G-YMMH","1710201943","LHR","GIG","BA249","BA","0","0","BAW249","BAW"
"51.41","-11.79","3452c145","4BB1C5","107","37000","528","","A333","TC-LNE","1710201941","JFK","IST","TK4","TK","0","0","THY4","THY"
"35.42","-11.75","345385d1","461FA0","24","32000","462","","A321","OH-LZK","1710201934","LPA","HEL","AY1724","AY","0","-64","FIN18T","FIN"
"52.82","-11.71","3452ad9f","4BB0EF","96","39000","553","","A359","TC-LGO","1710201942","ORD","IST","TK186","TK","0","0","THY84U","THY"
"40.31","-11.57","34538e66","346555","264","39000","436","","A359","EC-NLP","1710201942","MAD","BOG","IB6589","IB","0","0","IBE6589","IBE"
"36.98","-11.53","3453a386","495152","226","37000","428","","A21N","CS-TJR","1710201942","LIS","FNC","TP1697","TP","0","0","TAP97LS","TAP"
"44.87","-10.84","3453822c","A540E2","317","31000","455","","B789","N438AM","1710201943","MAD","MEX","AM22","AM","0","0","AMX022","AMX"
"42.27","-10.83","34537375","39CF05","225","35000","476","","A359","F-HTYF","1710201941","CDG","GRU","AF454","AF","0","0","AFR454","AFR"
"50.56","-10.63","3453aaec","C2B5AD","100","25025","367","","C30J","130614","1710201941","","","CFC2591","CF","0","128","CFC2591","CFC"
"36.38","-10.32","345384db","34558E","220","34975","469","","B789","EC-MSZ","1710201941","MAD","ASU","UX23","UX","0","64","AEA023","AEA"
"43.12","-9.84","345390f7","34754D","280","36000","450","","A359","EC-OAY","1710201941","MAD","MEX","IB6409","IB","0","0","IBE6409","IBE"
"62.23","-9.75","3452a500","4243C4","290","34000","475","","B748","VQ-BVC","1710201936","GYD","KEF","7L5721","7L","0","0","AZG5721","AZG"
