"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"62.18","-14.04","3453cc14","80165C","119","39000","447","","B38M","VT-BXN","1710207343","KEF","KWI","IX4","IX","0","64","AXB004",""
"35.82","-13.04","3453b709","346385","229","32975","462","","B789","EC-NGN","1710207335","MAD","EZE","UX41","UX","0","0","AEA041","AEA"
"56.07","-10.86","3453d543","AE117D","280","30025","385","","C17","02-1111","1710207223","","","RCH315","RC","0","256","RCH315","RCH"
"40.88","-10.75","3452a5d5","345353","93","39000","506","","B788","EC-MOM","1710207339","SAP","MAD","UX16","UX","0","0","AEA016","AEA"
"49.25","-10.46","345311ac","A0A522","96","37000","528","","B78X","N14001","1710207341","EWR","TLV","UA84","UA","0","0","UAL84","UAL"
"38.78","-9.14","3453a107","496C6A","343","0","0","","GRND","","1710207338","LIS","","","","1","0","MN084",""
"38.77","-9.13","3453a70d","496C29","188","0","0","","GRND","","1710207342","LIS","","","","1","0","FM007",""
"37.16","-8.61","3453a416","49003D","180","0","0","","GRND","DU23F","1710207341","","","","","1","0","",""
"38.94","-8.26","3453ce4a","34740F","246","36975","466","","B788","EC-NZG","1710207341","MAD","UIO","UX39","UX","0","-64","AEA039","AEA"
"66.29","-7.9","3451f78f","86E778","155","40975","472","","B789","JA871A","1710207342","HND","FRA","NH203","NH","0","0","ANA203","ANA"
"53.42","-6.25","3453ac1c","4CA295","168","0","0","","A320","EI-DEO","1710207340","DUB","","","","1","0","EIDEO","EIN"
"44.42","-6.08","34538c0f","4ACA8B","36","36000","440","","B38M","SE-RTK","1710207340","TFS","HEL","D82879","D8","0","0","NSZ9LH","NOZ"
"36.54","-5.82","34537a8b","44CCC8","23","38000","451","","A333","OO-SFH","1710207340","DSS","BRU","SN204","SN","0","0","BEL24D","BEL"
"36.68","-5.24","3453af14","4CAE05","53","38000","454","","B38M","EI-RZE","1710207340","TFS","MXP","NO1461","NO","0","0","NOS1461","NOS"
"45.26","-4.99","345385d1","461FA0","44","32000","439","","A321","OH-LZK","1710207341","LPA","HEL","AY1724","AY","0","0","FIN18T","FIN"
"36.68","-4.5","3453ac71","3413C2","208","0","1","","GRND","","1710207341","","","","","1","0","H8",""
"36.13","-4.39","3453499d","020145","224","37000","436","","A320","CN-NMO","1710207340","SAW","CMN","3O438","3O","0","0","MAC438","ABY"
"38.24","-4.1","3453c86d","34520E","247","33000","449","","A332","EC-MMG","1710207342","BCN","EZE","IB2601","IB","0","0","IBE2601","IBE"
"40.5","-3.7","3453c57e","10C307D4","0","0","0","","GLID","WW-MP","1710207323","","","","","1","0","WWMP",""
"40.5","-3.7","3453c4b8","10C3088C","0","0","0","","GLID","IGC-16","1710207339","","","","","1","0","IGC16",""
"40.49","-3.58","3453e20a","3472CC","350","0","11","","A20N","EC-NTQ","1710207342","MAD","","","","1","0","","IBE"
"40.46","-3.54","3453dded","344305","45","0","0","","A333","EC-LUK","1710207342","MAD","","","","1","0","","IBE"
"49.5","-3.34","34529902","8964A1","101","35000","538","","B77W","A6-EQI","1710207339","DFW","DXB","EK222","EK","0","0","UAE4M","UAE"
"35.8","-3.27","34534128","4892C2","38","36000","454","","B38M","SP-EXC","1710207342","SID","WAW","E47004","E4","0","0","ENT7004","ENT"
"54.83","-2.82","3453d42e","40761A","334","25250","382","","B734","G-NPTX","1710207339","STN","EDI","","","0","-192","NPT10K","NPT"
"40.16","-2.45","3453df5d","342155","132","18000","278","","AT43","EC-JBX","1710207339","MAD","PMI","MDF332","MD","0","512","MDF332","SWT"
"53.35","-2.28","3453a0d7","4CAD54","45","0","17","","B38M","EI-HGV","1710207342","WRO","MAN","FR8307","FR","1","0","RYR5WH","RYR"
"53.36","-2.27","3453dd01","4258BD","196","0","1","","GRND","","1710207274","","","","","1","0","OPS3",""
"53.03","-2.17","3453d164","407477","305","34000","378","","B738","G-NPTA","1710207340","STN","BFS","","","0","0","NPT2C","NPT"
"34.79","-1.94","3453a9c6","01015C","61","0","0","","A333","SU-GDT","1710207339","OUD","CAI","MS3016","MS","1","0","MSR3016","MSR"
"53.21","-1.77","3453e3bd","407504","339","16350","372","","B734","G-CKUZ","1710207340","EMA","","","","0","2624","NPT10K","NPT"
"34.9","-1.76","3453d3d6","4BC882","54","33000","465","","A21N","TC-RDB","1710207339","CMN","SAW","PC652","PC","0","0","PGT652","PGT"
"52.46","-1.75","34539066","424A83","47","0","18","","GRND","","1710207340","","","","","1","0","RANGER9",""
"52.45","-1.74","3453d311","424A7D","126","0","7","","GRND","","1710207342","","","","","1","0","RANGER5",""
"52.45","-1.73","3453bfca","424A7E","53","0","11","","GRND","","1710207342","","","","","1","0","RANGER6",""
