"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"43.19","51.95","34548ead","4AC96C","236","47000","432","","GLF5","SE-RKL","1710263142","HAN","BBU","EUW3219","EU","0","-64","EUW3219","EUW"
"41.83","40.03","34555faf","600BC8","93","45000","550","","GLF6","4K-ASG","1710263129","NCE","GYD","ESW65","ES","0","64","ESW65","ESW"
"63.13","21.58","34553f2f","39C642","25","45000","398","","C25A","F-HRSC","1710263140","NCE","RVN","","","0","0","FHRSC",""
"49.58","7.72","3455be4c","4D2489","278","45000","401","","CL35","9H-VCX","1710263141","VIE","LBG","VJT443","VJ","0","0","VJT443","VJT"
"46.03","15.48","3455d23d","493282","323","43000","400","","C68A","CS-LTB","1710263140","TIV","BRU","","","0","0","NJE567M","NJE"
"39.64","2.64","3454a25c","","77","43000","511","","GLEX","","1710263141","","","","","0","64","GLEX",""
"57.49","-9.89","345576b9","","279","43000","446","","GLF5","","1710263140","","","","","0","0","GLF5",""
"50.03","5.25","34554abe","4D2342","332","43000","413","","E550","9H-IFX","1710263141","SIR","LTN","","","0","0","FJO62L","LXJ"
"50.36","-5.4","34558ab9","493291","165","43000","440","","C68A","CS-LTQ","1710263140","DUB","GIB","","","0","0","NJE831G","NJE"
"51.39","2.27","34556809","","286","43000","454","","GL7T","","1710263140","","","","","0","-64","GL7T",""
"41.49","43.51","345559f3","142AFC","80","43000","530","","GLF4","RA-11044","1710263140","IST","VKO","MMM9632","MM","0","0","MMM9632","MMM"
"51.54","10.83","3455c85c","4932A1","278","43000","413","","C68A","CS-LUA","1710263140","KRK","LTN","","","0","0","NJE390L","NJE"
"45.78","7.0","3455ad42","3CF62A","33","43000","428","","LJ45","D-CUNI","1710263142","ALC","MMX","UNI137","UN","0","0","UNI137","UNI"
"62.9","-16.62","3455dfb3","405FD0","118","43000","461","","LJ45","G-OSRL","1710263140","RKV","MAN","","","0","0","SXN45G","SXN"
"43.94","17.12","3455be03","","317","43000","504","","GA5C","","1710263141","","","","","0","0","GA5C",""
"53.8","8.39","3455be3e","","219","43000","481","","GL5T","","1710263140","","","","","0","0","GL5T",""
"42.21","30.32","34550d00","","110","43000","527","","GLEX","","1710263140","","","","","0","64","GLEX",""
"58.95","-14.53","34553c8f","","274","43000","478","","GL7T","","1710263139","","","","","0","0","GL7T",""
"45.38","11.59","3455a41e","3CD43B","346","43000","360","","C25B","D-CHRF","1710263142","PMO","DUS","HR910","HR","0","-128","HHN910","HHN"
"41.36","4.42","3455b99e","440658","25","43000","390","","C25C","OE-GTI","1710263142","PMI","SZG","MOZ10","MO","0","-64","MOZ10",""
"55.01","6.01","34556e92","02019A","22","42975","422","","LJ45","CNTMV","1710263141","ALC","OSL","","","0","-64","AOM396M",""
"45.45","5.17","3455b2a2","491188","50","42975","454","","F2TH","CS-DLH","1710263141","MAD","FRA","","","0","64","NJE269U","NJE"
"38.86","44.27","345567c8","","315","42975","392","","F2TH","","1710263142","","","","","0","0","F2TH",""
"52.77","45.94","34556452","507C55","294","42975","456","","B788","UK78705","1710263139","TAS","DME","HY601","HY","0","0","UZB601","UZB"
"35.4","-7.83","3455e5af","49D56E","356","42750","368","","E55P","OK-PHA","1710263140","CMN","BHX","","","0","1024","OKPHA",""
"35.32","1.53","34555ccb","44B2AD","27","42675","478","","FA7X","OO-LUM","1710263140","BKO","","BAF87","BA","0","512","BAF87","BAF"
"49.83","3.88","3455deb8","39C466","221","42500","400","","E55P","F-HRDG","1710263140","DUS","MPL","","","0","704","FHRDG",""
"52.23","-5.57","3455b3cf","","281","41400","394","","GLF5","","1710263139","","","","","0","768","GLF5",""
"35.55","-9.67","34557574","4CADF6","206","41000","414","","B38M","EI-IHK","1710263141","BRS","ACE","FR4755","FR","0","0","RYR1JL","RYR"
"43.61","26.35","34556ae3","06A145","116","41000","502","","A388","A7-APD","1710263141","LHR","DOH","QR4","QR","0","0","QTR52U","QTR"
"41.81","40.32","34557934","502D81","92","41000","548","","GLEX","YL-DAM","1710263138","VIE","ALA","","","0","0","UAG28S","UAG"
"39.98","38.51","345579c9","06A0AB","116","41000","550","","B788","A7-BCG","1710263140","WAW","DOH","QR260","QR","0","-64","QTR70U","QTR"
"47.24","6.27","3455d538","484F18","357","41000","402","","B738","PH-BCB","1710263140","NCE","AMS","KL1258","KL","0","0","KLM54H","KLM"
"39.23","40.42","345572da","06A100","111","41000","554","","A359","A7-ALL","1710263135","VIE","DOH","QR184","QR","0","0","QTR41U","QTR"
"40.52","35.34","34555a4c","06A0E8","117","41000","520","","A359","A7-AMI","1710263143","BRU","DOH","QR194","QR","0","0","QTR194","QTR"
"39.74","37.94","3455561d","06A0BE","115","41000","542","","B788","A7-BCZ","1710263139","DUS","DOH","QR86","QR","0","0","QTR63A","QTR"
"37.98","44.49","34555894","896530","116","41000","522","","B38M","A6-FMJ","1710263128","LJU","DXB","FZ1790","FZ","0","64","FDB1790","FDB"
"38.03","42.39","345553e3","06A0A6","125","41000","548","","B788","A7-BCB","1710263143","PRG","DOH","QR292","QR","0","0","QTR292","QTR"
"41.13","33.79","34555a55","896181","117","41000","528","","A388","A6-EEB","1710263141","AMS","DXB","EK148","EK","0","0","UAE31V","UAE"
"38.1","23.45","34555a61","4D24A9","141","41000","491","","B744","9H-AKJ","1710263142","EMA","JED","SV3046","SV","0","0","SVA3046",""
"42.04","31.44","34555acd","89649D","112","41000","525","","A388","A6-API","1710263139","LHR","AUH","EY20","EY","0","64","ETD71M","ETD"
"37.38","26.86","34555b26","484443","137","41000","484","","A332","PH-AOD","1710263140","AMS","RUH","KL417","KL","0","0","KLM417","KLM"
"42.03","30.9","34554e37","400774","109","41000","519","","B772","G-VIIW","1710263139","LHR","BAH","BA125","BA","0","0","BAW125","BAW"
"38.53","43.07","345547cc","8963E5","110","41000","555","","A388","A6-EOH","1710263139","ZRH","DXB","EK88","EK","0","0","UAE87Q","UAE"
"41.29","33.38","3455487f","89639C","117","41000","521","","A388","A6-EOC","1710263139","LGW","DXB","EK16","EK","0","0","UAE47L","UAE"
"43.0","28.58","34554e34","89639B","129","41000","514","","A388","A6-EOB","1710263140","GLA","DXB","EK28","EK","0","0","UAE9H","UAE"
"42.25","30.07","34554f9c","8963F3","109","41000","523","","A388","A6-EOV","1710263141","MAN","DXB","EK18","EK","0","64","UAE73J","UAE"
"41.01","34.09","345550df","500362","117","41000","526","","GLEX","T7-ALEX3","1710263139","LTN","DWC","","","0","192","T7ALEX3",""
"42.18","30.41","345551b8","896478","106","41000","527","","A388","A6-EUN","1710263140","BHX","DXB","EK40","EK","0","0","UAE40","UAE"
"37.57","45.55","345552c7","8963EA","124","41000","552","","A388","A6-EOM","1710263140","FCO","DXB","EK98","EK","0","0","UAE32L","UAE"
"43.16","27.92","345564b6","06A0AA","121","41000","507","","B788","A7-BCF","1710263142","LGW","DOH","QR328","QR","0","-64","QTR328","QTR"
"38.93","41.67","3455654b","896456","109","41000","550","","A388","A6-EUA","1710263140","VIE","DXB","EK128","EK","0","64","UAE54J","UAE"
"45.18","22.8","345566f2","06A0C1","121","41000","496","","B788","A7-BDC","1710263142","DUB","DOH","QR18","QR","0","-64","QTR78G","QTR"
"50.58","9.94","3455676a","4D2066","107","41000","499","","GLEX","9H-VTE","1710263139","EDI","BOM","VJT182","VJ","0","-64","VJT182","VJT"
"45.96","2.51","3455e0f5","4D0231","175","41000","520","","GLF5","LX-JNE","1710263140","LBG","BCN","","","0","64","SVW22NE","SVW"
"40.05","36.55","34555d5f","06A10A","117","41000","520","","A359","A7-ALV","1710263139","GVA","DOH","QR100","QR","0","0","QTR20B","QTR"
"49.53","21.67","3455d958","48AF08","168","41000","446","","B38M","SP-LVI","1710263142","WAW","CAI","LO149","LO","0","0","LOT149","LOT"
"44.09","25.88","34555f90","06A102","120","41000","500","","A359","A7-ALN","1710263141","EDI","DOH","QR30","QR","0","0","QTR26W","QTR"
"40.95","34.51","34556166","","113","41000","524","","FA8X","","1710263143","","","","","0","0","FA8X",""
"39.68","7.96","3455c3a3","6355B5","114","41000","558","","GLEX","N98WG","1710263139","VLC","BLR","","","0","-128","N98WG",""
"46.36","19.82","34558d6e","06A0E7","119","41000","488","","A359","A7-AMH","1710263140","LHR","DOH","QR8","QR","0","64","QTR54X","QTR"
"47.18","0.81","3455beb9","06A1ED","179","41000","500","","B77L","A7-BFP","1710263141","LHR","ZAZ","QR8271","QR","0","0","QTR8271","QTR"
"49.47","11.27","3455acfb","501E45","322","41000","366","","C25A","9A-JSD","1710263138","RJK","DUS","","","0","0","JSY1R","JSY"
"38.92","23.47","34557ca0","7380C6","130","41000","519","","B789","4X-EDH","1710263140","CDG","TLV","LY324","LY","0","-64","ELY324","ELY"
"46.66","12.02","3455d1a1","49D4CF","232","41000","446","","E55P","OK-STS","1710263141","OSR","BCN","","","0","0","QAV30E","QAV"
"41.56","32.62","34557c6f","06A0E5","110","41000","538","","A359","A7-AMF","1710263138","ZRH","DOH","QR96","QR","0","64","QTR9B","QTR"
