"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"39.92","7.48","3451e76b","","122","45025","538","","GLF5","","1710194742","","","","","0","64","GLF5",""
"38.03","30.58","345321ff","400215","126","44975","522","","GLF5","VP-CMS","1710194741","BUD","ADJ","","","0","64","VPCMS",""
"41.91","-0.3","3453472a","4CA24F","286","41025","378","","B738","EI-DCW","1710194741","MRS","OPO","FR6531","FR","0","0","RYR4CF","RYR"
"34.86","18.8","34529517","06A0BE","92","41000","560","","B788","A7-BCZ","1710194741","ACC","DOH","QR1424","QR","0","-64","QTR91C","QTR"
"46.4","20.76","345325e5","89647A","119","41000","477","","A388","A6-EUP","1710194739","DUS","DXB","EK58","EK","0","0","UAE58","UAE"
"40.6","35.38","34527821","80073C","106","41000","554","","B788","VT-ANV","1710194739","CDG","DEL","AI142","AI","0","0","AIC142","AIC"
"45.46","22.57","3452f65f","70C0AC","115","41000","475","","A332","A4O-DF","1710194739","ZRH","MCT","WY154","WY","0","0","OMA154","OMA"
"34.05","-6.72","3452f77c","4CA912","215","41000","416","","B738","EI-EPD","1710194740","SXB","AGA","FR9500","FR","0","0","RYR95H","RYR"
"53.49","6.05","34526b5c","45D966","34","41000","464","","A332","OY-VKF","1710194739","SID","BLL","DK445","DK","0","0","VKG445","VKG"
"42.44","29.43","3452da28","06A11F","117","41000","520","","A35K","A7-ANC","1710194738","LHR","DOH","QR12","QR","0","0","QTR29U","QTR"
"41.38","33.05","3452f391","70C0AD","111","41000","540","","A332","A4O-DG","1710194738","FRA","MCT","WY116","WY","0","64","OMA116","OMA"
"38.62","-0.75","34534126","4CAE57","216","41000","438","","B38M","EI-IJG","1710194742","MRS","FEZ","FR5162","FR","0","0","RYR49ZM","RYR"
"50.27","20.0","34533735","06A2F1","144","41000","468","","B789","A7-BHN","1710194741","CPH","DOH","QR164","QR","0","-64","QTR164","QTR"
"50.56","10.23","34531c41","4BA92F","108","41000","466","","A332","TC-JIO","1710194740","AMS","IST","TK1956","TK","0","64","THY77U","THY"
"52.6","5.05","345345d9","48C123","82","41000","455","","B738","SP-RKD","1710194741","BHX","POZ","FR5074","FR","0","0","RYR183X","RYR"
"49.33","15.47","34532062","800739","113","41000","474","","B788","VT-ANS","1710194741","BHX","DEL","AI114","AI","0","-64","AIC114","AIC"
"48.46","13.13","34532ec6","89645B","112","41000","486","","A388","A6-EUF","1710194742","LGW","DXB","EK10","EK","0","0","UAE28Y","UAE"
"43.92","25.45","3452ef20","896408","115","41000","502","","B789","A6-BLC","1710194741","LHR","AUH","EY26","EY","0","0","ETD42B","ETD"
"47.29","1.03","345351d0","4D0290","184","41000","486","","LJ45","LX-RSQ","1710194742","BQH","AGP","","","0","0","LRQ119J","LRQ"
"46.52","19.4","345312e9","70C0FD","116","41000","482","","B789","A4O-SG","1710194741","LHR","MCT","WY102","WY","0","-64","OMA102","OMA"
"42.44","33.26","3452ddf6","8005EB","98","41000","552","","B788","VT-ANA","1710194739","AMS","DEL","AI156","AI","0","-64","AIC156","AIC"
"39.55","15.26","345347b8","06A103","129","41000","530","","A359","A7-ALO","1710194740","FCO","DOH","QR114","QR","0","0","QTR6W","QTR"
"43.2","16.48","34531f97","39CF04","127","41000","506","","A359","F-HTYE","1710194740","CDG","AUH","AF638","AF","0","0","AFR638","AFR"
"50.08","51.23","34532122","06A0B6","177","40975","500","","B788","A7-BCR","1710194740","SVO","DOH","QR338","QR","0","0","QTR338","QTR"
"34.21","37.35","3452aafa","740821","94","40975","540","","B788","JY-BAA","1710194739","LHR","AMM","RJ112","RJ","0","-64","RJA112","RJA"
"50.33","11.3","3452ea7a","","110","40975","482","","GL5T","","1710194740","","","","","0","0","GL5T",""
"46.04","8.43","345355a1","39A204","278","40050","439","","B738","F-HIQE","1710194742","VCE","CDG","5O4311","5O","0","0","FPO3JU","ABR"
"37.31","-7.11","3453290d","34664E","41","40025","448","","B752","EC-NQJ","1710194740","LPA","MAD","WT189","WT","0","0","SWT189","SWT"
"46.64","4.72","34532045","4CAE4A","332","40000","410","","B38M","EI-IHX","1710194740","PMO","STN","FR3919","FR","0","0","RYR93DT","RYR"
"58.24","-8.58","34532fd2","4CC530","316","40000","435","","B38M","TF-ICP","1710194742","LHR","KEF","FI455","FI","0","0","ICE455","ICE"
"33.94","-14.55","34530020","4075C1","25","40000","500","","B789","G-CKWN","1710194738","SID","LGW","BY305","BY","0","0","TOM2EJ","NBT"
"34.05","24.97","3452e455","34668C","289","40000","396","","A333","EC-NOF","1710194742","MED","CZL","SV9360","SV","0","0","SVA9360","SVA"
"65.79","13.96","345345c5","47A48C","203","40000","434","","C68A","LN-SAA","1710194740","TOS","OSL","","","0","0","BNO93J","INR"
"49.2","10.6","34531c36","440B90","286","40000","428","","B738","OE-IXB","1710194741","OTP","CDG","3V4750","3V","0","0","TAY2SF","ABR"
"48.47","51.66","3452fb91","70C0A7","182","40000","484","","A333","A4O-DD","1710194741","SVO","MCT","WY184","WY","0","0","OMA184","OMA"
"53.24","3.27","34534ce9","4CA80D","209","40000","439","","B738","EI-EKM","1710194740","BLL","STN","FR5179","FR","0","-64","RYR65BF","RYR"
"34.18","-7.23","3452a08b","39A054","26","40000","428","","H25B","F-HICU","1710194740","ROB","BOD","ARL127","AR","0","-64","ARL127","ARL"
"47.53","-0.61","34532ec7","4CA6FD","350","40000","360","","B738","EI-DYZ","1710194738","VLC","BHX","FR9381","FR","0","0","RYR21RF","RYR"
"36.43","4.44","3452c178","01015C","263","40000","400","","A333","SU-GDT","1710194739","CAI","RUH","MS3015","MS","0","0","MSR3015","MSR"
"42.55","15.64","34535dc9","48C138","21","40000","461","","B738","SP-RKV","1710194741","NAP","BUD","FR4089","FR","0","0","RYR1NH","RYR"
"45.2","-0.55","34535398","34631A","26","40000","396","","B752","EC-NIU","1710194740","VIT","CGN","RGN1811","RG","0","64","RGN1811","SWT"
"43.89","20.71","34531290","4D250B","120","39025","442","","A320","9H-WZQ","1710194741","BVA","SOF","W64322","W6","0","0","WZZ2121","WZZ"
"39.85","14.9","34531f59","040219","120","39025","528","","A359","ET-AZI","1710194741","CDG","ADD","ET735","ET","0","0","ETH735","ETH"
"47.09","1.09","34534e57","3443D5","171","39025","479","","A320","EC-LVU","1710194741","LGW","BCN","","","0","64","VLG303P","VLG"
"40.46","33.12","3452dde1","4BB86B","122","39025","513","","A20N","TC-NCK","1710194740","DUS","ASR","PC1620","PC","0","0","PGT77VA","PGT"
"43.15","22.12","34532917","70C0CD","108","39000","504","","B788","A4O-SA","1710194739","MXP","MCT","WY144","WY","0","-64","OMA144","OMA"
"49.32","15.16","3453242f","48C2A9","112","39000","426","","B38M","SP-RZK","1710194741","STN","BUD","FR3717","FR","0","0","RYR53LQ","RYR"
"43.43","-5.19","34532334","4844C6","212","39000","463","","B738","PH-BXV","1710194740","AMS","LIS","KL1697","KL","0","0","KLM1697","KLM"
"41.15","37.83","3452bcfb","8005F2","105","39000","561","","B788","VT-ANI","1710194739","FRA","DEL","AI120","AI","0","0","AIC120","AIC"
"45.07","25.79","34533767","48AE06","132","39000","484","","B788","SP-LRG","1710194742","KTW","PQC","LO6523","LO","0","-64","LOT6523","LOT"
"47.95","18.88","3451fe59","896178","124","39000","450","","B77L","A6-EWF","1710194740","YUL","DXB","EK244","EK","0","64","UAE244","UAE"
"34.91","12.33","345266d1","4BB06B","60","39000","513","","B38M","TC-LCK","1710194742","PNR","IST","TK587","TK","0","-64","THY587","THY"
"58.79","46.51","345330e4","151E1E","125","39000","470","","B738","RA-73246","1710194741","LED","UFA","DP559","DP","0","0","PBD559","PBD"
"37.37","6.75","34533774","06A102","108","39000","565","","A359","A7-ALN","1710194742","MAD","DOH","QR152","QR","0","0","QTR26M","QTR"
"58.3","8.33","345331ed","47A518","36","39000","439","","B738","LN-ENL","1710194742","LGW","OSL","DY1311","DY","0","0","NOZ11G","NOZ"
"36.03","20.94","3452fb68","3C135A","124","39000","483","","E35L","D-AWIN","1710194742","LBG","RUH","H5716","H5","0","64","VJH716","VJT"
"45.15","22.59","345331b0","896195","118","39000","464","","A388","A6-EEV","1710194739","MUC","DXB","EK52","EK","0","-64","UAE35Q","UAE"
"46.12","21.46","34532f94","49D41E","119","39000","446","","B38M","OK-SWJ","1710194740","NUE","AUH","QS4453","QS","0","64","TVS4453","TVS"
"52.22","10.23","3453334e","4CAD54","103","39000","447","","B38M","EI-HGV","1710194741","MAN","WRO","FR8308","FR","0","0","RYR80LN","RYR"
"46.35","14.95","345333cc","896198","113","39000","484","","A388","A6-EEY","1710194741","CDG","DXB","EK76","EK","0","0","UAE93P","UAE"
"45.71","-9.48","3452f630","4CAFC3","359","39000","385","","B738","EI-GXH","1710194724","FUE","DUB","FR7129","FR","0","0","RYR39PV","RYR"
"61.38","47.96","3453288e","151D7D","77","39000","435","","B738","RA-73085","1710194740","LED","SGC","UT470","UT","0","0","UTA470","UTA"
"34.49","45.18","34529140","4079CD","159","39000","538","","A35K","G-VEVE","1710194735","LHR","BOM","VS354","VS","0","0","VIR354","VIR"
"54.27","16.72","345356b3","4D23F8","7","39000","442","","B38M","9H-VVD","1710194740","POZ","ARN","FR7679","FR","0","-64","RYR7679","RYR"
"42.27","32.95","3452f491","80158C","105","39000","560","","B789","VT-TSP","1710194743","FRA","BOM","UK28","UK","0","0","VTI028","VTI"
"39.53","-4.65","3453174a","4D2518","199","39000","444","","B738","9H-QFE","1710194741","STN","SVQ","FR8361","FR","0","0","RYR2DR","RYR"
"39.89","16.98","34532914","040172","130","39000","515","","A359","ET-AWO","1710194740","GVA","ADD","ET729","ET","0","-64","ETH729","ETH"
"37.95","4.2","34530abf","4D24DE","113","39000","518","","A20N","9H-NEF","1710194741","MAD","MLA","KM587","KM","0","0","AMC587","AMC"
"41.92","11.49","3453269b","4CA56A","159","39000","463","","B738","EI-DWE","1710194739","CRL","MLA","FR2956","FR","0","-64","RYR74YA","RYR"
"47.69","-4.47","345344c1","4CA75F","211","39000","444","","B738","EI-EFD","1710194742","STN","SCQ","FR8378","FR","0","0","RYR1MA","RYR"
"41.55","48.78","3452b582","4ACA66","54","39000","528","","A359","SE-RSF","1710194742","CPH","PVG","SK997","SK","0","0","SAS997","SAS"
"41.19","45.74","3452f8ff","461F56","109","39000","561","","A359","OH-LWO","1710194742","BUD","ICN","AY41","AY","0","-64","FIN41","FIN"
"39.99","22.48","34527859","4BA9F6","67","39000","515","","A332","TC-JOV","1710194742","LOS","IST","TK6681","TK","0","0","THY6681","THY"
"43.12","16.63","34530d34","407D75","127","39000","462","","A20N","G-TTNS","1710194740","LHR","ATH","BA634","BA","0","-128","BAW26AV","BAW"
"51.43","6.84","34533b75","8964B0","114","39000","503","","A388","A6-EVB","1710194739","MAN","DXB","EK20","EK","0","0","UAE20","UAE"
"42.51","32.72","3452d42d","407AF5","98","39000","571","","A35K","G-XWBJ","1710194739","LHR","DEL","BA257","BA","0","0","BAW257","BAW"
"49.64","8.88","34520f44","76CCE1","111","39000","490","","A359","9V-SGA","1710194741","EWR","SIN","SQ21","SQ","0","0","SIA21","SIA"
