"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"39.63","39.17","3453ced2","4D22F5","108","47000","546","","GL7T","9H-VIB","1710243335","EWR","AUH","VJT783","VJ","0","0","VJT783","VJT"
"41.94","33.75","34542fab","4D2322","287","46975","432","","GL7T","9H-VIE","1710243336","JAI","LTN","VJT133","VJ","0","0","VJT133","VJT"
"37.89","47.34","3454dc9c","","143","45000","505","","GLF4","","1710243341","","","","","0","64","GLF4",""
"48.14","2.27","3454d49f","","200","45000","480","","GLF5","","1710243341","","","","","0","0","GLF5",""
"41.34","24.81","3454a0ce","486442","134","45000","430","","C56X","PH-GHZ","1710243341","ANR","LCA","","","0","0","PHGHZ",""
"48.17","3.55","3454bcf8","4948B5","332","45000","447","","GLEX","CS-REU","1710243341","NCE","OXF","","","0","-128","JME515U","JME"
"39.75","33.97","34548941","","290","44975","421","","GL7T","","1710243342","","","","","0","0","GL7T",""
"41.93","-2.73","3454c979","471841","25","43025","421","","C650","HA-JEV","1710243340","AGP","HAM","JSG259","JS","0","-64","JSG259","JSH"
"44.89","12.29","34547b62","600BC8","259","43000","482","","GLF6","4K-ASG","1710243341","GYD","NCE","ESW65","ES","0","0","ESW65","ESW"
"50.05","-2.09","3454d165","49D407","193","43000","429","","E55P","OK-PHM","1710243342","HUY","AGP","","","0","0","OKPHM","AAN"
"45.38","12.65","3454549f","06A10A","278","43000","458","","A359","A7-ALV","1710243340","DOH","GVA","QR99","QR","0","0","QTR55Y","QTR"
"38.15","-10.57","3454bb35","3CEA40","18","43000","465","","LJ45","D-CQAA","1710243341","TFS","SCQ","QAJ1","QA","0","-64","QAJ1","QAJ"
"42.45","29.9","34547b17","500388","287","43000","456","","GL7T","T7-MAHA","1710243336","SHJ","LBG","","","0","0","T7MAHA",""
"41.58","27.14","3454aa5b","","124","43000","480","","FA7X","","1710243341","","","","","0","0","FA7X",""
"57.68","3.14","3454d20f","491315","227","43000","389","","C56X","CS-DXU","1710243340","OSL","LBA","","","0","0","NJE078D","NJE"
"53.78","6.94","3454dfe4","","214","43000","446","","F2TH","","1710243342","","","","","0","0","F2TH",""
"56.58","17.44","3454b68b","","200","43000","435","","E55P","","1710243342","","","","","0","0","E55P",""
"52.17","-13.43","3454abf6","AADF8E","289","43000","417","","GL5T","N80AK","1710243340","GVA","TEB","","","0","0","N80AK",""
"34.19","26.76","34548e95","","331","43000","443","","GLF5","","1710243342","","","","","0","0","GLF5",""
"40.43","33.67","34548c5c","142AF8","247","43000","438","","GLF6","RA-11000","1710243341","VKO","ISL","","","0","64","RLA1110",""
"41.72","40.01","3454d402","440C58","262","43000","374","","F2TH","OE-HCY","1710243333","TBS","NCE","SKV111","SK","0","0","SKV111","SKV"
"33.82","35.49","3454d419","A94DB8","90","43000","443","","G280","N699SC","1710243342","TLV","BFS","","","0","0","N699SC",""
"42.65","15.59","345491e7","","311","43000","479","","GLF6","","1710243342","","","","","0","-64","GLF6",""
"53.09","3.33","3454d116","A98B45","298","42975","416","","GLF3","N714DS","1710243341","RMS","","PH604","PH","0","0","GRB604",""
"38.29","-5.99","3454b5c4","346181","42","42800","493","","B789","EC-NBX","1710243338","TFN","MAD","UX9047","UX","0","-768","AEA52HD","AEA"
"45.2","7.49","3454b17f","39ADEC","266","42075","418","","F2TH","F-HLPM","1710243341","OTP","CFE","","","0","-2112","FHLPM","BIB"
"34.11","-6.42","34549965","","210","41275","422","","LJ75","","1710243341","","","","","0","-2752","LJ75",""
"46.69","7.0","3454a3d1","3E296F","211","41000","426","","C25A","D-IGWT","1710243342","BER","PMI","","","0","0","AWU712G","AWU"
"37.28","43.98","345473c0","06A2EB","119","41000","559","","B789","A7-BHH","1710243343","OSL","DOH","QR180","QR","0","0","QTR44C","QTR"
"55.48","5.78","3454c674","461F55","54","41000","490","","A359","OH-LWN","1710243342","LHR","HEL","AY1332","AY","0","0","FIN46P","FIN"
"42.73","28.85","3454093c","89618F","122","41000","503","","A388","A6-EEP","1710243341","JFK","DXB","EK202","EK","0","-64","UAE8UW","UAE"
"35.98","44.47","34548351","06A0EA","161","41000","510","","A359","A7-AMK","1710243336","ZRH","DOH","QR94","QR","0","0","QTR094","QTR"
"33.59","37.59","3454deee","","115","41000","608","","CL30","","1710243343","","","","","0","0","CL30",""
"35.85","-12.53","3454d1f7","3E1DCB","216","41000","369","","C25A","D-ICMD","1710243335","FAO","TFS","","","0","0","DICMD",""
"38.71","23.75","345409c6","738101","130","41000","510","","B788","4X-ERB","1710243342","JFK","TLV","LY8","LY","0","-64","ELY008","ELY"
"56.01","19.87","34549eb4","4A81F9","284","41000","426","","GLF4","102002","1710243339","QEI","","SVF680","SV","0","-128","SVF680","SVF"
"44.76","17.76","34540a23","4BB0EC","114","41000","492","","A359","TC-LGL","1710243341","ATL","IST","TK32","TK","0","0","THY32G","THY"
"34.0","-6.79","3454a28b","E49770","214","41000","421","","E550","PS-JAJ","1710243340","GOA","","","","0","0","PSJAJ",""
"49.32","3.71","3454d7a8","494106","152","41000","442","","E55P","CS-PHF","1710243340","LTN","BLQ","","","0","-64","NJE429W","NJE"
"51.12","1.24","3453fa8f","3C6710","100","41000","527","","A359","D-AIXP","1710243339","MEX","MUC","LH521","LH","0","-64","DLH521","DLH"
"43.19","27.47","345497fc","06A0B1","116","41000","512","","B788","A7-BCM","1710243340","LGW","DOH","QR330","QR","0","-64","QTR42Y","QTR"
"37.1","44.29","34547e47","06A2ED","116","41000","516","","B789","A7-BHJ","1710243339","CPH","DOH","QR162","QR","0","-64","QTR49Q","QTR"
"40.01","36.56","34547bad","06A0FF","118","41000","536","","A359","A7-ALK","1710243271","EDI","DOH","QR32","QR","0","0","QTR30C","QTR"
"44.32","15.11","3454dfe3","","122","41000","472","","F2TH","","1710243340","","","","","0","64","F2TH",""
"42.29","29.93","345494be","06A149","109","41000","529","","A388","A7-APH","1710243340","LHR","DOH","QR10","QR","0","-64","QTR50H","QTR"
"54.85","-3.5","34540004","406E11","142","41000","482","","B789","G-VOWS","1710243341","SFO","LHR","VS20","VS","0","-64","VIR20V","VIR"
"57.07","10.17","3454c9da","48414C","15","41000","440","","B738","PH-HZG","1710243341","EIN","OSL","HV5861","HV","0","64","TRA8J","TRA"
"37.79","42.83","34547f8e","06A0A7","122","41000","548","","B788","A7-BCC","1710243343","BRU","DOH","QR196","QR","0","0","QTR54V","QTR"
"34.33","31.37","3453f5a2","7380C8","128","41000","525","","B789","4X-EDJ","1710243342","EWR","TLV","LY26","LY","0","0","ELY026","ELY"
"43.98","25.27","34549c28","896462","115","41000","495","","A388","A6-APG","1710243340","LHR","AUH","EY12","EY","0","0","ETD81C","ETD"
"35.37","44.71","345479ae","06A0A9","161","41000","510","","B788","A7-BCE","1710243320","ARN","DOH","QR170","QR","0","-64","QTR53R","QTR"
"43.19","15.61","3454cae0","49131A","135","41000","424","","C56X","CS-DXZ","1710243341","MXP","BDS","","","0","0","NJE770Q","NJE"
"45.41","24.83","34549dac","896186","129","41000","490","","A388","A6-EEG","1710243339","MAN","DXB","EK22","EK","0","0","UAE6AQ","UAE"
"38.46","43.33","34548006","732541","112","41000","554","","A332","EP-IJA","1710243338","CDG","IKA","IR732","IR","0","0","IRA732","IRA"
"36.66","-4.9","34549e21","4D2481","249","41000","448","","FA7X","9H-BELL","1710243340","VIE","RAI","","","0","0","GSM07X","GES"
"41.03","5.32","345490dd","3C61F8","273","41000","394","","E35L","D-AHOX","1710243340","ISL","MAD","H5773","H5","0","0","VJH773","VJT"
"41.09","33.89","34538a81","06A12F","117","41000","528","","A35K","A7-ANS","1710243338","SFO","DOH","QR738","QR","0","0","QTR67V","QTR"
"44.42","10.72","3454d900","501E45","269","41000","366","","C25A","9A-JSD","1710243341","ZAD","","","","0","-64","JSY5I","JSY"
"46.39","23.67","3454bebe","4BB1E6","138","41000","456","","A333","TC-LOF","1710243341","BER","IST","TK1722","TK","0","0","THY8PQ","THY"
"65.17","-10.21","3453b7ac","39D2A1","152","41000","479","","A359","F-HUVB","1710243339","HND","CDG","AF281","AF","0","0","AFR281","AFR"
"43.34","24.6","3454ac4d","8963F1","102","41000","526","","A388","A6-EOT","1710243342","CDG","DXB","EK72","EK","0","64","UAE25K","UAE"
"47.18","21.97","3454ad72","8940A1","129","41000","478","","B789","A9C-FJ","1710243341","LHR","BAH","GF2","GF","0","-64","GFA002","GFA"
"45.98","18.83","3454ae4f","8963F7","115","41000","486","","A388","A6-EOZ","1710243340","LGW","DXB","EK12","EK","0","0","UAE12","UAE"
