"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"35.13","27.09","34536ff9","","323","43000","448","","FA7X","","1710198341","","","","","0","0","FA7X",""
"41.13","15.78","345365af","3C0C0A","293","42975","454","","FA7X","D-ATON","1710198342","ATH","NCE","H5956","H5","0","0","VJH956","VJT"
"46.85","8.68","34537a32","","76","41025","468","","GLF5","","1710198340","","","","","0","64","GLF5",""
"34.25","24.03","345347b8","06A103","125","41000","514","","A359","A7-ALO","1710198342","FCO","DOH","QR114","QR","0","0","QTR6W","QTR"
"36.5","30.66","34536af5","4BA9C1","163","41000","452","","A332","TC-JNA","1710198340","IST","CAI","TK692","TK","0","0","THY4VL","THY"
"33.81","10.91","3452e54e","424C03","34","41000","509","","GL5T","M-AMNM","1710198342","ABJ","ATH","","","0","-128","MAMNM",""
"38.68","39.98","3452da28","06A11F","117","41000","548","","A35K","A7-ANC","1710198335","LHR","DOH","QR12","QR","0","0","QTR29U","QTR"
"49.56","13.14","345355e2","89408D","105","41000","480","","B789","A9C-FC","1710198341","LHR","BAH","GF6","GF","0","-64","GFA006","GFA"
"41.87","50.44","34532122","06A0B6","182","41000","501","","B788","A7-BCR","1710198341","SVO","DOH","QR338","QR","0","0","QTR338","QTR"
"39.59","-1.0","345351d0","4D0290","214","41000","443","","LJ45","LX-RSQ","1710198341","BQH","AGP","","","0","512","LRQ119J","LRQ"
"45.31","25.67","34532062","800739","124","41000","478","","B788","VT-ANS","1710198341","BHX","DEL","AI114","AI","0","0","AIC114","AIC"
"44.91","23.8","34532ec6","89645B","118","41000","491","","A388","A6-EUF","1710198341","LGW","DXB","EK10","EK","0","0","UAE28Y","UAE"
"37.32","46.26","34527821","80073C","112","41000","641","","B788","VT-ANV","1710198343","CDG","DEL","AI142","AI","0","0","AIC142","AIC"
"38.01","25.19","34531f97","39CF04","128","41000","488","","A359","F-HTYE","1710198342","CDG","AUH","AF638","AF","0","64","AFR638","AFR"
"43.29","21.49","34531c0b","8005F1","108","41000","502","","B788","VT-ANH","1710198339","MXP","DEL","AI138","AI","0","-64","AIC138","AIC"
"37.62","43.16","3452f391","70C0AD","123","41000","540","","A332","A4O-DG","1710198343","FRA","MCT","WY116","WY","0","64","OMA116","OMA"
"39.96","10.51","34536cbe","","177","41000","505","","FA7X","","1710198341","","","","","0","0","FA7X",""
"41.63","32.39","3452f65f","70C0AC","110","41000","518","","A332","A4O-DF","1710198340","ZRH","MCT","WY154","WY","0","0","OMA154","OMA"
"46.84","20.24","34531c41","4BA92F","133","41000","444","","A332","TC-JIO","1710198341","AMS","IST","TK1956","TK","0","0","THY77U","THY"
"39.49","42.8","3452f491","80158C","117","41000","548","","B789","VT-TSP","1710198339","FRA","BOM","UK28","UK","0","0","VTI028","VTI"
"42.47","29.41","345312e9","70C0FD","122","40975","514","","B789","A4O-SG","1710198340","LHR","MCT","WY102","WY","0","-64","OMA102","OMA"
"40.4","36.28","3452ef20","896408","107","40975","557","","B789","A6-BLC","1710198340","LHR","AUH","EY26","EY","0","64","ETD42B","ETD"
"46.54","21.81","3452ea7a","","124","40975","478","","GL5T","","1710198339","","","","","0","0","GL5T",""
"43.34","21.92","34533ca7","801406","119","40975","497","","B789","VT-TSH","1710198339","CDG","DEL","UK22","UK","0","0","VTI022","VTI"
"44.25","27.44","34533735","06A2F1","139","40975","487","","B789","A7-BHN","1710198340","CPH","DOH","QR164","QR","0","0","QTR164","QTR"
"51.64","1.64","3452c539","407D4C","267","40025","416","","B38M","G-TUMW","1710198341","HRG","BRS","BY699","BY","0","-128","TOM699","TUI"
"33.61","25.82","34532e3e","020123","304","40000","430","","B788","CN-RGU","1710198340","MED","","AT2808","AT","0","-64","RAM2808","RAM"
