"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"40.69","14.83","34548941","","269","47000","470","","GL7T","","1710250542","","","","","0","0","GL7T",""
"48.44","14.1","34542fab","4D2322","290","46975","478","","GL7T","9H-VIE","1710250541","JAI","LTN","VJT133","VJ","0","0","VJT133","VJT"
"48.1","50.4","3454d63b","15063B","5","45025","463","","GL5T","RA-67131","1710250539","AER","","RFE9732","RF","0","64","RFE9732","TUL"
"44.81","-0.3","3454da6c","490D07","206","45025","468","","CL35","CS-CHG","1710250542","BMA","AGP","","","0","-64","NJE661L","NJE"
"35.68","47.2","3454aa5b","","146","45025","507","","FA7X","","1710250541","","","","","0","0","FA7X",""
"43.95","44.24","3454cb5d","151F78","76","45000","549","","GL7T","RA-73592","1710250536","ISL","VKO","RA73592","RA","0","0","RA73592",""
"48.06","12.35","3454ce4c","","120","45000","484","","GL5T","","1710250540","","","","","0","0","GL5T",""
"43.6","19.2","3454eecd","44B4A4","310","45000","440","","LJ45","OO-MED","1710250539","PFO","LGG","","","0","-128","OOMED",""
"35.27","-5.57","3454ee31","020199","211","45000","428","","CL30","CN-EMM","1710250541","GVA","CMN","","","0","64","CNEMM",""
"52.76","5.77","3454eb61","45A94B","38","45000","452","","HA4T","OY-JJK","1710250540","PMI","BLL","","","0","64","JNJ5KC",""
"46.63","10.13","345508ad","4D20E8","147","44975","484","","CL35","9H-VCF","1710250539","FAB","FLR","VJT486","VJ","0","128","VJT486","VJT"
"35.47","31.48","34553096","06A1C6","287","44800","412","","GLF6","A7-CGA","1710250540","LCA","ZRH","QE723","QE","0","1088","","QQE"
"36.08","19.44","3454c827","020122","295","43000","419","","B788","CN-RGT","1710250542","MED","","AT2810","AT","0","-64","RAM2810","RAM"
"44.82","-5.74","34552ee0","3CEA40","44","43000","452","","LJ45","D-CQAA","1710250542","SCQ","OSL","QAJ1","QA","0","0","QAJ1","QAJ"
"35.35","-3.69","34551c1f","3CF62A","37","43000","475","","LJ45","D-CUNI","1710250539","AGA","ALC","UNI137","UN","0","64","UNI137","UNI"
"46.71","12.63","3454e1aa","48D000","53","43000","462","","CL35","SP-WAA","1710250540","AGP","KRK","","","0","-128","JDI22R","JDI"
"48.13","3.58","3454c229","","327","43000","424","","GL5T","","1710250541","","","","","0","-64","GL5T",""
"49.11","9.24","3454d96f","459744","15","43000","430","","F2TH","OY-EZD","1710250542","GVA","CPH","6I1309","6I","0","0","MMD1309","MMD"
"44.05","14.81","345524d6","49131A","319","43000","386","","C56X","CS-DXZ","1710250541","BDS","LBG","","","0","0","NJE5QJ","NJE"
"40.14","18.7","3454ef5d","","289","43000","470","","GA6C","","1710250541","","","","","0","0","GA6C",""
"42.45","-13.63","34552523","","281","43000","432","","GL5T","","1710250541","","","","","0","64","GL5T",""
"45.42","19.53","3454d419","A94DB8","320","43000","472","","G280","N699SC","1710250542","TLV","BFS","","","0","64","N699SC",""
"43.43","22.03","3454d402","440C58","276","43000","450","","F2TH","OE-HCY","1710250541","TBS","NCE","SKV111","SK","0","0","SKV111","SKV"
"45.69","-0.42","3454f345","49410C","20","43000","399","","E55P","CS-PHL","1710250540","FAO","GRQ","","","0","0","NJE422P","NJE"
"53.68","15.22","34551afa","490D02","29","43000","461","","CL35","CS-CHB","1710250541","OBF","HEL","","","0","0","NJE610E","NJE"
"44.18","13.2","34548e95","","334","43000","447","","GLF5","","1710250541","","","","","0","64","GLF5",""
"50.29","2.05","3454e98b","4D2371","302","43000","459","","GL7T","9H-VII","1710250541","ZRH","FLL","VJT779","VJ","0","0","VJT779","VJT"
"57.8","-7.5","345436ee","3C670C","133","43000","497","","A359","D-AIXL","1710250539","SFO","MUC","LH459","LH","0","0","DLH459","DLH"
"49.35","-2.66","34550a5a","A572AF","282","43000","404","","GLF4","N450FX","1710250541","ZRH","BGR","LXJ450","LX","0","0","LXJ450","LXJ"
"54.61","-12.95","3454f413","44958B","308","43000","447","","FA8X","OO-ELK","1710250541","LBG","TEB","AAB45","AA","0","0","AAB45","AAB"
"39.28","25.61","3454f084","3CE997","303","43000","332","","PC24","D-CPTN","1710250540","LCA","CMF","PTN946","PT","0","-64","PTN946","PTN"
"58.63","13.1","34551d76","3CE630","249","43000","435","","LJ45","D-COMA","1710250536","HEL","MAN","UNI136","UN","0","-64","UNI136",""
"43.02","-3.15","34551191","490D09","359","43000","440","","CL35","CS-CHI","1710250540","FAO","FAB","","","0","0","NJE351D","NJE"
"40.6","19.45","3454d991","4D207E","91","43000","530","","GLEX","9H-VJC","1710250541","NCE","DWC","VJT720","VJ","0","-64","VJT720","VJT"
"49.43","8.67","34547b17","500388","275","42975","478","","GL7T","T7-MAHA","1710250540","SHJ","LBG","","","0","-64","T7MAHA",""
"44.94","15.89","34552caf","4850C2","317","42975","484","","GL5T","P4-HBK","1710250541","TIV","ZRH","","","0","-64","P4HBK",""
"51.67","3.49","34542cf5","406B12","270","42975","456","","B788","G-TUIE","1710250539","GOX","MAN","BY617","BY","0","0","TOM617","TUI"
"38.0","25.24","3454c482","","311","42975","450","","GL7T","","1710250540","","","","","0","-64","GL7T",""
"49.01","3.21","34550172","4863CF","349","42975","380","","PC24","PH-DVK","1710250541","CEQ","AMS","","","0","0","PHDVK",""
"41.86","-4.36","34553a12","","218","42400","446","","GLF5","","1710250541","","","","","0","2560","GLF5",""
"40.63","-2.39","3454dfe4","","165","41125","447","","F2TH","","1710250541","","","","","0","-1536","F2TH",""
"53.29","-1.09","3454fc70","","330","41025","439","","GLEX","","1710250541","","","","","0","0","GLEX",""
"50.25","-14.05","345448b8","39CF0D","71","41008","506","","A359","F-HTYN","1710250539","BOG","CDG","AF423","AF","0","0","AFR423","AFR"
"33.73","6.77","3454efab","0A0097","177","41000","430","","C56X","7T-VNM","1710250263","LIN","HME","","","0","0","7TVNM",""
"53.09","9.64","3454f9e3","","347","41000","442","","FA8X","","1710250540","","","","","0","0","FA8X",""
"59.58","4.08","3454266c","478854","130","41000","477","","A333","LN-RKS","1710250540","SFO","CPH","SK936","SK","0","0","SAS936","SAS"
"44.49","53.03","34551a4c","6832B1","67","41000","361","","PC24","UP-PC007","1710250542","SCO","","","","0","64","UPPC007",""
"39.49","40.1","3454ae4f","8963F7","111","41000","545","","A388","A6-EOZ","1710250540","LGW","DXB","EK12","EK","0","0","UAE12","UAE"
"45.1","20.27","3454e584","","326","41000","517","","GLF6","","1710250539","","","","","0","64","GLF6",""
"47.59","22.81","345517e2","3B7543","129","41000","472","","A332","F-UJCT","1710250539","POZ","CND","CTM1077","CT","0","0","CTM1077","CTM"
"49.93","-8.92","34543d03","0D085C","77","41000","526","","B788","XA-AMX","1710250539","MEX","LHR","AM7","AM","0","0","AMX007","AMX"
"34.62","7.03","3454e1f3","04C159","168","41000","514","","B788","5Y-KZG","1710250539","LHR","NBO","KQ103","KQ","0","-64","KQA103","KQA"
"52.18","-3.74","345515f4","","114","41000","550","","FA7X","","1710250542","","","","","0","64","FA7X",""
"39.37","18.43","34551829","33FD99","134","41000","476","","GLF5","MM62303","1710250539","","","IAM1470","IA","0","0","IAM1470","IAM"
"50.74","4.55","34552896","490D0C","108","41000","493","","CL35","CS-CHL","1710250542","NHT","CIA","","","0","-64","NJE307A","NJE"
"40.24","31.43","3454f2d7","896556","98","41000","512","","B38M","A6-FMN","1710250539","NAP","DXB","FZ1682","FZ","0","0","FDB93Q","FDB"
"41.41","19.49","34550b7a","4D2526","132","41000","516","","FA7X","9H-XONE","1710250541","VIP","ATH","TYJ459","TY","0","0","TYJ459","TJS"
"49.26","20.43","34551599","","136","41000","452","","F2TH","","1710250541","","","","","0","0","F2TH",""
"38.68","46.59","34550bbe","8963B6","140","41000","510","","B738","A6-FET","1710250539","TBS","DXB","FZ712","FZ","0","0","FDB9AG","FDB"
