"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"62.65","-16.5","3453d75a","4CC4F1","295","36000","452","","B763","TF-ISP","1710214540","LGG","KEF","FI721","FI","0","-64","ICE721","ICE"
"41.69","-16.1","345370a9","344344","89","39000","475","","A333","EC-LUX","1710214535","BOS","MAD","IB6166","IB","0","0","IBE6166","IBE"
"54.03","-16.07","345362ef","AA3B85","92","38000","536","","B772","N759AN","1710214539","JFK","CDG","AA44","AA","0","0","AAL44","AAL"
"54.02","-15.87","345371c9","A8B9B3","92","37004","526","","B763","N661UA","1710214543","EWR","MUC","UA30","UA","0","64","UAL30","UAL"
"54.02","-15.85","34537e39","","92","41000","554","","GLF6","","1710214543","","","","","0","0","GLF6",""
"41.68","-15.68","34536db0","3455C1","89","40000","475","","A332","EC-MSY","1710214535","JFK","MAD","IB6250","IB","0","0","IBE6250","IBE"
"68.72","-15.5","345240bf","3965A2","147","35000","461","","B77W","F-GZNC","1710214538","HND","CDG","AF293","AF","0","0","AFR293","AFR"
"43.74","-15.36","34535587","39B10B","51","38004","523","","A35K","F-HMIL","1710214521","PTP","ORY","TX541","TX","0","0","FWI41D","FWI"
"53.0","-15.01","345368ad","4CAA41","84","37000","528","","A333","EI-EIN","1710214537","JFK","DUB","EI104","EI","0","-64","EIN104","EIN"
"39.24","-14.58","345351dd","3949ED","52","38000","495","","B772","F-GSPN","1710214543","CAY","CDG","AF953","AF","0","0","AFR953","AFR"
"57.53","-14.48","3452e87f","76CCC9","112","37000","491","","B744","9V-SFI","1710214535","LAX","BRU","SQ7973","SQ","0","0","SIA7973","SIA"
"47.46","-13.94","3453321f","484369","38","39000","494","","B772","PH-BQB","1710214539","PBM","AMS","KL714","KL","0","0","KLM714","KLM"
"54.86","-13.9","345355ac","AAA6DD","102","39000","515","","B772","N786AN","1710214539","CLT","DUB","AA724","AA","0","0","AAL724","AAL"
"44.68","-13.75","34534896","39C912","51","38000","520","","A35K","F-HSIS","1710214535","FDF","ORY","TX517","TX","0","0","FWI17F","FWI"
"53.04","-13.66","34536a49","4CABD2","87","37025","512","","A21N","EI-LRF","1710214537","PHL","DUB","EI114","EI","0","-64","EIN11X","EIN"
"44.85","-13.61","34537a1d","4BB183","251","35996","441","","B789","TC-LLC","1710214543","IST","CCS","TK223","TK","0","0","THY223","THY"
"68.8","-13.15","345271c2","86E4DA","160","38975","476","","B789","JA868J","1710214543","HND","LHR","JL41","JL","0","0","JAL41","JAL"
"53.41","-13.11","34538566","3965B1","95","38000","525","","B77W","F-GZNR","1710214540","BOS","CDG","AF333","AF","0","0","AFR333P","AFR"
"62.72","-13.06","34537cc3","4BB196","263","36000","482","","B789","TC-LLV","1710214543","IST","HAV","TK195","TK","0","0","THY195","THY"
"38.46","-13.01","34530111","34628D","73","39000","519","","A359","EC-NDR","1710214541","BOG","MAD","IB6590","IB","0","0","IBE6590","IBE"
