"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"45.68","-15.82","3451871a","","102","45000","523","","GLF6","","1710187543","","","","","0","0","GLF6",""
"34.06","28.22","3452b5c5","","127","45000","575","","GLF6","","1710187540","","","","","0","0","GLF6",""
"42.22","34.9","3452877d","600B78","100","45000","544","","GLF4","4K-AZ888","1710187539","LBG","GYD","","","0","64","ESW8M","ESW"
"57.08","-15.41","3452bf33","","293","45000","464","","GLEX","","1710187535","","","","","0","0","GLEX",""
"47.35","14.24","34527223","4D2371","278","44825","502","","GL7T","9H-VII","1710187540","EBL","ZRH","VJT779","VJ","0","-1280","VJT779","VJT"
"57.19","15.72","3452bc4d","","27","43000","458","","F2TH","","1710187541","","","","","0","0","F2TH",""
"40.49","-9.7","34527157","44B8B9","31","43000","452","","E545","OO-NEY","1710187541","SID","BRU","","","0","0","OONEY","BNJ"
"35.0","27.24","3452713c","3C0C0A","323","43000","467","","FA7X","D-ATON","1710187541","RUH","ATH","H5956","H5","0","0","VJH956","VJT"
"54.87","-13.77","34528897","","280","43000","443","","GLF5","","1710187527","","","","","0","-64","GLF5",""
"43.53","-3.84","3452c537","E49688","352","43000","446","","GL7T","PS-BTG","1710187540","MAD","FAB","","","0","0","PSBTG",""
"51.39","19.01","3451304a","406D6F","327","42975","484","","B788","G-TUIH","1710187540","HKT","CPH","6B372","6B","0","0","BLX372","TUI"
"44.5","5.57","3452ee0a","3964EC","127","41025","490","","B738","F-GZHM","1710187539","ORY","TUN","TO8858","TO","0","-128","TVF8858","TRA"
"36.53","27.63","34527392","503D17","109","41000","464","","H25B","LY-LTA","1710187542","GVA","LCA","LTC601","LT","0","-64","LTC601","LTC"
"49.23","1.51","34529d6c","4D02B6","141","41000","453","","PC24","LX-PCH","1710187541","FAB","LIN","","","0","-128","JFA25V","JFA"
"36.06","29.16","3452c10b","3CE997","108","41000","454","","PC24","D-CPTN","1710187540","TIA","LCA","PTN997","PT","0","0","PTN997","PTN"
"44.37","-0.53","3452e085","4CADC2","207","41000","460","","B38M","EI-IGE","1710187541","CRL","RAK","FR70","FR","0","0","RYR5PT","RYR"
"37.01","50.42","34523e32","461F4F","116","41000","533","","A359","OH-LWH","1710187541","HEL","HKT","AY151","AY","0","0","FIN151","FIN"
"47.53","-2.88","34523b26","38E83B","153","41000","554","","A35K","F-WMIL","1710187541","TLS","TLS","","","0","0","AIB18IL","AIB"
"39.58","18.53","3452ba9e","39CF12","128","41000","520","","A359","F-HTYS","1710187541","CDG","CAI","AF568","AF","0","-64","AFR568","AFR"
"38.2","-14.19","34519c75","AAC33E","71","41000","503","","B788","N793AV","1710187539","BOG","MAD","AV46","AV","0","0","AVA046","AVA"
"66.53","12.69","3452e635","479301","32","41000","444","","E290","LN-WEC","1710187542","BGO","TOS","WF630","WF","0","-64","WIF630","WIF"
"48.39","21.44","3452c8a4","39B228","141","41000","455","","A332","F-HMRI","1710187541","BLL","IST","TK6453","TK","0","0","THY6453","CMA"
"34.75","52.51","34525e58","48AE04","136","41000","529","","B788","SP-LRE","1710187539","WAW","DEL","LO71","LO","0","0","LOT71","LOT"
"35.55","44.65","34522eda","06A0E7","161","41000","524","","A359","A7-AMH","1710187538","LHR","DOH","QR8","QR","0","0","QTR54X","QTR"
"40.79","37.96","345296f4","","81","41000","548","","GLEX","","1710187539","","","","","0","0","GLEX",""
"48.4","12.63","3452f391","70C0AD","104","41000","470","","A332","A4O-DG","1710187540","FRA","MCT","WY116","WY","0","0","OMA116","OMA"
"35.57","-7.05","3452e3b4","472FD0","232","41000","396","","C650","HA-SCU","1710187539","RMU","TFS","JSG113","JS","0","-64","JSG113","JSH"
"42.7","24.99","3452da7c","4BB0E2","118","41000","510","","A359","TC-LGB","1710187540","VIE","IST","TK1888","TK","0","0","THY2SN","THY"
"48.34","3.48","3452fa73","","328","41000","387","","C56X","","1710187541","","","","","0","0","C56X",""
"43.24","24.84","3452905c","4BB1E5","136","40975","461","","A333","TC-LOE","1710187542","AMS","IST","TK1954","TK","0","0","THY5MQ","THY"
"44.43","20.93","3452aafa","740821","136","40975","469","","B788","JY-BAA","1710187539","LHR","AMM","RJ112","RJ","0","64","RJA112","RJA"
"43.03","38.24","34527c82","150640","72","40975","516","","GL5T","RA-67136","1710187543","ISL","VKO","RSJ7136","RS","0","128","RSJ7136","RSJ"
"45.18","12.8","34527821","80073C","104","40975","502","","B788","VT-ANV","1710187541","CDG","DEL","AI142","AI","0","-64","AIC142","AIC"
"49.66","9.93","3452539b","5140C6","284","40025","450","","B763","4L-GIT","1710187540","TBS","LGG","GH2101","GH","0","-64","IGT2101","IGT"
"59.03","17.83","3452fdd1","440B30","229","40025","437","","B738","OE-IWF","1710187541","TKU","CDG","3V4516","3V","0","0","TAY5KU","FDX"
"41.17","0.71","34530724","4841D5","40","40025","444","","B737","PH-XRB","1710187539","VLC","AMS","HV6332","HV","0","-192","TRA6A","TRA"
"49.82","9.96","3452ecfe","","44","40025","500","","GLEX","","1710187539","","","","","0","-64","GLEX",""
"49.16","-1.83","3452c246","4D23AA","32","40000","423","","GALX","9H-777MF","1710187540","MAD","MAN","","","0","256","LWG10I","LWG"
"63.32","12.4","3452eae8","4791AC","189","40000","451","","B738","LN-NIQ","1710187540","EVE","OSL","DY369","DY","0","0","NOZ9EG","NOZ"
"46.72","20.05","345218f3","06A10D","300","40000","494","","A359","A7-ALY","1710187542","DOH","LHR","QR5","QR","0","0","QTR005","QTR"
"46.46","-5.96","3452d778","4CA891","327","40000","375","","B738","EI-ENE","1710187539","VLC","ORK","FR8110","FR","0","0","RYR12FM","RYR"
