"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"46.02","-7.78","345397e0","","88","46975","513","","GL5T","","1710223540","","","","","0","-64","GL5T",""
"45.65","8.95","345392b7","","303","45000","467","","GLF6","","1710223540","","","","","0","64","GLF6",""
"50.49","-14.63","3453dae4","","93","45000","534","","GLF6","","1710223538","","","","","0","-128","GLF6",""
"41.49","1.65","345383a2","","104","45000","538","","GLF6","","1710223540","","","","","0","0","GLF6",""
"52.15","-2.62","3453b782","","88","45000","494","","GLF4","","1710223541","","","","","0","-64","GLF4",""
"48.77","-6.69","3453966e","39B493","105","43000","522","","A359","F-HNET","1710223541","SDQ","ORY","TX554","TX","0","0","FWI54X","FWI"
"56.49","-13.37","3453d730","4ACA65","89","43000","523","","A359","SE-RSE","1710223540","EWR","CPH","SK910","SK","0","0","SAS910","SAS"
"51.09","4.64","34534cfc","801593","290","42975","478","","GL7T","VT-PRI","1710223540","BOM","LTN","","","0","0","VTPRI",""
"48.96","10.29","34544e04","44B4A4","119","42250","461","","LJ45","OO-MED","1710223541","LGG","PFO","","","0","128","OOMED",""
"56.41","17.5","34544b5d","39A208","74","41000","456","","B738","F-HIQI","1710223542","CPH","RIX","5O4215","5O","0","64","FPO9IX","ABR"
"53.49","-11.25","34537398","39D2A6","99","41000","523","","A359","F-HUVG","1710223541","ORD","CDG","AF137","AF","0","0","AFR137","AFR"
"44.19","7.82","3452707c","789242","252","41000","477","","A359","B-LQE","1710223542","HKG","MAD","CX315","CX","0","64","CPA315","CPA"
"34.59","30.96","34532b10","738103","127","41000","516","","B788","4X-ERD","1710223539","EWR","TLV","LY28","LY","0","64","ELY028","ELY"
"50.65","-6.21","3453a78f","AB148E","124","41000","548","","B788","N813AN","1710223539","PHL","CDG","AA754","AA","0","0","AAL754","AAL"
"44.07","43.01","34542166","","90","41000","502","","E35L","","1710223532","","","","","0","-64","E35L",""
"51.19","-9.74","3453b0b0","3C6704","88","41000","539","","A359","D-AIXD","1710223541","CLT","MUC","LH429","LH","0","0","DLH429","DLH"
"51.09","12.65","34544df1","","105","41000","454","","F2TH","","1710223540","","","","","0","64","F2TH",""
"55.02","-16.02","3453e334","3C66C1","90","41000","532","","A359","D-AIVA","1710223535","YUL","MUC","LH475","LH","0","0","DLH475","DLH"
"50.32","-8.57","3453d66d","A88D1C","101","41000","574","","GLF6","N650DY","1710223541","TEB","LBG","","","0","-64","N650DY","MLN"
"48.89","9.16","34544985","484558","345","41000","418","","B738","PH-BGA","1710223542","LIN","AMS","KL1618","KL","0","0","KLM1618","KLM"
"52.79","-5.66","3453c159","C079A1","117","41000","514","","A333","C-GUBO","1710223541","YUL","CDG","TS110","TS","0","0","TSC110","TSC"
"50.53","-6.91","3453cf68","400773","85","41000","554","","B772","G-VIIV","1710223540","BDA","LHR","BA158","BA","0","0","BAW18B","BAW"
"42.29","29.92","3453cc14","80165C","109","41000","498","","B38M","VT-BXN","1710223540","KEF","KWI","IX4","IX","0","64","AXB004",""
"49.77","12.17","345434ca","440CAF","119","41000","441","","B738","OE-LVC","1710223541","FRA","TSR","3V4694","3V","0","0","TAY6SR","ABR"
"48.68","9.51","345449f7","3E31EA","202","41000","408","","C25A","D-IKCG","1710223542","LEJ","CEQ","","","0","0","DIKCG",""
"45.7","-12.92","3453b887","AC3448","105","40992","487","","B788","N886BR","1710223539","PHL","BCN","AA742","AA","0","0","AAL742","AAL"
"49.72","-4.4","345343d4","39C429","103","40975","540","","B789","F-HRBJ","1710223541","RDU","CDG","AF693","AF","0","-64","AFR693X","AFR"
"43.18","27.88","3454241d","04015C","121","40975","496","","B77L","ET-AVT","1710223541","LGG","BOM","ET3610","ET","0","64","ETH3610","ETH"
"41.06","-1.26","34532e8e","AAA6E4","78","40650","489","","B788","N786AV","1710223541","BOG","BCN","AV18","AV","0","-832","AVA018","AVA"
"48.99","1.15","34544945","4864ED","44","40025","410","","E295","PH-NXS","1710223540","NTE","AMS","KL1454","KL","0","0","KLM1454","KLM"
"50.14","-16.35","3453af5a","3C6563","80","40008","500","","A333","D-AIKC","1710223539","PUJ","FRA","4Y3","4Y","0","0","OCN3","OCN"
"49.44","10.75","34534f35","4072EA","294","40000","473","","B789","G-VWOO","1710223541","DEL","LHR","VS303","VS","0","0","VIR303","VIR"
"36.9","34.17","3454426f","4BCDA5","90","40000","381","","B38M","TC-SME","1710223539","GZT","ADB","XQ9129","XQ","0","0","SXS8U","SXS"
"46.1","-0.13","34544ad8","4D228F","341","40000","357","","B738","9H-QEA","1710223542","TLS","STN","FR282","FR","0","0","RYR16UR","RYR"
"52.22","4.02","34536724","347555","84","40000","481","","A332","EC-OAP","1710223541","VRA","WAW","PU942","PU","0","0","PUE942","PUE"
"41.29","41.88","345408c7","503D6D","260","40000","384","","A332","LY-TKL","1710223543","TAS","IST","HY271","HY","0","0","UZB271","UZB"
