"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"54.04","-16.83","3453774a","","91","45000","549","","GLF6","","1710212735","","","","","0","0","GLF6",""
"33.58","-16.33","3453c86d","34520E","231","34000","433","","A332","EC-MMG","1710212741","BCN","EZE","IB2601","IB","0","0","IBE2601","IBE"
"50.25","-16.23","34535e98","4B1887","84","40004","507","","A333","HB-JHN","1710212735","JFK","ZRH","LX17","LX","0","0","SWR17K","SWR"
"50.03","-15.97","34535818","4BB193","88","38996","530","","B789","TC-LLS","1710212739","IAD","IST","TK188","TK","0","0","THY3WL","THY"
"42.69","-15.66","34533a63","AA28F2","94","39000","495","","B772","N754AN","1710212735","CLT","MAD","AA748","AA","0","0","AAL748","AAL"
"36.76","-15.65","34529de0","347519","64","40000","514","","A359","EC-OAX","1710212721","LIM","MAD","IB6652","IB","0","0","IBE6652","IBE"
"34.69","-14.83","345269c9","346419","50","40000","509","","A359","EC-NIS","1710212741","SCL","MAD","IB6830","IB","0","0","IBE6830","IBE"
"53.97","-14.65","34536b18","4B1886","98","39000","510","","A333","HB-JHM","1710212738","YUL","ZRH","LX87","LX","0","0","SWR87","SWR"
"54.79","-13.89","345359b2","C0103A","108","38975","498","","B789","C-FGDT","1710212735","YYZ","FRA","AC840","AC","0","0","ACA840","ACA"
"53.15","-13.24","34534ba1","AAEE43","82","36000","534","","A333","N803NW","1710212742","DTW","AMS","DL132","DL","0","0","DAL132","DAL"
"50.57","-13.2","345335eb","","87","41000","560","","FA7X","","1710212739","","","","","0","64","FA7X",""
"48.18","-13.12","3452e49b","4D2155","87","45000","511","","GLEX","9H-VTD","1710212735","OPF","GOA","VJT993","VJ","0","0","VJT993","VJT"
"55.73","-13.08","34534ce6","3C4A04","104","39000","493","","B789","D-ABPD","1710212742","DTW","FRA","LH443","LH","0","0","DLH443","DLH"
"36.38","-12.78","3452af40","3C64ED","29","38000","478","","A343","D-AIGM","1710212740","GIG","FRA","LH501","LH","0","0","DLH501","DLH"
"53.57","-12.65","3453628b","39D2A3","108","41000","534","","A359","F-HUVD","1710212742","EWR","CDG","AF63","AF","0","0","AFR63J","AFR"
"50.41","-12.48","34532d3a","484F71","76","39000","538","","A333","PH-AKA","1710212742","ATL","AMS","KL624","KL","0","0","KLM624","KLM"
"53.72","-12.28","34535373","A899A2","100","39000","504","","B763","N653UA","1710212742","EWR","GVA","UA956","UA","0","0","UAL956","UAL"
"45.51","-12.12","34530ddf","","66","45000","511","","GLEX","","1710212743","","","","","0","0","GLEX",""
"53.27","-11.43","34535590","A5124C","84","39000","519","","A339","N426DZ","1710212741","JFK","AMS","DL46","DL","0","0","DAL46","DAL"
"50.05","-11.01","345351ee","394A01","90","38000","519","","B77W","F-GSQB","1710212740","JFK","CDG","AF1","AF","0","0","AFR1M","AFR"
"52.94","-10.64","34535d32","39CF0A","104","41000","538","","A359","F-HTYK","1710212742","YUL","CDG","AF345","AF","0","0","AFR345","AFR"
"33.75","-10.51","3452c8df","344345","38","38000","463","","A333","EC-LXK","1710212740","GRU","MAD","IB6824","IB","0","0","IBE6824","IBE"
"60.91","-9.59","3453d75a","4CC4F1","295","36000","443","","B763","TF-ISP","1710212740","LGG","KEF","FI721","FI","0","64","ICE721","ICE"
"38.78","-9.14","3453c72d","496C2C","140","0","0","","GRND","","1710212739","","","","","1","0","FM010",""
"38.77","-9.13","345412aa","496C25","90","0","0","","GRND","","1710212740","","","","","1","0","FM003",""
"38.78","-9.13","34540808","496C29","292","0","0","","GRND","","1710212737","","","","","1","0","FM007",""
"46.0","-8.7","34537a1d","4BB183","268","35975","437","","B789","TC-LLC","1710212742","IST","CCS","TK223","TK","0","-64","THY223","THY"
"37.16","-8.61","345405b7","49003D","180","0","0","","GRND","DU23F","1710212742","","","","","1","0","",""
"53.22","-8.36","34535a51","30099D","103","38000","534","","A339","I-ITYB","1710212741","JFK","FCO","AZ609","AZ","0","0","ITY609","ITY"
"49.86","-8.29","34530c1d","4BB192","94","37000","542","","B789","TC-LLR","1710212742","CUN","IST","TK181","TK","0","0","THY181","THY"
"42.91","-8.15","34523408","3949E9","42","39000","469","","B772","F-GSPJ","1710212741","SCL","CDG","AF401","AF","0","0","AFR401","AFR"
"55.45","-8.12","34532203","A0566A","118","38975","523","","B78X","N12021","1710212740","ORD","FRA","UA944","UA","0","0","UAL944","UAL"
"42.4","-8.07","3452ad69","39CF00","34","41000","476","","A359","F-HTYA","1710212741","GRU","CDG","AF453","AF","0","0","AFR453","AFR"
"54.15","-7.87","3452dd69","A777B8","104","37000","542","","B744","N580UP","1710212740","SDF","CGN","5X217","5X","0","0","UPS217","UPS"
"39.75","-7.18","34526f42","346181","84","39000","491","","B789","EC-NBX","1710212740","LIM","MAD","UX176","UX","0","0","AEA176","AEA"
"50.52","-7.15","34532079","4006C3","85","40000","540","","B772","G-VIIR","1710212742","ANU","LGW","BA2256","BA","0","0","BAW2256","BAW"
"54.95","-7.13","3453fccb","408016","298","32025","408","","B763","G-DHLS","1710212740","EMA","JFK","D0366","D0","0","64","DHK366","DHK"
"37.49","-6.87","34528139","346291","41","40000","472","","B789","EC-NCY","1710212740","EZE","MAD","UX42","UX","0","-64","AEA042","AEA"
"33.73","-6.83","34532e3e","020123","221","20600","430","","B788","CN-RGU","1710212740","MED","","AT2808","AT","0","-3712","RAM2808","RAM"
"53.42","-6.25","34540b96","4CA295","344","0","0","","A320","EI-DEO","1710212719","DUB","","","","1","0","EIDEO","EIN"
"50.21","-6.05","34532e55","02A0AC","138","39000","512","","A332","TS-IFM","1710212742","YUL","TUN","TU203","TU","0","0","TAR203","TAR"
"53.47","-5.23","34534c7b","3C4AD9","97","37000","540","","B744","D-ABVY","1710212742","JFK","FRA","LH401","LH","0","0","DLH401","DLH"
"48.31","-4.84","34533edb","A4DBEF","113","37000","522","","A339","N412DX","1710212742","JFK","ATH","DL202","DL","0","0","DAL202","DAL"
"39.15","-4.8","3453b22a","39644E","18","40000","447","","A332","F-GZCO","1710212742","NKC","CDG","AF769","AF","0","0","AFR769","AFR"
"62.09","-4.75","34537cc3","4BB196","293","35975","482","","B789","TC-LLV","1710212742","IST","HAV","TK195","TK","0","-64","THY195","THY"
"39.53","-4.35","34525f64","34558F","47","21650","412","","B789","EC-MTI","1710212740","COR","MAD","UX122","UX","0","-576","AEA122","AEA"
"39.94","-4.29","345292ac","347346","126","19800","438","","B789","EC-NVX","1710212741","GYE","MAD","UX40","UX","0","-1344","AEA040","AEA"
"39.7","-4.08","34539bad","34150E","45","19000","364","","A321","EC-IGK","1710212741","DSS","MAD","IB3329","IB","0","-960","IBE3329","IBE"
"39.82","-3.95","34529f5d","34615A","47","15550","341","","B789","EC-NBM","1710212740","VVI","MAD","UX26","UX","0","-2304","AEA026","AEA"
"57.11","-3.85","3454093f","407DE4","346","8900","283","","AT75","G-LMRX","1710212742","EDI","INV","","","0","-704","LOG44N","LOG"
"40.29","-3.84","3452a25b","0D0A9B","96","9750","285","","B789","XA-ADH","1710212742","GDL","MAD","AM36","AM","0","-448","AMX036","AMX"
"39.91","-3.81","3452b5f5","347604","45","13100","304","","B789","EC-ODH","1710212742","GRU","MAD","UX58","UX","0","-1472","AEA058","AEA"
"40.5","-3.7","3453c57e","10C307D4","0","0","0","","GLID","WW-MP","1710212739","","","","","1","0","WWMP",""
"40.5","-3.7","3453c4b8","10C3088C","0","0","0","","GLID","IGC-16","1710212740","","","","","1","0","IGC16",""
"40.49","-3.59","3453fb6b","34754C","211","0","0","","A21N","EC-OBY","1710212741","MAD","","","","1","0","","IBS"
