"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"49.97","8.75","34542fab","4D2322","290","47000","451","","GL7T","9H-VIE","1710252339","JAI","LTN","VJT133","VJ","0","64","VJT133","VJT"
"37.55","27.86","34553096","06A1C6","318","47000","450","","GLF6","A7-CGA","1710252340","LCA","ZRH","QE723","QE","0","-64","","QQE"
"40.53","9.78","34548941","","266","46975","464","","GL7T","","1710252341","","","","","0","-64","GL7T",""
"41.37","-2.63","3454da6c","490D07","211","45025","449","","CL35","CS-CHG","1710252341","BMA","AGP","","","0","0","NJE661L","NJE"
"51.9","50.89","3454d63b","15063B","345","45025","451","","GL5T","RA-67131","1710252339","AER","","RFE9732","RF","0","0","RFE9732","TUL"
"46.35","47.37","3454cb5d","151F78","315","45000","445","","GL7T","RA-73592","1710252339","ISL","VKO","RA73592","RA","0","0","RA73592",""
"45.86","17.34","3454ce4c","","124","45000","490","","GL5T","","1710252341","","","","","0","64","GL5T",""
"45.9","15.23","3454eecd","44B4A4","307","45000","436","","LJ45","OO-MED","1710252339","PFO","LGG","","","0","0","OOMED",""
"54.5","11.24","34554cfa","4D20D1","204","44975","446","","CL35","9H-VCA","1710252340","AGH","GVA","VJT401","VJ","0","0","VJT401","VJT"
"39.28","-7.72","34553a12","","234","43950","423","","GLF5","","1710252341","","","","","0","-2112","GLF5",""
"45.32","9.11","34553f2f","39C642","356","43675","298","","C25A","F-HRSC","1710252340","NCE","RVN","","","0","320","FHRSC",""
"57.16","6.87","34551d76","3CE630","243","43000","431","","LJ45","D-COMA","1710252336","HEL","MAN","UNI136","UN","0","0","UNI136",""
"47.5","10.82","34548e95","","336","43000","449","","GLF5","","1710252340","","","","","0","64","GLF5",""
"43.73","16.96","3454d402","440C58","272","43000","445","","F2TH","OE-HCY","1710252341","TBS","NCE","SKV111","SK","0","0","SKV111","SKV"
"47.98","15.31","3454d419","A94DB8","309","43000","467","","G280","N699SC","1710252341","TLV","BFS","","","0","0","N699SC",""
"50.84","4.46","34553bc2","407FA0","308","43000","404","","E550","G-RORE","1710252340","LUX","MAN","","","0","-64","FLJ64G",""
"48.73","1.33","3454f345","49410C","22","43000","390","","E55P","CS-PHL","1710252340","FAO","GRQ","","","0","0","NJE422P","NJE"
"49.99","-7.75","34550a5a","A572AF","279","43000","413","","GLF4","N450FX","1710252339","ZRH","BGR","LXJ450","LX","0","64","LXJ450","LXJ"
"37.77","15.42","3454c827","020122","297","43000","441","","B788","CN-RGT","1710252340","MED","","AT2810","AT","0","-128","RAM2810","RAM"
"46.63","4.7","3454ccf7","493294","333","43000","354","","C68A","CS-LTT","1710252340","NCE","MAN","","","0","0","NJE934F","NJE"
"46.45","11.85","345524d6","49131A","318","43000","375","","C56X","CS-DXZ","1710252340","BDS","LBG","","","0","0","NJE5QJ","NJE"
"36.52","-13.02","34551ba1","3CEFBD","31","43000","432","","C56X","D-CSCB","1710252343","FNC","LBG","SCR187","SC","0","0","SCR187","SCR"
"56.9","18.63","34551afa","490D02","33","43000","457","","CL35","CS-CHB","1710252340","OBF","HEL","","","0","-64","NJE610E","NJE"
"47.47","-1.85","34552ee0","3CEA40","46","43000","462","","LJ45","D-CQAA","1710252340","SCQ","OSL","QAJ1","QA","0","-64","QAJ1","QAJ"
"41.02","25.34","3454d991","4D207E","81","43000","550","","GLEX","9H-VJC","1710252342","NCE","DWC","VJT720","VJ","0","-128","VJT720","VJT"
"52.56","10.84","3454d96f","459744","17","43000","428","","F2TH","OY-EZD","1710252340","GVA","CPH","6I1309","6I","0","64","MMD1309","MMD"
"52.08","-3.15","3454e98b","4D2371","293","43000","442","","GL7T","9H-VII","1710252340","ZRH","FLL","VJT779","VJ","0","-64","VJT779","VJT"
"46.63","-2.48","34551191","490D09","9","42975","436","","CL35","CS-CHI","1710252340","FAO","FAB","","","0","0","NJE351D","NJE"
"40.66","21.54","3454c482","","327","42975","494","","GL7T","","1710252342","","","","","0","-64","GL7T",""
"40.79","22.54","3454f084","3CE997","301","42975","346","","PC24","D-CPTN","1710252340","LCA","CMF","PTN946","PT","0","128","PTN946","PTN"
"40.19","22.93","34541526","4BB0E3","62","41025","548","","A359","TC-LGC","1710252342","GRU","IST","TK194","TK","0","-64","THY194","THY"
"37.66","45.34","3454ae4f","8963F7","115","41025","546","","A388","A6-EOZ","1710252340","LGW","DXB","EK12","EK","0","0","UAE12","UAE"
"56.79","15.89","34553896","490D0D","47","41000","438","","CL35","CS-CHM","1710252340","HAM","HEL","","","0","0","NJE264C","NJE"
"55.77","-5.52","3454fc70","","306","41000","436","","GLEX","","1710252341","","","","","0","64","GLEX",""
"43.0","30.09","3454fbc4","","124","41000","508","","GLF6","","1710252339","","","","","0","-64","GLF6",""
"47.54","8.24","34552896","490D0C","129","41000","503","","CL35","CS-CHL","1710252340","NHT","CIA","","","0","-128","NJE307A","NJE"
"49.22","13.83","34553832","4D2361","52","41000","418","","C56X","9H-XOC","1710252339","ZRH","VNO","VJT607","VJ","0","0","VJT607","VJT"
"44.03","17.96","345523e9","4BCE0F","129","41000","455","","B738","TC-SPO","1710252341","ZRH","AYT","XQ121","XQ","0","-64","SXS4PR","SXS"
"35.69","29.08","345500be","","122","41000","538","","GLF5","","1710252342","","","","","0","128","GLF5",""
"33.85","48.63","34549dac","896186","147","41000","540","","A388","A6-EEG","1710252342","MAN","DXB","EK22","EK","0","0","UAE6AQ","UAE"
"42.55","27.95","3454fe9b","89618D","97","41000","528","","A388","A6-EEN","1710252340","MXP","DXB","EK206","EK","0","0","UAE5RQ","UAE"
"35.36","49.99","34550bbe","8963B6","137","41000","504","","B738","A6-FET","1710252340","TBS","DXB","FZ712","FZ","0","0","FDB9AG","FDB"
"42.37","35.63","34553359","142AF8","82","41000","603","","GLF6","RA-11000","1710252135","ISL","VKO","","","0","0","RLA1111",""
"49.93","-7.04","345448b8","39CF0D","96","41000","532","","A359","F-HTYN","1710252341","BOG","CDG","AF423","AF","0","0","AFR423","AFR"
"54.77","-2.07","345436ee","3C670C","135","41000","522","","A359","D-AIXL","1710252342","SFO","MUC","LH459","LH","0","0","DLH459","DLH"
"50.09","9.24","3455269a","4D2489","106","41000","468","","CL35","9H-VCX","1710252339","FAB","VIE","VJT443","VJ","0","0","VJT443","VJT"
"47.27","-2.5","3453f807","39CF01","75","41000","520","","A359","F-HTYB","1710252340","EZE","CDG","AF411","AF","0","0","AFR411","AFR"
"34.4","45.09","3453dd57","8964E2","162","41000","500","","A388","A6-EVK","1710252339","IAH","DXB","EK212","EK","0","0","UAE69T","UAE"
"52.74","13.01","34552c6f","4932A1","122","41000","429","","C68A","CS-LUA","1710252342","HAM","KRK","","","0","0","NJE436L","NJE"
"58.89","8.85","3453ef4d","3C6705","160","41000","480","","A359","D-AIXE","1710252342","HND","MUC","LH715","LH","0","0","DLH715","DLH"
"57.73","-7.27","3453d02c","40749A","142","41000","489","","B789","G-ZBKS","1710252341","HND","LHR","BA8","BA","0","-64","BAW8","BAW"
"50.98","2.97","345515f4","","103","41000","518","","FA7X","","1710252340","","","","","0","0","FA7X",""
"56.14","17.04","34551cca","49D353","4","41000","434","","C680","OK-JRS","1710252341","PRG","BMA","","","0","0","TVS95J","TVS"
"59.21","-11.66","34540713","39CF13","104","41000","507","","A359","F-HTYT","1710252340","LAX","CDG","AF79","AF","0","0","AFR079","AFR"
"46.7","24.44","34551599","","129","41000","455","","F2TH","","1710252340","","","","","0","-64","F2TH",""
"47.51","4.09","34552e67","49D508","335","41000","370","","E55P","OK-PHE","1710252340","NCE","BQH","","","0","64","OKPHE","AAN"
"47.42","10.5","3454e003","396448","101","41000","482","","A332","F-GZCI","1710252339","CDG","ISL","","","0","0","AFR372V","AFR"
"53.25","-1.74","34554757","491313","94","41000","459","","C56X","CS-DXS","1710252341","DUB","MUC","","","0","-64","NJE826Q","NJE"
"52.41","22.72","3454e27d","4BA9C3","12","41000","466","","A332","TC-JNC","1710252340","IST","VKO","TK415","TK","0","0","THY1VR","THY"
"56.43","7.13","3454f9e3","","329","41000","442","","FA8X","","1710252341","","","","","0","0","FA8X",""
"47.5","15.42","3454e584","","297","41000","496","","GLF6","","1710252340","","","","","0","64","GLF6",""
"39.67","18.29","34551829","33FD99","163","41000","442","","GLF5","MM62303","1710252339","","","IAM1470","IA","0","0","IAM1470","IAM"
"41.06","16.72","34551162","493282","67","41000","462","","C68A","CS-LTB","1710252340","PMI","TIV","","","0","64","NJE923N","NJE"
"49.72","0.65","345531a8","49410A","143","41000","468","","E55P","CS-PHJ","1710252339","DUB","NCE","","","0","0","NJE851B","NJE"
"48.91","2.6","34553f90","484F06","201","41000","451","","B737","PH-BGM","1710252342","AMS","TLS","KL1307","KL","0","0","KLM93C","KLM"
"56.87","9.55","3454266c","478854","135","41000","478","","A333","LN-RKS","1710252340","SFO","CPH","SK936","SK","0","0","SAS936","SAS"
"58.32","10.14","34554b44","","11","41000","442","","F2TH","","1710252342","","","","","0","0","F2TH",""
"39.79","36.87","3454f2d7","896556","96","41000","516","","B38M","A6-FMN","1710252339","NAP","DXB","FZ1682","FZ","0","0","FDB93Q","FDB"
"56.5","-6.24","34541e0d","8014A0","136","41000","502","","GLEX","VT-NAD","1710252340","LAX","LTN","","","0","-64","VTNAD",""
"35.19","44.87","3454ad72","8940A1","159","40975","510","","B789","A9C-FJ","1710252333","LHR","BAH","GF2","GF","0","128","GFA002","GFA"
"37.78","30.41","34553083","","160","40975","440","","E35L","","1710252340","","","","","0","64","E35L",""
"49.85","6.15","345514c4","3CC24D","62","40950","432","","C560","D-CAWR","1710252340","VIT","LEJ","","","0","64","DCAWR",""
"40.43","-15.69","345455fd","3475C7","84","40004","497","","A359","EC-OCR","1710252339","MEX","MAD","IB6406","IB","0","0","IBE6406","IBE"
"41.25","46.96","3454328b","71BF71","284","40000","372","","A359","HL7771","1710252340","ICN","FCO","OZ561","OZ","0","-64","AAR561","AAR"
"50.6","6.44","3453d746","76CD76","292","40000","456","","A388","9V-SKV","1710252340","SIN","LHR","SQ308","SQ","0","64","SIA308","SIA"
"47.08","16.84","3454f27a","4BA9C2","308","40000","444","","A332","TC-JNB","1710252341","IST","LHR","TK1971","TK","0","0","THY2UF","THY"
"41.57","43.34","34543446","3C670E","270","40000","376","","A359","D-AIXN","1710252336","ICN","MUC","LH719","LH","0","0","DLH719","DLH"
"35.13","50.25","34550fb0","06A38B","317","40000","384","","B38M","A7-BSI","1710252341","DOH","TBS","QR253","QR","0","0","QTR2R","QTR"
