"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"44.52","25.17","34527223","4D2371","306","46975","485","","GL7T","9H-VII","1710183941","EBL","ZRH","VJT779","VJ","0","0","VJT779","VJT"
"46.21","6.77","3451b591","","310","46825","483","","GA6C","","1710183940","","","","","0","-1024","GA6C",""
"50.74","10.75","34525691","3CC004","301","45000","454","","LJ45","D-CAAE","1710183940","AYT","RTM","UNI131","UN","0","0","UNI131","UNI"
"43.56","4.64","34518fe4","","117","45000","552","","GLF6","","1710183942","","","","","0","64","GLF6",""
"58.33","17.81","34527bbd","4631CC","62","45000","401","","C25A","OH-SWI","1710183941","LPL","HEL","ABF1","AB","0","0","ABF1","ABF"
"47.87","0.89","345273be","3CD3C6","22","45000","385","","PC24","D-CHMS","1710183939","AGP","AMS","PTN954","PT","0","0","PTN954","PTN"
"39.45","18.79","3452b5c5","","133","45000","542","","GLF6","","1710183942","","","","","0","-64","GLF6",""
"35.75","29.09","34524c10","4D24A1","126","44975","518","","CL35","9H-VCZ","1710183940","RTM","TLV","VJT409","VJ","0","0","VJT409","VJT"
"46.19","-0.38","34515ced","","95","44975","515","","GL5T","","1710183940","","","","","0","64","GL5T",""
"50.33","10.24","3452bc4d","","23","43000","451","","F2TH","","1710183942","","","","","0","0","F2TH",""
"46.8","11.1","3452d804","4D20F8","335","43000","476","","GLEX","9H-VJP","1710183941","BLQ","LTN","VJT895","VJ","0","-64","VJT895","VJT"
"40.25","7.75","34528ad6","","262","43000","444","","GLEX","","1710183941","","","","","0","64","GLEX",""
"33.81","-14.44","34527157","44B8B9","28","43000","469","","E545","OO-NEY","1710183941","SID","BRU","","","0","0","OONEY","BNJ"
"43.07","19.7","3450db81","4CAD45","268","43000","468","","A359","EI-IFB","1710183941","HND","FCO","AZ793","AZ","0","0","ITY793","ITY"
"53.0","-14.99","34520567","","94","43000","540","","GLF5","","1710183941","","","","","0","0","GLF5",""
"54.26","-4.49","3452c903","","299","43000","473","","GLF6","","1710183940","","","","","0","64","GLF6",""
"50.23","-1.32","345256cd","44B4A4","10","43000","405","","LJ45","OO-MED","1710183941","FNC","BHX","","","0","0","OOMED",""
"45.88","-3.38","3452ae7e","4D20E8","16","42975","414","","CL35","9H-VCF","1710183942","MAD","FAB","VJT486","VJ","0","-64","VJT486","VJT"
"43.27","12.66","34529ffa","491D8B","302","42975","464","","GLEX","CS-GLK","1710183940","ATH","LBG","","","0","-64","NJE497N","NJE"
"44.94","25.88","3451304a","406D6F","321","42975","468","","B788","G-TUIH","1710183940","HKT","CPH","6B372","6B","0","0","BLX372","TUI"
"53.87","-3.41","3452bf33","","290","42975","456","","GLEX","","1710183941","","","","","0","0","GLEX",""
"52.53","1.48","3452c7ca","45CF23","47","41025","431","","B763","OY-SYC","1710183941","BOH","BLL","DJ2128","DJ","0","-128","SRR2128","SRR"
"37.54","49.06","34520eb0","461F4A","115","41025","543","","A359","OH-LWC","1710183938","HEL","BKK","AY145","AY","0","64","FIN145","FIN"
"39.9","18.85","34527392","503D17","126","41025","448","","H25B","LY-LTA","1710183941","GVA","LCA","LTC601","LT","0","-64","LTC601","LTC"
"48.16","-2.1","34523b26","38E83B","336","41000","421","","A35K","F-WMIL","1710183941","TLS","TLS","","","0","0","AIB18IL","AIB"
"34.84","44.93","3451fdec","06A145","162","41000","516","","A388","A7-APD","1710183940","LHR","DOH","QR4","QR","0","0","QTR52U","QTR"
"46.33","0.21","3452ae09","493293","27","41000","396","","C68A","CS-LTS","1710183940","MAD","LUX","","","0","0","NJE322M","NJE"
"44.34","7.09","3452c73f","49D508","229","41000","429","","E55P","OK-PHE","1710183942","ZRH","IBZ","","","0","0","OKPHE","AAN"
"38.09","30.58","3452a478","4BA66B","174","41000","412","","C56X","TC-ISK","1710183941","ISL","","","","0","0","TCISK",""
"56.23","9.92","34520456","45AA90","37","41000","444","","B737","OY-JTP","1710183941","LPA","ORB","JP766","JP","0","0","JTD766","JTD"
"38.29","41.65","34520c91","06A105","116","41000","562","","A359","A7-ALQ","1710183943","EDI","DOH","QR30","QR","0","0","QTR26W","QTR"
"48.68","11.22","3452aafa","740821","115","41000","495","","B788","JY-BAA","1710183940","LHR","AMM","RJ112","RJ","0","0","RJA112","RJA"
"39.97","21.87","3452c10b","3CE997","126","41000","447","","PC24","D-CPTN","1710183942","TIA","LCA","PTN997","PT","0","0","PTN997","PTN"
