"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"56.23","-15.5","34532e55","02A0AC","107","41004","486","","A332","TS-IFM","1710209143","YUL","TUN","TU203","TU","0","0","TAR203","TAR"
"36.82","-15.19","34523408","3949E9","40","38000","509","","B772","F-GSPJ","1710209135","SCL","CDG","AF401","AF","0","0","AFR401","AFR"
"38.1","-14.57","345292ac","347346","73","38975","511","","B789","EC-NVX","1710209141","GYE","MAD","UX40","UX","0","0","AEA040","AEA"
"53.95","-14.5","34531f80","3C4595","98","37000","524","","B77L","D-AALU","1710209139","CVG","FRA","3S399","3S","0","0","BOX399","BOX"
"40.99","-14.48","3452a25b","0D0A9B","91","37000","508","","B789","XA-ADH","1710209140","GDL","MAD","AM36","AM","0","0","AMX036","AMX"
"50.72","-13.78","34533e1d","A4FC00","110","37025","530","","A339","N420DX","1710209128","BOS","FCO","DL112","DL","0","0","DAL112","DAL"
"35.48","-13.38","3452ad69","39CF00","28","40000","498","","A359","F-HTYA","1710209140","GRU","CDG","AF453","AF","0","0","AFR453","AFR"
"40.01","-12.95","3452a4c8","0D08D1","90","38000","511","","B789","XA-DHM","1710209140","MEX","MAD","AM27","AM","0","0","AMX027","AMX"
"49.89","-12.78","3452fa01","48AE00","73","41000","560","","B788","SP-LRA","1710209141","PUJ","WAW","LO6140","LO","0","-64","LOT6140","LOT"
"37.34","-12.62","3453ce4a","34740F","243","37000","276","","B788","EC-NZG","1710209133","MAD","UIO","UX39","UX","0","0","AEA039","AEA"
"33.6","-10.74","34525f64","34558F","39","39975","498","","B789","EC-MTI","1710209140","COR","MAD","UX122","UX","0","64","AEA122","AEA"
"33.93","-10.4","34529f5d","34615A","39","40000","497","","B789","EC-NBM","1710209140","VVI","MAD","UX26","UX","0","-64","AEA026","AEA"
"56.48","-10.22","345332af","A60B1E","82","37000","520","","B744","N489MC","1710209142","DOV","TLL","","","0","0","CMB430","GTI"
"34.12","-10.2","3452b5f5","347604","39","37975","500","","B789","EC-ODH","1710209137","GRU","MAD","UX58","UX","0","-64","AEA058","AEA"
"52.53","-9.7","34532b10","738103","100","36975","560","","B788","4X-ERD","1710209142","EWR","TLV","LY28","LY","0","0","ELY028","ELY"
"34.74","-9.58","345263a2","3450D8","39","39975","486","","B788","EC-MIG","1710209141","MVD","MAD","UX46","UX","0","-64","AEA046","AEA"
"38.78","-9.14","3453a107","496C6A","7","0","0","","GRND","","1710209139","LIS","","","","1","0","MN084",""
"38.77","-9.13","3453a70d","496C29","92","0","11","","GRND","","1710209141","LIS","","","","1","0","FM007",""
"38.79","-9.13","3453b589","496C25","334","0","3","","GRND","","1710209140","","","","","1","0","FM003",""
"37.16","-8.61","3453a416","49003D","180","0","0","","GRND","DU23F","1710209141","","","","","1","0","",""
"36.91","-8.53","3453c86d","34520E","256","33000","441","","A332","EC-MMG","1710209142","BCN","EZE","IB2601","IB","0","0","IBE2601","IBE"
"59.8","-8.22","3453cc14","80165C","141","39000","452","","B38M","VT-BXN","1710209141","KEF","KWI","IX4","IX","0","0","AXB004",""
"43.09","-7.94","345304f4","C05858","131","33000","496","","B763","C-GHLV","1710209140","YYZ","MAD","AC7301","AC","0","0","ACA7301","ACA"
"33.86","-7.87","3453e9ca","020122","32","40000","481","","B788","CN-RGT","1710209139","AGA","MED","AT2010","AT","0","-64","RAM2010","RAM"
"35.35","-6.58","3453954c","3965A8","24","36000","464","","B77W","F-GZNI","1710209139","DSS","CDG","AF719","AF","0","0","AFR719","AFR"
"35.03","-6.51","3453f0fa","02013F","34","31000","486","","B789","CN-RGY","1710209139","CMN","MED","AT248","AT","0","1280","RAM248","RAM"
"53.42","-6.25","3453ac1c","4CA295","210","0","1","","A320","EI-DEO","1710209132","DUB","","","","1","0","EIDEO","EIN"
"54.72","-5.99","3453d164","407477","245","3025","187","","B738","G-NPTA","1710209140","STN","BFS","","","0","-1280","NPT2C","NPT"
"33.92","-5.51","3452ca49","4BB18E","72","38975","514","","B789","TC-LLN","1710209140","CCS","IST","TK183","TK","0","-64","THY183","THY"
"40.45","-5.33","3452a5d5","345353","100","32275","509","","B788","EC-MOM","1710209141","SAP","MAD","UX16","UX","0","-2432","AEA016","AEA"
"34.13","-4.98","3453ef92","02A261","73","35050","469","","A320","TS-ITB","1710209141","CMN","TUN","TU706","TU","0","1024","TAR706","TAR"
"36.68","-4.5","3453f2dd","3410DA","289","0","13","","GRND","","1710209140","","","","","1","0","S10",""
"36.68","-4.5","3453ac71","3413C2","208","0","0","","GRND","","1710209139","","","","","1","0","H8",""
"62.71","-4.37","3451f78f","86E778","158","41000","472","","B789","JA871A","1710209142","HND","FRA","NH203","NH","0","0","ANA203","ANA"
"48.09","-4.05","345311ac","A0A522","111","37000","532","","B78X","N14001","1710209141","EWR","TLV","UA84","UA","0","-64","UAL84","UAL"
"39.98","-3.9","34537a8b","44CCC8","24","38000","444","","A333","OO-SFH","1710209139","DSS","BRU","SN204","SN","0","0","BEL24D","BEL"
"53.77","-3.88","3453ecc1","40762C","302","24000","411","","B738","G-NPTB","1710209139","EMA","BFS","","","0","0","NPT1D","NPT"
"40.5","-3.7","3453c57e","10C307D4","0","0","0","","GLID","WW-MP","1710209132","","","","","1","0","WWMP",""
"40.5","-3.7","3453c4b8","10C3088C","0","0","0","","GLID","IGC-16","1710209134","","","","","1","0","IGC16",""
"40.49","-3.59","3453afc8","3474DA","41","0","0","","A21N","EC-OAS","1710209114","MAD","","","","1","0","ECOAS","IBS"
"40.49","-3.58","3453f5d7","344455","270","0","11","","A320","EC-LVQ","1710209141","MAD","","I23717","I2","1","0","IBS3717","IBS"
"40.48","-3.57","3453f0f9","344647","143","0","24","","AT75","EC-MEC","1710209141","MAD","LIS","WT920","WT","1","0","SWT132A","SWT"
"40.46","-3.56","3453f784","4CAC7F","90","0","5","","B38M","EI-HMS","1710209140","MAD","","","","1","0","","RYR"
"40.46","-3.54","3453dded","344305","45","0","0","","A333","EC-LUK","1710209140","MAD","","","","1","0","","IBE"
"55.9","-3.53","3453e3bd","407504","58","2175","184","","B734","G-CKUZ","1710209141","EMA","","","","0","-1152","NPT10K","NPT"
"54.58","-2.4","3453e97b","407D84","343","15975","278","","AT75","G-LMRY","1710209141","EMA","INV","","","0","0","LOG39LN","LOG"
"46.99","-2.34","34538c0f","4ACA8B","47","36000","440","","B38M","SE-RTK","1710209141","TFS","HEL","D82879","D8","0","0","NSZ9LH","NOZ"
"53.36","-2.28","3453cba4","4258C1","233","0","1","","GRND","","1710209142","","","","","1","0","RANGER4",""
"53.36","-2.26","3453a863","4258BE","59","0","0","","GRND","","1710209141","","","","","1","0","RANGER1",""
"51.96","-2.04","3453f036","4071CE","211","24000","428","","B734","G-JMCK","1710209141","EMA","EXT","","","0","0","NPT5L","NPT"
"51.36","-2.03","3453bf3e","4CA761","276","7850","259","","B738","EI-EFF","1710209141","BGY","BRS","FR3559","FR","0","-1408","RYR1QM","RYR"
"34.79","-1.94","3453a9c6","01015C","61","0","0","","A333","SU-GDT","1710209138","OUD","CAI","MS3016","MS","1","0","MSR3016","MSR"
"53.16","-1.72","3453f0b6","406D69","338","13300","374","","B734","G-JMCH","1710209141","EMA","ABZ","","","0","3136","NPT28A","NPT"
"52.99","-1.47","345336f2","40768B","297","15900","300","","A20N","G-UZHW","1710209142","HRG","MAN","U22252","U2","0","-1536","EZY28ZJ","EZY"
"38.87","-1.31","3453af14","4CAE05","56","38000","456","","B38M","EI-RZE","1710209141","TFS","MXP","NO1461","NO","0","0","NOS1461","NOS"
"52.83","-1.31","3453f2e3","3C4593","267","0","8","","B77L","D-AALS","1710209136","EMA","LEJ","3S111","3S","1","0","BOX111","DHK"
"47.8","-1.23","345385d1","461FA0","46","34000","431","","A321","OH-LZK","1710209139","LPA","HEL","AY1724","AY","0","0","FIN18T","FIN"
"52.21","-1.13","3453ecff","40066C","124","18450","422","","B752","G-BMRJ","1710209141","EMA","CGN","D03998","D0","0","2112","DHK3998","DHK"
"61.25","-0.9","34534a3b","0101DF","296","36000","487","","B789","SU-GEV","1710209139","CAI","IAD","MS981","MS","0","0","MSR981","MSR"
"38.09","-0.88","3453b8c6","A6E3E6","251","34975","457","","MD11","N543JN","1710209142","NSY","ROZ","KD187","KD","0","0","CMB187","WGN"
"48.21","-0.83","3453e636","39A054","359","38000","356","","H25B","F-HICU","1710209141","BOD","STN","ARL127","AR","0","-64","ARL127","ARL"
"52.34","-0.64","3453dbf9","A3979F","286","13750","347","","B763","N330UP","1710209141","CGN","EMA","5X232","5X","0","-2112","UPS232","UPS"
"53.17","-0.53","3453c565","43C39D","30","0","0","","R135","ZZ666","1710209140","WTN","","RRR7206","RR","1","0","RRR7206","RFR"
"51.47","-0.48","3453b0f1","4008AE","346","0","0","","A319","G-EUPO","1710209138","LHR","","","","1","0","BAW327X","BAW"
"51.47","-0.45","3453f21b","4075FF","222","0","8","","A21N","G-NEOR","1710209141","LHR","","","","1","0","GNEOR","BAW"
"38.61","-0.4","34534128","4892C2","49","38000","455","","B38M","SP-EXC","1710209140","SID","WAW","E47004","E4","0","0","ENT7004","ENT"
"51.88","-0.38","3453c229","494106","219","0","0","","E55P","CS-PHF","1710209134","LTN","","","","1","0","NJE523A","NJE"
"51.15","-0.21","3453dd1f","43BFE0","92","0","0","","GRND","","1710209142","","","","","1","0","LEADER7",""
"51.15","-0.19","3453f8fc","407D22","25","0","0","","A20N","G-UZLO","1710209141","LGW","","","","1","0","","EZY"
"51.16","-0.19","3453f67c","407F62","308","0","0","","A320","G-EJCV","1710209099","LGW","","","","1","0","","EZY"
"51.15","-0.18","3453c067","43BFE6","230","0","1","","GRND","","1710209141","","","","","1","0","FIRE2",""
"51.15","-0.18","3453a763","43BFDE","348","0","0","","GRND","","1710209142","","","","","1","0","LEADER10",""
"51.16","-0.18","3453af7f","4073A0","168","0","0","","A20N","G-UZHC","1710209142","LGW","","","","1","0","","EZY"
"51.16","-0.18","3453f97d","408051","180","0","0","","A20N","G-UZLW","1710209140","LGW","","","","1","0","","EZY"
"51.32","0.04","3453f2b5","4D230D","14","0","1","","GL7T","9H-VID","1710209139","BQH","","VJT750","VJ","1","0","VJT750","VJT"
"55.68","0.16","3453d75a","4CC4F1","320","36000","422","","B763","TF-ISP","1710209141","LGG","KEF","FI721","FI","0","-64","ICE721","ICE"
