"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"46.57","4.18","3454501d","008BA5","341","47000","443","","GLEX","ZS-EKA","1710261341","JNB","FAB","","","0","0","OPM007","OPM"
"45.37","5.61","34543e26","4D0233","109","45025","493","","FA8X","LX-LXL","1710261340","SBD","PSA","","","0","0","SVW51XL","SVW"
"36.8","47.02","34556380","","120","45000","595","","GA5C","","1710261339","","","","","0","0","GA5C",""
"60.11","18.53","34553f2f","39C642","24","45000","408","","C25A","F-HRSC","1710261340","NCE","RVN","","","0","0","FHRSC",""
"53.11","10.74","3455c17a","","24","45000","462","","G280","","1710261342","","","","","0","128","G280",""
"43.6","52.81","345558f4","","56","45000","537","","GA6C","","1710261340","","","","","0","0","GA6C",""
"42.36","33.91","34555faf","600BC8","99","45000","546","","GLF6","4K-ASG","1710261333","NCE","GYD","ESW65","ES","0","0","ESW65","ESW"
"48.94","12.94","3455be4c","4D2489","282","44975","438","","CL35","9H-VCX","1710261339","VIE","LBG","VJT443","VJ","0","-64","VJT443","VJT"
"47.52","3.83","34558f85","493295","328","43000","388","","C68A","CS-LTU","1710261340","NCE","GCI","","","0","-64","NJE217N","NJE"
"36.45","46.89","345567c8","","326","43000","387","","F2TH","","1710261342","","","","","0","0","F2TH",""
"56.29","-12.59","3454e584","","280","43000","459","","GLF6","","1710261341","","","","","0","0","GLF6",""
"40.9","37.76","345559f3","142AFC","86","43000","532","","GLF4","RA-11044","1710261340","IST","VKO","MMM9632","MM","0","-64","MMM9632","MMM"
"40.53","20.3","3455be03","","333","43000","512","","GA5C","","1710261340","","","","","0","-64","GA5C",""
"51.97","12.83","3455a228","49D353","198","43000","448","","C680","OK-JRS","1710261342","BMA","ZRH","","","0","0","TVS96J","TVS"
"56.74","12.96","3455be3e","","223","43000","470","","GL5T","","1710261340","","","","","0","0","GL5T",""
"38.4","-2.55","3454a25c","","70","43000","514","","GLEX","","1710261341","","","","","0","0","GLEX",""
"50.07","10.6","34558b74","4D2365","269","43000","441","","E550","9H-ZFX","1710261340","RZE","LBG","","","0","0","FJO51Z","LXJ"
"50.87","16.29","3455c85c","4932A1","292","43000","431","","C68A","CS-LUA","1710261341","KRK","LTN","","","0","0","NJE390L","NJE"
"51.19","51.43","34556452","507C55","298","43000","452","","B788","UK78705","1710261341","TAS","DME","HY601","HY","0","-64","UZB601","UZB"
"49.35","10.31","345546f8","","279","43000","457","","FA8X","","1710261340","","","","","0","0","FA8X",""
"35.84","28.35","3455b150","4D24A1","300","43000","392","","CL35","9H-VCZ","1710261342","LCA","ATH","VJT409","VJ","0","0","VJT409","VJT"
"35.0","-5.7","3454c827","020122","216","43000","445","","B788","CN-RGT","1710261341","MED","","AT2810","AT","0","-64","RAM2810","RAM"
"44.84","15.6","3455933d","490D0C","33","43000","455","","CL35","CS-CHL","1710261340","CIA","BUD","","","0","0","NJE307A","NJE"
"42.9","4.25","3455ad42","3CF62A","34","43000","428","","LJ45","D-CUNI","1710261339","ALC","MMX","UNI137","UN","0","64","UNI137","UNI"
"56.7","-8.96","34553c8f","","337","43000","497","","GL7T","","1710261339","","","","","0","0","GL7T",""
"42.09","14.29","34559d57","4D2526","298","43000","469","","FA7X","9H-XONE","1710261340","ATH","CEQ","TYJ459","TY","0","-64","TYJ459","TJS"
"56.66","-3.31","345576b9","","285","43000","440","","GLF5","","1710261341","","","","","0","0","GLF5",""
"43.24","0.69","3455b2a2","491188","54","43000","480","","F2TH","CS-DLH","1710261341","MAD","FRA","","","0","-64","NJE269U","NJE"
"51.82","3.94","34556e92","02019A","20","42975","419","","LJ45","CNTMV","1710261339","ALC","OSL","","","0","64","AOM396M",""
"34.54","11.54","34555e95","","236","42975","420","","GLF5","","1710261340","","","","","0","0","GLF5",""
"50.17","8.07","34556809","","289","42975","472","","GL7T","","1710261340","","","","","0","-64","GL7T",""
"42.32","34.18","34557934","502D81","99","41025","550","","GLEX","YL-DAM","1710261323","VIE","ALA","","","0","-64","UAG28S","UAG"
"39.01","39.88","345552c7","8963EA","104","41025","563","","A388","A6-EOM","1710261341","FCO","DXB","EK98","EK","0","-64","UAE32L","UAE"
"40.48","23.65","34555b26","484443","140","41025","481","","A332","PH-AOD","1710261340","AMS","RUH","KL417","KL","0","-128","KLM417","KLM"
"47.85","7.57","3455ad34","493290","156","41000","472","","C68A","CS-LTP","1710261342","LCY","CIA","","","0","-64","NJE916B","NJE"
"38.84","-8.33","34557574","4CADF6","196","41000","409","","B38M","EI-IHK","1710261340","BRS","ACE","FR4755","FR","0","0","RYR1JL","RYR"
"41.87","31.53","34555d5f","06A10A","114","41000","480","","A359","A7-ALV","1710261336","GVA","DOH","QR100","QR","0","0","QTR20B","QTR"
"38.93","0.83","3454cff2","344450","248","41000","430","","A333","EC-LXA","1710261342","MED","OUD","AT2910","AT","0","-64","RAM2910","EVE"
"42.82","7.6","3455a7c2","39CEAB","165","41000","494","","B738","F-HTVL","1710261340","ORY","DJE","TO8602","TO","0","64","TVF8602","TRA"
"45.24","22.91","345564b6","06A0AA","118","41000","494","","B788","A7-BCF","1710261340","LGW","DOH","QR328","QR","0","0","QTR328","QTR"
"40.43","36.14","3455654b","896456","107","41000","530","","A388","A6-EUA","1710261341","VIE","DXB","EK128","EK","0","0","UAE54J","UAE"
"37.05","50.31","3454d267","896477","177","41000","482","","A388","A6-EUM","1710261339","DME","DXB","EK134","EK","0","0","UAE134","UAE"
"49.24","6.38","3455a88a","4D02DA","152","41000","456","","PC24","LX-PCE","1710261340","LCY","PSA","","","0","0","JFA87E","JFA"
"47.22","17.73","345566f2","06A0C1","118","41000","486","","B788","A7-BDC","1710261341","DUB","DOH","QR18","QR","0","-64","QTR78G","QTR"
"52.48","4.0","3455676a","4D2066","116","41000","518","","GLEX","9H-VTE","1710261339","EDI","BOM","VJT182","VJ","0","64","VJT182","VJT"
"38.82","-1.06","345580ca","4841A8","203","41000","444","","B738","PH-HZX","1710261340","RTM","NDR","HV5595","HV","0","0","TRA5595","TRA"
"45.32","21.08","34556ae3","06A145","112","41000","498","","A388","A7-APD","1710261339","LHR","DOH","QR4","QR","0","0","QTR52U","QTR"
"42.73","2.96","3455aebb","0A0081","176","41000","432","","C56X","7T-VNC","1710261340","LBG","ALG","","","0","0","7TVNC",""
"46.11","20.75","34555f90","06A102","117","41000","498","","A359","A7-ALN","1710261341","EDI","DOH","QR30","QR","0","0","QTR26W","QTR"
"34.78","-6.16","345583a0","39D304","206","41000","417","","B738","F-HUYE","1710261341","NTE","CMN","TO3200","TO","0","0","TVF60ZK","TRA"
"42.49","29.4","34556166","","126","41000","484","","FA8X","","1710261340","","","","","0","0","FA8X",""
"40.75","34.75","345572da","06A100","117","41000","528","","A359","A7-ALL","1710261339","VIE","DOH","QR184","QR","0","0","QTR41U","QTR"
"44.72","22.65","345582f3","39B227","131","41000","471","","A332","F-HMRH","1710261341","MST","IST","TK6202","TK","0","0","THY6202","CMA"
"42.89","27.1","34557c6f","06A0E5","104","41000","522","","A359","A7-AMF","1710261341","ZRH","DOH","QR96","QR","0","-64","QTR9B","QTR"
"42.96","28.08","3455487f","89639C","117","41000","504","","A388","A6-EOC","1710261342","LGW","DXB","EK16","EK","0","0","UAE47L","UAE"
"40.09","37.53","345547cc","8963E5","107","41000","543","","A388","A6-EOH","1710261341","ZRH","DXB","EK88","EK","0","0","UAE87Q","UAE"
"42.85","28.81","345550df","500362","128","41000","520","","GLEX","T7-ALEX3","1710261340","LTN","DWC","","","0","64","T7ALEX3",""
"44.43","25.07","34554f9c","8963F3","120","41000","506","","A388","A6-EOV","1710261342","MAN","DXB","EK18","EK","0","0","UAE73J","UAE"
"39.54","12.22","34554f10","4D2358","154","41000","506","","F900","9H-GRS","1710261342","FAB","MLA","HMJ78","HM","0","64","HMJ078","HMJ"
"43.83","25.7","34554e37","400774","115","41000","499","","B772","G-VIIW","1710261342","LHR","BAH","BA125","BA","0","0","BAW125","BAW"
"36.86","50.81","3454f9e8","461F4D","110","41000","556","","A359","OH-LWF","1710261338","HEL","BKK","AY141","AY","0","0","FIN141","FIN"
"40.92","34.31","34544665","C010A8","118","41000","518","","B789","C-FGHZ","1710261340","YVR","DXB","AC78","AC","0","64","ACA78","ACA"
"56.89","23.93","345435bb","461F4F","10","41000","478","","A359","OH-LWH","1710261341","HKT","HEL","AY152","AY","0","0","FIN152","FIN"
"33.76","24.71","3455433f","8960EC","138","41000","512","","A388","A6-EDK","1710261341","MAD","DXB","EK142","EK","0","0","UAE51P","UAE"
"35.06","20.69","3455b979","","102","41000","557","","GLF5","","1710261342","","","","","0","64","GLF5",""
"42.67","4.17","3455c10f","39D307","193","41000","446","","B738","F-HUYH","1710261340","LYS","ORN","TO7312","TO","0","64","TVF33HB","TRA"
"54.35","8.59","3455bb66","484164","51","41000","450","","B738","PH-BXL","1710261340","AMS","CPH","KL1133","KL","0","0","KLM17G","KLM"
"41.55","32.67","3455561d","06A0BE","110","41000","528","","B788","A7-BCZ","1710261340","DUS","DOH","QR86","QR","0","0","QTR63A","QTR"
"42.93","28.54","34555a55","896181","124","41000","513","","A388","A6-EEB","1710261342","AMS","DXB","EK148","EK","0","0","UAE31V","UAE"
"39.92","38.13","345553e3","06A0A6","110","41000","544","","B788","A7-BCB","1710261341","PRG","DOH","QR292","QR","0","-128","QTR292","QTR"
"41.27","0.12","3455a221","39CEB5","192","41000","430","","B738","F-HTVV","1710261341","ORY","ORN","TO7258","TO","0","0","TVF99VK","TRA"
"41.34","20.06","34555a61","4D24A9","141","41000","493","","B744","9H-AKJ","1710261342","EMA","JED","SV3046","SV","0","0","SVA3046",""
"36.02","-11.41","34555575","4CAE52","211","41000","404","","B38M","EI-IJB","1710261341","STN","TFS","FR2530","FR","0","0","RYR9QM","RYR"
"43.98","26.2","34555acd","89649D","117","41000","510","","A388","A6-API","1710261341","LHR","AUH","EY20","EY","0","64","ETD71M","ETD"
"40.66","50.06","34551599","","86","41000","517","","F2TH","","1710261340","","","","","0","0","F2TH",""
"49.79","11.11","3455c449","","102","40975","482","","F2TH","","1710261342","","","","","0","64","F2TH",""
"41.02","34.07","345553d0","06A0AF","118","40975","523","","B788","A7-BCK","1710261340","NCE","DOH","QR56","QR","0","0","QTR3K","QTR"
"41.88","33.06","345579c9","06A0AB","99","40975","538","","B788","A7-BCG","1710261339","WAW","DOH","QR260","QR","0","0","QTR70U","QTR"
"44.45","25.38","34550d00","","122","40975","506","","GLEX","","1710261342","","","","","0","-64","GLEX",""
"45.85","3.51","3455a798","71002C","151","40975","522","","B789","HZ-ARD","1710261339","LHR","JED","SV114","SV","0","0","SVA114","SVA"
"42.88","25.64","345508f5","06A0F9","284","40000","458","","A359","A7-ALE","1710261340","DOH","BCN","QR141","QR","0","0","QTR14H","QTR"
"42.31","28.49","34551496","06A0E6","286","40000","418","","A359","A7-AMG","1710261340","DOH","MXP","QR117","QR","0","64","QTR117","QTR"
"51.22","50.96","34551cd5","06A0B6","2","40000","455","","B788","A7-BCR","1710261340","DOH","SVO","QR337","QR","0","-64","QTR337","QTR"
"44.91","15.31","3454c4c8","70C0CD","283","40000","474","","B788","A4O-SA","1710261340","MCT","MXP","WY143","WY","0","-64","OMA143","OMA"
"35.45","-13.82","34557689","","49","40000","514","","GL7T","","1710261340","","","","","0","0","GL7T",""
"46.67","0.96","3455c3f1","484F06","3","40000","388","","B737","PH-BGM","1710261342","TLS","AMS","KL1308","KL","0","0","KLM79Z","KLM"
"35.34","18.3","345528f0","3444CE","279","40000","409","","A332","EC-MAJ","1710261339","MED","ORN","SV9396","SV","0","0","SVA9396","SVA"
"43.76","27.38","345509f8","06A0E9","305","40000","456","","A359","A7-AMJ","1710261338","DOH","LHR","QR15","QR","0","448","QTR1E","QTR"
"50.28","11.48","3454bf4e","896463","289","40000","467","","A388","A6-APH","1710261342","AUH","LHR","EY17","EY","0","0","ETD57X","ETD"
"48.66","13.95","3454caa1","8963EC","291","40000","476","","A388","A6-EOO","1710261342","DXB","LGW","EK9","EK","0","0","UAE7TR","UAE"
