"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"44.16","26.52","3452ea7a","","127","44975","506","","GL5T","","1710200141","","","","","0","-64","GL5T",""
"38.11","24.27","34536ff9","","321","43000","454","","FA7X","","1710200141","","","","","0","0","FA7X",""
"42.59","11.05","345365af","3C0C0A","291","43000","462","","FA7X","D-ATON","1710200139","ATH","NCE","H5956","H5","0","0","VJH956","VJT"
"35.08","51.35","34527821","80073C","116","41025","539","","B788","VT-ANV","1710200140","CDG","DEL","AI142","AI","0","0","AIC142","AIC"
"35.9","10.21","34536cbe","","186","41025","493","","FA7X","","1710200140","","","","","0","-64","FA7X",""
"42.78","28.74","34532ec6","89645B","122","41000","498","","A388","A6-EUF","1710200140","LGW","DXB","EK10","EK","0","-64","UAE28Y","UAE"
"48.04","18.67","345355e2","89408D","123","41000","475","","B789","A9C-FC","1710200140","LHR","BAH","GF6","GF","0","-64","GFA006","GFA"
"41.76","27.25","34533ca7","801406","101","41000","531","","B789","VT-TSH","1710200141","CDG","DEL","UK22","UK","0","-64","VTI022","VTI"
"41.76","31.85","34533735","06A2F1","111","41000","536","","B789","A7-BHN","1710200140","CPH","DOH","QR164","QR","0","-64","QTR164","QTR"
"47.05","14.44","34537a32","","91","41000","479","","GLF5","","1710200142","","","","","0","0","GLF5",""
"42.59","27.24","34531c0b","8005F1","91","41000","540","","B788","VT-ANH","1710200140","MXP","DEL","AI138","AI","0","0","AIC138","AIC"
"44.04","23.83","34531c41","4BA92F","139","41000","458","","A332","TC-JIO","1710200139","AMS","IST","TK1956","TK","0","0","THY77U","THY"
"35.9","44.5","3452da28","06A11F","161","41000","537","","A35K","A7-ANC","1710200138","LHR","DOH","QR12","QR","0","0","QTR29U","QTR"
"40.04","37.73","3452f65f","70C0AC","110","41000","537","","A332","A4O-DF","1710200122","ZRH","MCT","WY154","WY","0","0","OMA154","OMA"
"35.33","29.2","34531f97","39CF04","130","41000","514","","A359","F-HTYE","1710200141","CDG","AUH","AF638","AF","0","0","AFR638","AFR"
"35.32","15.92","3452e54e","424C03","78","41000","553","","GL5T","M-AMNM","1710200142","ABJ","ATH","","","0","-64","MAMNM",""
"38.62","41.37","3452ef20","896408","127","41000","556","","B789","A6-BLC","1710200135","LHR","AUH","EY26","EY","0","-64","ETD42B","ETD"
"42.93","29.1","345325a7","406F7C","122","40975","524","","B789","G-ZBKP","1710200140","LHR","BOM","BA199","BA","0","64","BAW199","BAW"
"40.7","34.84","345312e9","70C0FD","119","40975","545","","B789","A4O-SG","1710200142","LHR","MCT","WY102","WY","0","64","OMA102","OMA"
