"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"46.96","19.49","34542fab","4D2322","294","47000","474","","GL7T","9H-VIE","1710248741","JAI","LTN","VJT133","VJ","0","-64","VJT133","VJT"
"40.55","19.9","34548941","","274","46975","448","","GL7T","","1710248739","","","","","0","0","GL7T",""
"44.24","49.84","3454d63b","15063B","5","45025","472","","GL5T","RA-67131","1710248740","AER","","RFE9732","RF","0","0","RFE9732","TUL"
"49.63","2.47","3454eb61","45A94B","28","45000","452","","HA4T","OY-JJK","1710248740","PMI","BLL","","","0","64","JNJ5KC",""
"38.03","-2.8","3454ee31","020199","226","45000","426","","CL30","CN-EMM","1710248742","GVA","CMN","","","0","0","CNEMM",""
"38.51","43.18","3454aa5b","","109","45000","526","","FA7X","","1710248738","","","","","0","0","FA7X",""
"50.16","7.04","3454ce4c","","108","45000","493","","GL5T","","1710248742","","","","","0","0","GL5T",""
"41.25","22.87","3454eecd","44B4A4","310","45000","432","","LJ45","OO-MED","1710248740","PFO","LGG","","","0","0","OOMED",""
"48.56","5.02","345508ad","4D20E8","109","45000","482","","CL35","9H-VCF","1710248741","FAB","FLR","VJT486","VJ","0","-256","VJT486","VJT"
"48.13","2.34","3454da6c","490D07","201","45000","455","","CL35","CS-CHG","1710248740","BMA","AGP","","","0","64","NJE661L","NJE"
"36.38","30.81","345488d6","491D86","358","43050","488","","GLEX","CS-GLF","1710248739","AUH","SAW","","","0","128","NJE658B","NJE"
"50.39","6.52","3454c979","471841","37","43025","432","","C650","HA-JEV","1710248742","AGP","HAM","JSG259","JS","0","64","JSG259","JSH"
"60.02","-14.25","345436ee","3C670C","109","43000","493","","A359","D-AIXL","1710248739","SFO","MUC","LH459","LH","0","0","DLH459","DLH"
"42.35","22.84","3454d419","A94DB8","323","43000","465","","G280","N699SC","1710248741","TLV","BFS","","","0","0","N699SC",""
"41.34","16.48","34548e95","","315","43000","451","","GLF5","","1710248739","","","","","0","0","GLF5",""
"42.68","-2.35","3454f345","49410C","30","43000","400","","E55P","CS-PHL","1710248740","FAO","GRQ","","","0","0","NJE422P","NJE"
"48.53","2.37","34550a5a","A572AF","284","43000","425","","GLF4","N450FX","1710248741","ZRH","BGR","LXJ450","LX","0","64","LXJ450","LXJ"
"38.22","23.02","3454ef5d","","301","43000","442","","GA6C","","1710248741","","","","","0","64","GA6C",""
"34.54","23.3","3454c827","020122","288","43000","418","","B788","CN-RGT","1710248740","MED","","AT2810","AT","0","-64","RAM2810","RAM"
"35.44","28.74","3454c482","","313","43000","466","","GL7T","","1710248740","","","","","0","-64","GL7T",""
"48.31","14.5","34547b17","500388","291","43000","500","","GL7T","T7-MAHA","1710248742","SHJ","LBG","","","0","0","T7MAHA",""
"50.28","12.85","34551afa","490D02","11","43000","445","","CL35","CS-CHB","1710248739","OBF","HEL","","","0","0","NJE610E","NJE"
"39.58","-4.66","34551191","490D09","33","43000","441","","CL35","CS-CHI","1710248740","FAO","FAB","","","0","0","NJE351D","NJE"
"43.97","-0.83","3454dfe4","","207","43000","429","","F2TH","","1710248742","","","","","0","-64","F2TH",""
"38.52","35.71","3454f0f3","49118D","217","43000","404","","F2TH","CS-DLM","1710248730","TBS","LCA","","","0","0","NJE785U","NJE"
"44.31","8.53","3454e1aa","48D000","48","43000","450","","CL35","SP-WAA","1710248742","AGP","KRK","","","0","64","JDI22R","JDI"
"59.77","19.85","34551d76","3CE630","256","43000","428","","LJ45","D-COMA","1710248736","HEL","MAN","UNI136","UN","0","0","UNI136",""
"36.94","27.38","3454dfe3","","136","43000","480","","F2TH","","1710248742","","","","","0","-64","F2TH",""
"42.89","26.95","3454d402","440C58","280","43000","420","","F2TH","OE-HCY","1710248742","TBS","NCE","SKV111","SK","0","64","SKV111","SKV"
"50.74","9.34","34542cf5","406B12","287","42975","466","","B788","G-TUIE","1710248741","GOX","MAN","BY617","BY","0","0","TOM617","TUI"
"37.27","28.16","3454f084","3CE997","319","42975","354","","PC24","D-CPTN","1710248742","LCA","CMF","PTN946","PT","0","-64","PTN946","PTN"
"45.05","6.09","3454c229","","327","42975","428","","GL5T","","1710248740","","","","","0","0","GL5T",""
"46.28","4.95","34550172","4863CF","333","42975","356","","PC24","PH-DVK","1710248742","CEQ","AMS","","","0","-64","PHDVK",""
