"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"40.22","24.37","34553096","06A1C6","310","47000","461","","GLF6","A7-CGA","1710254139","LCA","ZRH","QE723","QE","0","-128","","QQE"
"39.96","4.83","34548941","","263","47000","461","","GL7T","","1710254139","","","","","0","0","GL7T",""
"49.2","44.43","3454cb5d","151F78","320","45000","458","","GL7T","RA-73592","1710254135","ISL","VKO","RA73592","RA","0","0","RA73592",""
"48.01","10.27","34553f2f","39C642","21","45000","370","","C25A","F-HRSC","1710254140","NCE","RVN","","","0","0","FHRSC",""
"43.46","21.95","3454ce4c","","127","45000","492","","GL5T","","1710254141","","","","","0","-64","GL5T",""
"50.93","9.26","34554cfa","4D20D1","192","45000","468","","CL35","9H-VCA","1710254139","AGH","GVA","VJT401","VJ","0","-64","VJT401","VJT"
"48.24","11.26","3454eecd","44B4A4","311","45000","420","","LJ45","OO-MED","1710254139","PFO","LGG","","","0","128","OOMED",""
"46.6","4.92","34554acb","39A1E4","335","45000","382","","E55P","F-HIPE","1710254141","CEQ","LBG","PEA301","PE","0","0","PEA301","PEA"
"52.87","-2.57","345553e0","43F703","122","44425","450","","E55P","2-TIJL","1710254141","BFS","BSL","","","0","320","ORT05A","ORT"
"38.53","24.05","34556380","","95","43025","585","","GA5C","","1710254140","","","","","0","0","GA5C",""
"43.77","17.93","3454c482","","314","43000","492","","GL7T","","1710254140","","","","","0","-64","GL7T",""
"42.53","30.86","345546f8","","264","43000","546","","FA8X","","1710254136","","","","","0","-128","FA8X",""
"45.17","5.72","34555f55","A99A96","328","43000","424","","GLF5","N718JJ","1710254140","NCE","LTN","TFF924","TF","0","0","TFF924","TFF"
"49.43","2.69","3454ccf7","493294","330","43000","380","","C68A","CS-LTT","1710254140","NCE","MAN","","","0","0","NJE934F","NJE"
"50.05","2.3","34552ee0","3CEA40","37","43000","444","","LJ45","D-CQAA","1710254140","SCQ","OSL","QAJ1","QA","0","-64","QAJ1","QAJ"
"42.27","19.2","3454f084","3CE997","295","43000","350","","PC24","D-CPTN","1710254140","LCA","CMF","PTN946","PT","0","0","PTN946","PTN"
"39.36","11.24","3454c827","020122","294","43000","434","","B788","CN-RGT","1710254142","MED","","AT2810","AT","0","-64","RAM2810","RAM"
"50.89","8.56","34548e95","","306","43000","447","","GLF5","","1710254141","","","","","0","-64","GLF5",""
"49.03","3.7","34555eea","490D06","314","43000","414","","CL35","CS-CHF","1710254140","BSL","NHT","","","0","0","NJE056D","NJE"
"53.4","-8.72","3454e98b","4D2371","288","43000","436","","GL7T","9H-VII","1710254141","ZRH","FLL","VJT779","VJ","0","0","VJT779","VJT"
"39.56","-10.6","34551ba1","3CEFBD","32","43000","427","","C56X","D-CSCB","1710254139","FNC","LBG","SCR187","SC","0","0","SCR187","SCR"
"44.04","11.87","3454d402","440C58","277","43000","434","","F2TH","OE-HCY","1710254142","TBS","NCE","SKV111","SK","0","0","SKV111","SKV"
"39.22","30.66","3455556a","491D8A","339","43000","456","","GLEX","CS-GLJ","1710254142","PFO","BBU","","","0","-192","NJE568D","NJE"
"50.4","-12.98","34550a5a","A572AF","274","43000","390","","GLF4","N450FX","1710254139","ZRH","BGR","LXJ450","LX","0","320","LXJ450","LXJ"
"42.76","1.37","34553ab7","49328E","353","43000","388","","C68A","CS-LTN","1710254140","IBZ","AMS","","","0","0","NJE670A","NJE"
"49.01","9.23","345524d6","49131A","330","43000","370","","C56X","CS-DXZ","1710254140","BDS","LBG","","","0","0","NJE5QJ","NJE"
"55.83","0.87","34551d76","3CE630","243","43000","416","","LJ45","D-COMA","1710254140","HEL","MAN","UNI136","UN","0","0","UNI136",""
"50.27","10.77","3454d419","A94DB8","305","43000","453","","G280","N699SC","1710254140","TLV","BFS","","","0","0","N699SC",""
"53.58","-3.5","3454f897","","288","42975","448","","GL7T","","1710254141","","","","","0","-64","GL7T",""
"54.08","-7.35","3454d06f","4D2139","284","42975","418","","GLEX","9H-VJX","1710254139","ATH","TEB","VJT972","VJ","0","-64","VJT972","VJT"
