"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"44.13","23.67","345321ff","400215","136","45025","476","","GLF5","VP-CMS","1710191142","BUD","ADJ","","","0","-64","VPCMS",""
"43.28","-3.29","3451e76b","","114","45000","524","","GLF5","","1710191141","","","","","0","64","GLF5",""
"42.75","-4.3","3451871a","","105","45000","537","","GLF6","","1710191141","","","","","0","0","GLF6",""
"40.85","46.91","3452877d","600B78","111","44975","532","","GLF4","4K-AZ888","1710191142","LBG","GYD","","","0","64","ESW8M","ESW"
"34.57","27.42","3452ba9e","39CF12","127","43000","517","","A359","F-HTYS","1710191141","CDG","CAI","AF568","AF","0","0","AFR568","AFR"
"46.18","47.57","34527c82","150640","347","43000","446","","GL5T","RA-67136","1710191142","ISL","VKO","RSJ7136","RS","0","-64","RSJ7136","RSJ"
"46.37","-3.28","34527157","44B8B9","46","43000","448","","E545","OO-NEY","1710191140","SID","BRU","","","0","-64","OONEY","BNJ"
"57.57","14.75","34533055","","221","43000","439","","F2TH","","1710191140","","","","","0","-64","F2TH",""
"53.24","45.96","345317aa","507C54","116","41000","528","","B788","UK78704","1710191135","DME","TAS","HY602","HY","0","-128","UZB602","UZB"
"49.27","13.56","34531909","484CB4","121","41000","444","","B738","PH-BCA","1710191141","AMS","VIE","KL1849","KL","0","64","KLM81J","KLM"
"55.57","41.76","34532122","06A0B6","105","41000","516","","B788","A7-BCR","1710191143","SVO","DOH","QR338","QR","0","-64","QTR338","QTR"
"50.96","9.06","34532477","48418C","109","41000","451","","B739","PH-BXR","1710191141","AMS","BUD","KL1981","KL","0","64","KLM1981","KLM"
"40.81","50.04","345296f4","","93","41000","556","","GLEX","","1710191140","","","","","0","-64","GLEX",""
"37.51","-4.2","3452e085","4CADC2","204","41000","432","","B38M","EI-IGE","1710191139","CRL","RAK","FR70","FR","0","0","RYR5PT","RYR"
"38.88","29.07","3452aafa","740821","124","41000","510","","B788","JY-BAA","1710191142","LHR","AMM","RJ112","RJ","0","-64","RJA112","RJA"
"35.37","-5.6","3452cc89","4CAC1E","214","41000","429","","B38M","EI-HEN","1710191141","HHN","AGA","FR9348","FR","0","0","RYR91JP","RYR"
"45.92","19.03","3452da28","06A11F","112","41000","486","","A35K","A7-ANC","1710191142","LHR","DOH","QR12","QR","0","0","QTR29U","QTR"
"48.32","7.9","34530b4f","4D226D","197","41000","437","","B738","9H-QBR","1710191142","BLL","MRS","","","0","0","RYR517","RYR"
"40.12","-0.56","3452f373","4D224F","199","41000","448","","B738","9H-QED","1710191141","EIN","FEZ","FR5851","FR","0","-64","RYR6XV","RYR"
"45.23","22.96","3452f391","70C0AD","118","41000","465","","A332","A4O-DG","1710191140","FRA","MCT","WY116","WY","0","64","OMA116","OMA"
"46.47","23.21","3452ddf6","8005EB","124","40975","474","","B788","VT-ANA","1710191142","AMS","DEL","AI156","AI","0","0","AIC156","AIC"
"42.9","23.89","34527821","80073C","95","40975","520","","B788","VT-ANV","1710191141","CDG","DEL","AI142","AI","0","0","AIC142","AIC"
"47.36","15.02","3452ef20","896408","116","40975","481","","B789","A6-BLC","1710191140","LHR","AUH","EY26","EY","0","64","ETD42B","ETD"
"54.14","8.45","3452fdd1","440B30","215","40050","433","","B738","OE-IWF","1710191142","TKU","CDG","3V4516","3V","0","0","TAY5KU","FDX"
"50.7","9.29","345218f3","06A10D","286","40000","491","","A359","A7-ALY","1710191141","DOH","LHR","QR5","QR","0","64","QTR005","QTR"
"46.52","20.85","34531c36","440B90","295","40000","449","","B738","OE-IXB","1710191140","OTP","CDG","3V4750","3V","0","0","TAY2SF","ABR"
"48.46","8.04","34531c5b","488912","329","40000","298","","C525","SP-CIT","1710191137","LIN","BQH","","","0","0","BNI5T","BNI"
