"latitude","longitude","id","icao_24bit","heading","altitude","ground_speed","squawk","aircraft_code","registration","time","origin_airport_iata","destination_airport_iata","number","airline_iata","on_ground","vertical_speed","callsign","airline_icao"
"35.31","-16.77","34532b7f","4952B2","230","36000","439","","A339","CS-TUR","1710203742","LIS","GRU","TP87","TP","0","0","TAP087","TAP"
"36.07","-16.67","3453a470","4952A1","234","34000","442","","A339","CS-TUA","1710203742","LIS","GIG","TP75","TP","0","0","TAP075","TAP"
"35.52","-16.62","34534a9b","3C4B35","221","32000","468","","B748","D-ABYU","1710203742","FRA","EZE","LH510","LH","0","0","DLH510","DLH"
"35.45","-16.58","34538376","3451CF","230","37000","446","","B788","EC-MIH","1710203742","MAD","MVD","UX45","UX","0","-64","AEA045","AEA"
"39.66","-16.25","34538e66","346555","252","39000","445","","A359","EC-NLP","1710203739","MAD","BOG","IB6589","IB","0","0","IBE6589","IBE"
"58.98","-16.14","34534cbf","4CC56E","300","37975","450","","A20N","TF-PPF","1710203735","LIS","KEF","OG695","OG","0","0","FPY15L","FPY"
"58.39","-15.81","34534473","4CC546","289","34975","432","","A21N","TF-PLB","1710203519","MAD","KEF","OG665","OG","0","64","FPY9B","FPY"
"43.44","-14.94","34537031","4007F3","208","34000","449","","B772","G-YMMH","1710203743","LHR","GIG","BA249","BA","0","0","BAW249","BAW"
"43.69","-14.91","345390f7","34754D","278","36000","452","","A359","EC-OAY","1710203743","MAD","MEX","IB6409","IB","0","0","IBE6409","IBE"
"34.53","-14.63","3453a386","495152","225","37000","419","","A21N","CS-TJR","1710203742","LIS","FNC","TP1697","TP","0","0","TAP97LS","TAP"
"39.5","-14.34","34537375","39CF05","212","36000","457","","A359","F-HTYF","1710203739","CDG","GRU","AF454","AF","0","0","AFR454","AFR"
"50.88","-13.5","3452ca05","896598","99","37000","548","","A35K","A6-XWC","1710203738","ORD","AUH","EY150","EY","0","64","ETD76T","ETD"
"35.86","-12.87","34539139","346045","232","35000","442","","A332","EC-MYA","1710203733","MAD","MVD","IB6011","IB","0","0","IBE6011",""
"35.86","-12.86","3453960f","3461CB","232","36250","462","","A359","EC-NCX","1710203740","MAD","SCL","IB6833","IB","0","576","IBE6833","IBE"
"36.08","-12.5","3453971a","34659A","233","35000","464","","A359","EC-NMZ","1710203743","MAD","EZE","IB6841","IB","0","0","IBE6841","IBE"
"55.57","-12.47","34534463","AD7633","316","35975","456","","B788","N967AM","1710203739","FCO","MEX","AM71","AM","0","0","AMX071","AMX"
"37.89","-12.41","34535be8","4841C5","215","31000","487","","B744","PH-CKC","1710203741","AMS","VCP","MP6911","MP","0","0","MPH6911","KLM"
"40.28","-12.04","34539ab2","AAC33E","264","38975","439","","B788","N793AV","1710203740","MAD","BOG","AV47","AV","0","-64","AVA047","AVA"
"33.95","-11.87","34538ff6","3444C4","216","35000","444","","A333","EC-LZJ","1710203741","MAD","GRU","IB6827","IB","0","0","IBE6827","IBE"
