id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,number,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
345558bb,0A009B,B738,7T-VCF,FALSE,JED,,SF5561,DTH,DTH5561,18,2,2,0,0,0,17,34.875,19.185,36006.25,377.5
345558f4,,GA6C,,FALSE,,,,,GA6C,2,3,19,0,0,0,15,40.45,38.32,44312.5,566.5
345559f3,142AFC,GLF4,RA-11044,TRUE,IST,VKO,MMM9632,MMM,MMM9632,6,61,300,-1.096900026,-138.5992217,-351.0216687,17,42.635,44.96,43000,485.5
34555a61,4D24A9,B744,9H-AKJ,FALSE,EMA,JED,SV3046,,SVA3046,5,27,6,-448.8544452,-466.297354,-920.9322943,15.66666667,44.455,16.195,40333.33333,501.8333333
3.46E+99,,GLF5,,FALSE,,,,,GLF5,38,14,3,0,0,0,15,39.155,20.89,40843.75,410.5
34556166,,FA8X,,FALSE,,,,,FA8X,31,0,6,0,0,0,16,42.49,29.4,39228.57143,489.5714286
34556380,,GA5C,,FALSE,,,,,GA5C,18,20,23,0,0,0,15,38.64,33.135,43506.25,584.75
34556512,7000A1,A310,YA-FGF,FALSE,KBL,IST,FG719,AFG,AFG719,8,21,2,-337.6885546,-342.3915408,-343.0833031,17,39.185,42.725,35993.75,372.75
345567c8,,F2TH,,FALSE,,,,,F2TH,11,24,3,0,0,0,17,39.51,42.41,43493.75,377
34556809,,GL7T,,FALSE,,,,,GL7T,17,4,17,0,0,0,15.4,46.85,19.1,42990,478
34556b74,400F63,A346,G-ECLN,FALSE,BOH,CTU,SE600,URO,URO600,8,10,18,-349.5332445,-624.6767472,-194.6950274,16.33333333,45.055,22.48,39004.16667,499.5
3.46E+96,02019A,LJ45,CNTMV,FALSE,ALC,OSL,,,AOM396M,8,1,16,-359.476427,-348.8721282,-714.6822548,15.66666667,48.735,2.54,40845.83333,410.3333333
345576b9,,GLF5,,FALSE,,,,,GLF5,17,6,2,0,0,0,16.25,57.075,-6.6,43000,449.5
34557934,502D81,GLEX,YL-DAM,FALSE,VIE,ALA,,UAG,UAG28S,19,20,7,-324.5851932,-696.300886,-472.095135,16.33333333,42.065,37.25,39779.16667,523.5
3455848c,4BD189,B738,TC-TLI,FALSE,DUS,EBL,IA234,IAW,IAW234,1,3,11,-407.1601599,-418.9582079,-432.6790672,17,44.69,24.24,37000,462
345588d1,4BCA66,CL60,TC-RSF,FALSE,KWI,BRS,RHH35,RHH,RHH035,0,15,2,-365.7570645,-348.8479352,-339.5119754,17,40.31,36.975,36506.25,392.5
34558d0e,730601,A343,EP-APA,FALSE,IKA,IST,EP512,IRC,IRC512,24,0,1,-692.3426712,-364.5297547,-358.6892326,16.25,39.81,38.065,38000,382.5
34559104,738062,B738,4X-EKR,FALSE,WAW,TLV,LY5102,,ELY5102,19,7,12,-780.3408423,-373.6215567,-387.2214285,16.25,40.805,27.27,37000,418
345595ee,73957C,H25B,4X-CUT,FALSE,CMF,TLV,,TMI,4XCUT,5,7,3,-877.7226055,-437.5043219,-433.0175233,16.6,38.43,22.4,36595,477.6
3455a2b1,505CD8,B738,OM-FEX,FALSE,LIL,LPA,NT3013,AXE,IBB7TD,2,2,2,-400.3052993,-389.8579081,-386.475431,17,40.64,-7.595,37587.5,425
3455a41e,3CD43B,C25B,D-CHRF,FALSE,PMO,DUS,HR910,HHN,HHN910,6,7,17,-319.89952,-321.1929208,-302.6158945,17,46.82,10.995,37900,349.25
3455ab69,70612C,A20N,9K-CBE,FALSE,KWI,DME,J9337,JZR,JZR337,332,355,353,-343.4687233,-327.5477328,-327.8657049,17,39.555,50.285,36506.25,405.25
3455ad42,3CF62A,LJ45,D-CUNI,FALSE,ALC,MMX,UNI137,UNI,UNI137,1,17,1,-377.5456782,-393.0370465,-400.0800246,17,47.4,8.055,42987.5,431.25
3455af25,4D2103,CRJ2,9H-JOY,FALSE,ISL,FRA,,AXY,AXY471T,2,8,0,-409.0932041,-414.611192,-391.9900605,17,46.39,19.555,35518.75,435.5
3455b390,328826,738,,FALSE,BGW,IST,IF221,,FBA221,16,7,3,-343.0905984,-346.3268497,-378.0828722,17,39.11,36.88,34356.25,369
3455b3cf,,GLF5,,FALSE,,,,,GLF5,5,5,1,0,0,0,17,52.5,-8.33,41850,405.75
3455be3e,,GL5T,,FALSE,,,,,GL5T,4,3,16,0,0,0,17,52.215,6.385,43000,482.25
3455c3a3,6355B5,GLEX,N98WG,FALSE,VLC,BLR,,,N98WG,39,8,14,-439.3223453,-484.0709363,-491.9899517,17,39.02,10.71,39312.5,525.25
3455c42e,45209C,A320,LZ-MDI,FALSE,SOF,ALC,W64413,USW,WZZ7392,9,3,2,-392.0058657,-393.8480466,-386.5995271,17,41.535,14.425,35293.75,423
3455c814,4B199D,CL60,HB-JSF,FALSE,ADB,STR,,,HBJSF,6,4,4,-387.2313352,-401.3490112,-385.11083,17,42.665,20.69,37375,424.75
3455c8bd,48C812,BE40,SP-TAT,FALSE,NCE,GLA,,SAH,SAH26P,5,1,9,-301.7504847,-309.9214911,-321.085364,17,48.435,3.38,38018.75,340.75
3455cb1e,451D86,E190,LZ-VAR,FALSE,SOF,BRU,FB407,LZB,LZB407,2,7,0,-408.6761894,-398.1621059,-380.5266204,17,47.335,15.97,37306.25,432.25
3455d1a1,49D4CF,E55P,OK-STS,FALSE,OSR,BCN,,QAV,QAV30E,5,3,11,-408.2473028,-403.6307928,-387.5716745,17,45.52,9.995,37231.25,438.5
