id,icao_24bit,aircraft_code,registration,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,time,duration,latitude,longitude,altitude,ground_speed,turn1,turn2,turn3,turn4,deltaD1,deltaD2,deltaD3,deltaD4
347b04b7,46D1F9,C650,SX-TOY,ATH,BQH,LLK601,LLK,LLK601,45.13333333333333,18.891666666666666,49.855000000000004,6.775,37081.25,381.5,1,5,2,0,0.0,0.0,0.0,0.0
347b05d9,06A1D3,GLF6,A7-CGO,MAD,NAS,QE248,QQE,QQE248,44.95,19.645833333333332,40.92,-12.4,42643.75,509.0,2,2,0,0,-101.97879694324024,698.9596757104359,-1276.4706870004943,0.0
347b0641,501C2F,A319,9A-MUC,LPA,DRS,SR3469,BER,SDR36NB,46.233333333333334,20.908333333333335,43.92,7.745,35521.875,485.625,13,8,1,21,6045.110013846848,-6045.110013846848,0.0,0.0
347b07e8,740822,B788,JY-BAB,LHR,AMM,RJ112,RJA,RJA112,16.083333333333336,21.908333333333335,36.85,27.575,38987.5,504.6666666666667,1,1,12,5,0.0,451.7768735948291,-451.7768735948291,0.0
347b0875,150694,CRJ2,RA-67220,DWC,,RFE9005,PLG,RFE9005,2.283333333333333,19.774074074074075,39.23,39.03,32933.333333333336,400.8888888888889,26,9,1,16,-819.3917685906544,0.0,0.0,0.0
347b0bb6,4CAA15,B789,EI-MGL,FRA,UBN,OM138,MGL,MGL138,16.15,19.141666666666666,56.155,40.730000000000004,36983.333333333336,509.5,3,11,2,8,0.0,0.0,0.0,0.0
347b0e7a,780A7B,A332,B-LNV,ALA,IST,RH9489,HKC,HKC9489,17.183333333333334,20.656666666666666,41.585,41.57,34665.0,429.9,1,48,5,32,5645.845074785059,-4022.0085411607224,-1623.8365336243369,0.0
347b0f68,730601,A343,EP-APA,IKA,IST,EP512,IRC,IRC512,45.11666666666667,18.891666666666666,40.165000000000006,35.995000000000005,38000.0,457.75,0,3,1,0,0.0,974.6751985137806,30.87510868667016,0.0
347b113e,76CCE2,A359,9V-SGB,EWR,SIN,SQ21,SIA,SIA21,3.4166666666666665,19.09102564102564,48.25,5.52,37004.153846153844,531.5384615384615,33,3,4,23,0.0,0.0,0.0,2666.592964399132
347b124c,511170,A20N,ES-MBA,TFS,MUC,DI6585,MBU,MBU6585,2.25,19.524074074074075,42.84,-0.04,37108.333333333336,484.44444444444446,20,7,9,35,0.0,654.6259669876068,-654.6259669876068,0.0
347b1464,4D2475,B738,9H-KAR,FCO,TLV,BZ131,BBG,BBG131,2.216666666666667,19.775925925925925,37.0,24.02,37000.0,459.22222222222223,1,10,1,21,0.0,0.0,0.0,0.0
347b17c4,A0E1E8,GLEX,N156QS,CAT,CGN,,EJA,N156QS,31.2,19.271428571428572,45.4,-2.75,39517.857142857145,492.42857142857144,21,5,14,20,0.0,1385.1194025703758,-1385.1194025703758,0.0
347b17d6,AB5C12,B789,N831AA,ORD,LHR,AA90,AAL,AAL90,16.183333333333334,23.158333333333335,53.465,-6.56,29004.166666666668,467.3333333333333,5,3,10,163,-50.11697920496135,-852.1214555234754,942.0090317952482,-684.6366959108772
347b18b7,05E057,B38M,5T-CLJ,NKC,TUN,L6116,MAI,MAI116,45.11666666666667,19.904166666666665,36.175,3.455,35000.0,506.75,8,38,9,0,0.0,1520.978037610082,-1520.978037610082,0.0
347b1900,440028,C55B,OE-GPS,TOS,DUS,,TYW,TYW848S,1.2,19.016666666666666,56.71,9.99,38000.0,357.6,7,0,1,4,0.0,0.0,0.0,611.2372625194608
347b1a2b,A0BE20,GLEX,N147QS,LTN,DWC,,EJA,N147QS,46.25,21.158333333333335,40.875,19.72,40993.75,506.75,7,2,8,15,-1502.1199260942974,0.0,4232.386266935635,-3912.8950712950355
347b1ed0,4B8467,B744,TC-ACG,IST,CDG,TK6307,RUN,THY6307,1.1333333333333333,19.016666666666666,48.61,13.53,37590.0,457.4,1,1,2,35,0.0,371.4887329238774,-371.4887329238774,0.0
347b2104,4CC546,A21N,TF-PLB,AGP,KEF,,FPY,FPY43M,32.233333333333334,19.775757575757577,52.18,-10.81,39013.63636363636,367.6363636363636,11,0,13,19,0.0,0.0,0.0,933.7113740049464
347b2484,140AC5,E35L,RA-02757,TAS,,DXT9657,DXT,DXT9657,1.1,19.776666666666664,43.48,46.91,38000.0,423.2,2,1,4,5,579.4583949780499,-579.4583949780499,0.0,0.0
347b24c9,4B028C,E290,HB-AZC,HRG,ZRH,2L719,OAW,OAW719,31.183333333333334,20.27857142857143,42.68,17.54,38000.0,408.14285714285717,5,1,11,6,-665.654976144575,0.0,0.0,0.0
347b24fc,600B22,B744,4K-BCH,LGG,GYD,7L752,AZG,AZG752,32.3,20.278787878787877,42.25,35.33,35797.72727272727,474.8181818181818,1,2,2,12,0.0,0.0,0.0,469.0637701619599
347b2506,4A29F9,A320,YR-JOY,DUB,IAS,H4244,HYM,HYS244,45.06666666666667,19.395833333333332,48.92,19.74,37000.0,466.0,2,2,20,0,0.0,0.0,0.0,0.0
347b2748,3CF571,C25B,D-CUGF,PAD,AGP,,ATL,ATL6U,31.216666666666665,19.271428571428572,42.23,-2.04,40200.0,375.7142857142857,1,1,1,12,0.0,0.0,1614.6198907948633,-1614.6198907948633
347b28bb,47B12E,B789,LN-FNC,OSL,BKK,N091,NBT,NBT091,3.4,21.032051282051285,40.5,37.03,34680.769230769234,507.3076923076923,1,2,9,14,148.91105592162353,764.0668260392284,37.782470581425855,35.236107582434556
347b296b,142AFC,GLF4,RA-11044,GOJ,,MMM9632,MMM,MMM9632,1.1666666666666667,19.016666666666666,44.27,46.54,43000.0,463.2,45,58,21,15,0.0,0.0,0.0,1606.2085148369215
347b2a22,3CCBB6,C55B,D-CELI,PNA,BER,,EUL,EUL5R,45.166666666666664,18.891666666666666,35.605,-7.7,41000.0,340.75,2,7,0,0,0.0,2424.776274142624,-2424.776274142624,0.0
347b2a2e,44A0C8,C56X,OO-HFH,RTM,XRY,,BNJ,OOHFH,1.15,19.016666666666666,42.17,-2.08,42905.0,400.0,0,1,7,0,1832.0087881102536,-1832.0087881102536,692.7346946193459,188.9341195535933
347b2ae8,A95C2F,B744,N702CA,,,,NCR,CMB559,48.516666666666666,19.408333333333335,47.965,18.295,34650.0,466.75,23,0,1,31,2554.3907159981286,-2554.3907159981286,1535.9154813264045,-1535.9154813264045
347b2bf0,39A205,B738,F-HIQF,IST,CDG,FX4713,ABR,FDX4713,45.083333333333336,20.158333333333335,49.34,9.485,35081.25,417.0,8,2,10,0,340.6937793865036,39.62019950511899,-380.3139788916226,0.0
347b2d49,508405,B738,UR-SQC,RMO,CDG,5F901,SQP,FIA901,16.2,19.144444444444442,49.805,12.73,37337.5,413.8333333333333,12,2,11,10,0.0,1008.95855797956,-1008.95855797956,0.0
347b2da7,4D2103,CRJ2,9H-JOY,IST,PSA,,AXY,AXY134J,45.06666666666667,19.141666666666666,42.315,17.005,34000.0,389.5,1,1,1,0,0.0,215.23900062384905,-215.23900062384905,0.0
347b3193,347648,E295,EC-OEP,FLR,LPA,NT3073,IBB,IBB1ZF,2.3,19.524074074074075,38.13,-2.67,35000.0,398.55555555555554,14,14,1,0,0.0,0.0,0.0,0.0
347b3268,717C74,A20N,HZ-NS68,JED,MRS,XY659,KNE,KNE659,31.116666666666667,22.033333333333335,42.41,13.54,34703.57142857143,399.7142857142857,20,2,1,46,-546.6680326156927,5360.902419944682,-6530.835880792773,8025.104760021518
347b32ad,3C56A1,A321,D-AEUA,CMN,FRA,LH8349,GEC,GEC8349,1.15,19.27,46.32,0.09,34010.0,463.8,1,1,0,42,0.0,0.0,0.0,4917.3882412786525
347b3350,899105,B744,B-18719,AMS,BOM,CI5686,CAL,CAL5686,47.266666666666666,20.901388888888885,41.94,36.39,32993.75,488.6666666666667,2,2,6,4,0.0,0.0,883.5522991537792,6733.439630577677
347b336d,398699,A21N,F-HBUZ,ORY,EWR,B0300,DJT,DJT300,16.15,19.141666666666666,52.86,-10.915,34979.166666666664,340.8333333333333,2,1,2,17,0.0,0.0,0.0,0.0
347b33b9,3009C5,FA7X,I-FDIA,FAB,CIA,SIO626,SIO,SIO626,1.1166666666666667,19.016666666666666,45.78,6.2,41145.0,498.0,5,3,1,10,0.0,0.0,0.0,0.0
347b34cb,600012,B735,EK-SHC,EVN,,,SHS,,16.183333333333334,19.144444444444442,48.1,51.95,35004.166666666664,422.8333333333333,2,20,0,16,0.0,0.0,0.0,0.0
347b34e2,39C5CA,A333,F-HROK,ORY,ABJ,SS984,CRL,CRL984,1.1166666666666667,19.016666666666666,37.92,2.36,37400.0,439.2,10,3,1,2,1198.4723986459448,-1198.4723986459448,0.0,0.0
347b353a,4B1942,A320,HB-JOS,ZRH,PRN,GM602,GSW,GSW2KP,45.06666666666667,19.141666666666666,43.92,16.19,34693.75,447.75,9,1,2,0,0.0,0.0,0.0,0.0
