,id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
33,347b58ce,4BB165,B77W,TC-LKE,0,IST,BOM,6E18,IGO,IGO018,0.05276181729939467,0.013737352432650235,0.0,0.0,0.0,0.048574700273564204,0.001324372143078469,38.83,38.62,0.9999033551405799,0.013839306956556281
34,347b5996,096028,B38M,D4-CCJ,0,BGY,SID,VR631,TCV,TCV631,0.010552363459878934,0.02060602864897535,0.02582814307307243,0.0,0.0,0.0,0.0009242565014794838,39.12,-1.18,0.9999339961451369,0.011452034890645007
35,347b59fc,407E4C,E55P,G-NHHG,0,AGP,SEN,,VCG,VCG2HG,0.0026380908649697335,0.048080733514275824,0.001986780236390187,0.0,0.03905479100202873,0.09285939031043496,0.0011489248188646225,43.88,-2.665,0.9999469456392789,0.01023649737154005
36,347b5c97,485D61,E145,PH-DWA,0,KEF,LGG,AGR1943,AGR,AGR1943,0.039571362974546005,0.013737352432650235,0.011920681418341121,0.0,0.0,0.0,0.0012490187915463115,58.24,-4.82,0.9999129348689515,0.013136309748869373
37,347b6004,06A1D2,GLF6,A7-CGN,0,DIA,LIN,QE985,QQE,QQE985,0.05539990816436441,0.33656513459993076,0.001986780236390187,-0.24122716551854592,-0.21638681717183295,-0.13497092032079772,0.00011824614543268809,43.82,24.705,0.9999341610410247,0.011474301766604756
38,347b6085,424502,B738,VQ-BHE,0,MUC,DYU,SZ122,SMR,SMR122,0.010552363459878934,0.02060602864897535,0.03178848378224299,0.01550434563365124,0.23685437501975812,0.0,0.0009546777729020767,42.26,33.71,0.9999118818425738,0.013240737909656328
39,347b608c,867FAC,B77W,JA733J,0,CDG,HND,JL46,JAL,JAL46,0.005276181729939467,0.0412120572979507,0.007947120945560748,-0.09922454023546842,-0.03354635534111566,0.18721110604244412,0.0005855431723996419,41.33,33.19,0.9998743380155473,0.01584188489935792
40,347b6322,0101A7,A320,SU-BQK,0,NTE,LXR,NP7156,NIA,NIA7156,0.007914272594909202,0.08929279081222652,0.0059603407091705606,0.0,0.0,0.1535105362832633,0.0009208010638492732,39.19,13.63,0.9999006193717206,0.014067818077103071
41,347b64cb,7807D6,A332,B-6538,0,LHR,PVG,MU534,CES,CES534,0.09233318027394068,0.013737352432650235,0.007947120945560748,0.01794442747752127,0.09418137679687694,0.0,0.00010010394516226809,61.19,23.86,0.9998901525967075,0.014821360238950736
42,347b6636,4B8392,DRON,TC-J1,1,,,,HVK,,0.07386654421915254,0.18545425784077815,0.5443777847709113,0.0,0.0,0.25412893700730754,0.002708733812400293,38.260000000000005,26.41,0.9999783142884625,0.0060028088374259655
43,347b6b49,010237,A320,SU-NML,0,CGN,HRG,NE6304,NMA,NMA6304,0.007914272594909202,0.013737352432650235,0.03973560472780374,-0.02997660570426483,0.0008407501622573592,0.017188364737480914,0.0013142396681997187,42.855,22.715,0.9999146471685072,0.012998890413190594
44,347b6bb9,E8021C,B763,CC-CXE,0,FRA,SID,UC1506,LCO,LCO1506,0.06595227162424334,0.02060602864897535,0.03178848378224299,0.030472989811376694,0.009478164404698427,0.09783589296500178,0.00010212338929003734,43.62,-5.67,0.9999114270046513,0.013308933703914226
45,347b6d21,4D2372,A332,9H-TQP,0,STN,ISB,,HFY,HFM640P,0.06595227162424334,0.0,0.007947120945560748,0.0029554056550083734,0.020260511287810434,0.12061472159660586,0.0012182451100912284,43.405,25.915,0.9999301882979413,0.011753059571675698
46,347b7026,155C2F,SU95,RA-89135,0,MRV,CEE,D294,SSF,SSF94,0.5935704446181901,0.21292896270607864,0.009933901181950935,0.0,0.0,0.0,0.00047053712218437783,50.120000000000005,43.935,0.99993689113331,0.011224631195164278
47,347b70e4,E494A2,E390,FAB2854,0,LPA,CIA,BRS505,BRS,BRS505,0.05276181729939467,0.1648482291918028,0.0059603407091705606,0.06709889381936249,0.040340588469955856,-0.016904159003246048,0.001568952516411652,39.185,0.355,0.9999038101252175,0.013780743270029205
48,347b73ae,507C8F,B763,UK67010,0,OSR,TAS,C67600,MFX,MFX7600,0.021104726919757868,0.17171690540812792,0.029801703545852803,0.0,0.04907927959689277,0.0,0.0013527692266171393,41.290000000000006,33.614999999999995,0.9999184298911516,0.012700534612125308
49,347b784b,04C11C,B788,5Y-KZF,0,LHR,NBO,KQ101,KQA,KQA101,0.07914272594909201,0.05494940973060094,0.003973560472780374,0.0,0.0,0.1720276610884285,0.0008295613113373409,42.26,15.68,0.9999145299012756,0.0130477860321908
50,347b7c94,781A4B,B77L,B-220F,0,AMS,PVG,CK206,CKK,CKK206,0.013190454324848668,0.02060602864897535,0.03973560472780374,-0.006366702937644333,0.07737522977526162,0.23118522890830875,0.001024302946233873,59.51,30.38,0.9998587528993033,0.01677572812501367
