,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
110,41.02,0.0,34.24,347b0480,89649D,113,39000,488,,A388,A6-API,1711216920,LHR,AUH,EY20,EY,0,-64,ETD71M,ETD
117,40.87,0.0,-4.38,347b4813,4CADA0,185,39000,392,,C56X,EJ-PRLN,1711216921,DUB,AGP,SON5,SO,0,0,SON005,SON
118,39.85,1482.1473695730733,-15.82,347b5ded,AA9808,253,39000,524,,B788,N782AV,1711216915,MAD,BOG,AV11,AV,0,0,AVA011,AVA
119,53.71,280.9797623598822,-11.45,347b2104,4CC546,345,39000,387,,A21N,TF-PLB,1711216920,AGP,KEF,,,0,0,FPY43M,FPY
122,50.05,0.0,5.35,347b784b,04C11C,115,39000,538,,B788,5Y-KZF,1711216920,LHR,NBO,KQ101,KQ,0,64,KQA101,KQA
164,53.05,0.0,6.42,347a3160,7810C6,240,38000,452,,A332,B-8776,1711216920,CKG,LHR,GS7965,GS,0,0,GCR7965,GCR
196,56.71,0.0,-8.6,347b49c3,C023C8,290,38000,434,,B789,C-FNOH,1711216921,FRA,YYZ,AC843,AC,0,0,ACA843,ACA
233,43.61,0.0,44.45,347b2484,140AC5,275,38000,438,,E35L,RA-02757,1711216922,TAS,,DXT9657,DX,0,0,DXT9657,DXT
237,45.11,0.0,4.24,347b124c,511170,56,38000,472,,A20N,ES-MBA,1711216920,TFS,MUC,DI6585,DI,0,128,MBU6585,MBU
271,41.4,0.0,19.15,347b24c9,4B028C,322,38000,414,,E290,HB-AZC,1711216919,HRG,ZRH,2L719,2L,0,0,OAW719,OAW
318,37.36,1109.3949757712244,-6.22,347b8006,49D526,76,37550,446,,C680,OK-OSK,1711216922,FAO,NCE,BOH113,BO,0,1408,BOH113,BOH
386,36.25,0.0,26.15,347b1464,4D2475,114,37000,464,,B738,9H-KAR,1711216922,FCO,TLV,BZ131,BZ,0,0,BBG131,BBG
399,58.96,0.0,-6.19,347b5c97,485D61,137,37000,498,,E145,PH-DWA,1711216919,KEF,LGG,AGR1943,AG,0,0,AGR1943,AGR
401,42.48,0.0,32.94,347b24fc,600B22,99,37000,430,,B744,4K-BCH,1711216920,LGG,GYD,7L752,7L,0,0,AZG752,AZG
489,36.68,0.0,42.86,347b6ca7,4B990D,93,37000,520,,A320,TC-FHM,1711216915,GZP,IKA,FH941,FH,0,0,FHY941,FHY
490,35.96,1641.0730452395137,22.31,347b3990,060040,137,37000,515,,A359,3B-NCE,1711216921,CDG,MRU,MK15,MK,0,0,MAU15,MAU
524,50.13,0.0,5.91,347b6fac,501D1D,111,37000,511,,A319,9A-CTH,1711216921,LHR,ZAG,OU491,OU,0,64,CTN82W,CTN
557,56.24,0.0,49.07,347b69b1,780EF8,91,37000,524,,A333,B-8287,1711216921,SVO,PEK,HU7986,HU,0,0,CHH7986,CHH
642,39.79,0.0,0.12,347b0641,501C2F,44,36025,511,,A319,9A-MUC,1711216920,LPA,DRS,SR3469,SR,0,0,SDR36NB,BER
648,46.65,484.6993367929361,23.18,347b7ca2,504E72,263,36025,421,,A320,ER-00008,1711216920,RMO,LIS,5F811,5F,0,64,FIA811,FIA
690,59.01,0.0,13.77,347b5e90,477FF2,320,36000,434,,C17,08-0002,1711216920,RZE,,,,0,64,BRK85,BRK
701,39.27,0.0,19.04,347b37e6,4CA961,310,36000,420,,B38M,EI-RZC,1711216921,SSH,MXP,NO4529,NO,0,0,NOS4529,NOS
708,49.17,340.6937793865036,10.81,347b2bf0,39A205,281,36000,407,,B738,F-HIQF,1711216920,IST,CDG,FX4713,FX,0,0,FDX4713,ABR
734,40.1,0.0,43.43,347b395e,683298,265,36000,410,,B738,UP-B3732,1711216920,AKX,IST,DV495,DV,0,64,VSV495,VSV
747,48.25,0.0,-10.98,347b50e3,0C802E,213,36000,505,,A343,PZ-TCW,1711216919,AMS,PBM,PY993,PY,0,0,SLM993,SLM
765,48.41,0.0,13.5,347afe78,486648,313,36000,430,,B39M,PH-CDP,1711216921,HRG,AMS,CD620,CD,0,0,CND620,CND
771,41.19,1623.8365336243369,47.45,347b0e7a,780A7B,281,36000,415,,A332,B-LNV,1711216920,ALA,IST,RH9489,RH,0,0,HKC9489,HKC
803,46.82,0.0,14.82,347b73b1,45203C,320,36000,440,,B733,LZ-BVL,1711216920,PRN,FMO,IV640,IV,0,-64,GPX640,BVL
821,56.77,0.0,25.21,347ae904,7810C4,270,36000,392,,B763,B-1589,1711216920,KGF,LGG,O37429,O3,0,0,CSS7429,CSS
827,49.42,0.0,14.16,347a1c11,89900D,300,36000,440,,B77W,B-16739,1711216920,BKK,LHR,BR67,BR,0,0,EVA067,EVA
828,54.72,1826.0915785198376,10.27,347a113c,781284,238,36000,460,,A333,B-1017,1711216921,SZX,LHR,ZH9067,ZH,0,0,CSZ9067,CSZ
830,52.86,0.0,45.33,347a4981,151D76,291,36000,410,,B763,RA-73078,1711216915,HKT,VKO,ZF4106,ZF,0,64,AZV4106,AZV
836,45.31,0.0,23.27,347a1f0d,39B221,301,36000,464,,B77L,F-HMRB,1711216922,HKG,CDG,2C611,2C,0,0,CMA611,CMA
849,48.55,0.0,14.49,347a26ec,780204,290,36000,432,,B77W,B-KPD,1711216922,HKG,LHR,CX253,CX,0,0,CPA253,CPA
854,47.51,0.0,18.15,3479f758,885178,294,36000,459,,B77W,HS-TKX,1711216921,BKK,LHR,TG916,TG,0,0,THA916,THA
855,50.87,0.0,-7.64,347b6225,39CE24,297,36000,397,,A359,F-HTRE,1711216922,ORY,EWR,BF720,BF,0,0,FBU72J,FWI
867,47.39,0.0,17.44,347ab59a,70C126,290,35975,426,,A21N,A4O-OXA,1711216922,MCT,MUC,OV995,OV,0,64,OMS995,OMS
900,37.84,0.0,-3.79,347b59fc,407E4C,7,35925,433,,E55P,G-NHHG,1711216921,AGP,SEN,,,0,1280,VCG2HG,VCG
917,38.21,0.0,-4.65,347b2748,3CF571,194,35425,333,,C25B,D-CUGF,1711216921,PAD,AGP,,,0,-1792,ATL6U,ATL
919,61.4,0.0,19.06,347b6874,4ACAC2,196,35325,391,,PC24,SE-RVB,1711216921,LLA,ARN,,,0,-2112,SWE25V,SWE
924,53.26,0.0,-2.41,347b84e2,4007DB,315,35075,330,,E145,G-SAJJ,1711216918,LHR,LDY,LM656,LM,0,448,LOG4RU,LOG
947,43.92,0.0,47.49,347b6cce,151FDB,90,35025,456,,A320,RA-73691,1711216920,AER,TJM,YC886,YC,0,0,LLM886,LLM
965,43.86,0.0,43.38,347b474a,155BF6,86,35000,450,,SU95,RA-89078,1711216922,AYT,DME,IO1802,IO,0,-64,IAE1802,IAE
968,44.94,0.0,52.67,347b4919,601828,170,35000,458,,B77W,EZ-A781,1711216920,DME,ASB,T5706,T5,0,64,TUA706,TUA
973,58.51,0.0,52.05,347b6e37,151E2E,75,35000,495,,B737,RA-73262,1711216921,VKO,YKS,R3474,R3,0,0,SYL474,SYL
987,35.85,0.0,14.06,347b7f02,717CCC,96,35000,493,,A20N,HZ-NS47,1711216922,CZL,MED,XY666,XY,0,0,KNE666,KNE
993,37.59,0.0,-2.4,347b738e,346107,244,35000,392,,B738,EC-NAB,1711216919,MAH,SVQ,LAV5524,LA,0,0,LAV5524,LAV
1004,44.11,296.64731178358494,41.5,347b8419,151F16,81,35000,426,,B738,RA-73494,1711216920,AER,SGC,UT512,UT,0,0,UTA512,UTA
1007,39.67,0.0,34.73,347b58ce,4BB165,104,35000,487,,B77W,TC-LKE,1711216920,IST,BOM,6E18,6E,0,0,IGO018,IGO
1038,47.93,0.0,45.28,347b7026,155C2F,349,35000,432,,SU95,RA-89135,1711216919,MRV,CEE,D294,D2,0,-128,SSF94,SSF
1059,36.21,0.0,-5.96,347b3193,347648,235,35000,394,,E295,EC-OEP,1711216922,FLR,LPA,NT3073,NT,0,64,IBB1ZF,IBB
