,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
0,39.83,0.0,36.41,347ade9a,4B17DD,96,45000,506,,GLF5,HB-JAZ,1711211508,GVA,ALA,PP550,PP,0,64,PJS550,PJS
3,41.02,0.0,48.95,347afa46,151F37,330,43000,466,,GLEX,RA-73527,1711211509,AZI,VKO,RSJ9627,RS,0,0,RSJ9627,RSJ
4,47.58,0.0,46.54,347b296b,142AFC,132,43000,522,,GLF4,RA-11044,1711211507,GOJ,,MMM9632,MM,0,0,MMM9632,MMM
5,40.41,0.0,-7.18,347b17c4,A0E1E8,49,43000,482,,GLEX,N156QS,1711211510,CAT,CGN,,,0,0,N156QS,EJA
12,45.21,0.0,0.08,347b2a2e,44A0C8,207,42525,392,,C56X,OO-HFH,1711211509,RTM,XRY,,,0,960,OOHFH,BNJ
13,48.83,0.0,2.0,347b33b9,3009C5,142,41700,504,,FA7X,I-FDIA,1711211509,FAB,CIA,SIO626,SI,0,640,SIO626,SIO
17,37.34,0.0,-6.24,347b2a22,3CCBB6,213,41000,340,,C55B,D-CELI,1711211507,PNA,BER,,,0,0,EUL5R,EUL
18,35.4,0.0,-9.59,347b0140,3A2589,197,41000,458,,FA8X,F-OJMJ,1711211508,LBG,DKR,,,0,0,DSO16MJ,DSO
19,42.05,0.0,30.81,347af544,732541,109,41000,451,,A332,EP-IJA,1711211506,FRA,IKA,IR720,IR,0,-64,IRA720,IRA
22,36.65,0.0,43.46,347abca7,45D93A,134,41000,528,,GL5T,OY-VIZ,1711211243,LBG,EBL,VMP944,VM,0,0,VMP944,VMP
24,52.01,0.0,9.51,347b1244,45B187,359,41000,458,,CL60,OY-LLG,1711211508,PMI,BLL,,,0,-64,SUS3GB,SUS
27,50.06,0.0,4.79,347b3c05,30095A,129,41000,458,,PC24,I-LRSL,1711211508,BQH,LIN,CPV714,CP,0,-128,CPV714,CPV
29,46.62,0.0,1.11,347b2748,3CF571,207,41000,410,,C25B,D-CUGF,1711211508,PAD,AGP,,,0,0,ATL6U,ATL
33,37.34,0.0,-5.94,347b29c1,3CE690,261,40225,371,,PC24,D-COPS,1711211510,PMI,FAO,PTN169,PT,0,-1088,PTN169,PTN
40,51.21,0.0,8.58,347a69bc,400A99,302,40000,421,,B737,G-NEWG,1711211509,DWC,NCL,,,0,-128,BRO922B,BRO
47,51.18,0.0,4.23,34799b10,8990EC,290,40000,454,,A359,B-18917,1711211510,TPE,LHR,CI81,CI,0,0,CAL081,CAL
54,36.55,0.0,33.51,347b331f,4BB47A,340,40000,622,,A332,TC-MCZ,1711211508,TLV,IST,MB541,MB,0,0,MNB541,MNB
61,49.6,0.0,6.89,347b3640,4D238B,311,40000,433,,E550,9H-LFX,1711211508,VCE,LTN,,,0,0,FJO66L,LXJ
105,40.73,0.0,48.28,347afe9f,440CE0,88,39025,523,,B744,OE-LRG,1711211509,TLV,HKG,5C851,5C,0,0,ICL851,CHG
119,41.85,0.0,39.36,347ad568,5140C2,91,39000,468,,B737,4L-NIK,1711211505,NCE,TBS,A9768,A9,0,0,TGZ768,TGZ
135,34.52,0.0,35.2,347ab5e5,740D29,113,39000,516,,E35L,JY-CII,1711211507,FAB,ADJ,,,0,64,JYCII,AWS
140,44.46,0.0,-9.31,347b2104,4CC546,348,39000,396,,A21N,TF-PLB,1711211509,AGP,KEF,,,0,64,FPY43M,FPY
193,37.68,0.0,23.87,347b1bc8,501C1C,141,38975,467,,A320,9A-BTK,1711211508,LJU,HRG,C3175,C3,0,-64,TDR175,TDR
215,48.48,0.0,9.69,347b04b7,46D1F9,307,38025,372,,C650,SX-TOY,1711211506,ATH,BQH,LLK601,LL,0,128,LLK601,LLK
222,59.65,0.0,11.37,347b1900,440028,190,38000,380,,C55B,OE-GPS,1711211504,TOS,DUS,,,0,-64,TYW848S,TYW
227,52.89,0.0,19.24,347b3a2d,4B0294,236,38000,400,,E295,HB-AZK,1711211504,VNO,ZRH,LX1341,LX,0,64,SWR1341,OAW
286,48.95,0.0,19.14,347b2d49,508405,295,38000,410,,B738,UR-SQC,1711211508,RMO,CDG,5F901,5F,0,0,FIA901,SQP
304,56.9,0.0,24.42,347a3160,7810C6,274,38000,426,,A332,B-8776,1711211504,CKG,LHR,GS7965,GS,0,-64,GCR7965,GCR
320,45.84,0.0,11.75,347b305b,3CF68E,335,38000,440,,LJ60,D-CURE,1711211508,SUF,CGN,,,0,-64,ADN64E,ADN
331,44.09,0.0,18.31,347b2a8b,5082E6,241,38000,401,,B739,UR-PSI,1711211510,RMO,FCO,5F297,5F,0,-128,FIA297,WRC
363,39.71,0.0,39.66,347b0f68,730601,282,38000,439,,A343,EP-APA,1711211507,IKA,IST,EP512,EP,0,0,IRC512,IRC
364,35.72,0.0,0.3,347a91e0,710D87,244,38000,418,,A333,HZ-NE23,1711211509,JED,CMN,XY663,XY,0,0,KNE663,KNE
370,40.07,0.0,34.67,347b0afa,7335B4,278,38000,462,,A343,EP-MMT,1711211509,IKA,IST,W5114,W5,0,0,IRM114,IRM
371,34.6,0.0,48.39,347aed06,3CCD4B,324,38000,400,,LJ60,D-CFAX,1711211507,DWC,TZX,IFA1065,IF,0,0,IFA1065,IFA
380,39.32,0.0,30.2,347ae76d,717CB6,336,37975,439,,A20N,HZ-FBB,1711211508,JED,IST,F3807,F3,0,0,FAD807,FAD
539,42.39,0.0,33.91,347ad9ce,682308,98,37000,412,,A320,JU-1410,1711211507,CDG,EVN,OE928,OE,0,0,FOE928,FIA
544,33.86,0.0,24.6,347add5a,0100F6,137,37000,484,,B738,SU-BPZ,1711211509,MAD,LXR,AMV6184,AM,0,0,AMV6184,AMV
575,34.99,0.0,30.87,347b4256,4B990E,178,37000,429,,A320,TC-FHN,1711211510,AYT,SSH,FH759,FH,0,64,FHY759,FHY
635,62.25,0.0,29.56,347ab547,78131E,62,37000,511,,A332,B-1043,1711211508,LIS,HGH,JD622,JD,0,-64,CBJ622,CBJ
665,41.54,0.0,3.19,347b34e2,39C5CA,182,37000,466,,A333,F-HROK,1711211509,ORY,ABJ,SS984,SS,0,0,CRL984,CRL
676,42.99,0.0,4.98,347b30e6,3E3D01,228,37000,330,,C25A,D-IOHL,1711211509,BLQ,BCN,,,0,-64,ECA2HL,ECA
716,56.28,0.0,30.37,347b0bb6,4CAA15,94,36975,563,,B789,EI-MGL,1711211510,FRA,UBN,OM138,OM,0,-64,MGL138,MGL
745,53.58,0.0,7.93,3479f2b8,781112,234,36525,459,,B789,B-7838,1711211509,XMN,AMS,MF811,MF,0,-1472,CXA811,CXA
789,50.7,0.0,22.25,347acd91,503D74,5,36025,483,,A320,LY-PNG,1711211507,HRG,TLL,MYX586,MY,0,-64,MYX586,HST
796,37.57,0.0,-6.76,347b1a86,3474CE,41,36025,497,,B738,EC-OBN,1711211510,TFN,MAD,WT183,WT,0,64,SWT183,NPT
864,50.78,0.0,14.48,347ac46b,0101B4,334,36000,463,,A320,SU-BQM,1711211509,HRG,BRE,NP6291,NP,0,-64,NIA6291,NIA
866,40.44,0.0,-11.91,347b2c21,345103,260,36000,496,,A333,EC-MII,1711211508,MAD,PUJ,E9801,E9,0,0,EVE801,EVE
887,51.84,0.0,43.14,347a2ad9,154E52,346,36000,420,,T154,RA-85586,1711211315,,,CHD64164,CH,0,0,64164,CHD
889,45.73,0.0,-2.98,347b33cb,398175,38,36000,412,,C25M,F-HALV,1711211507,OVD,LBG,,,0,0,VLJ625T,VLJ
898,59.51,0.0,28.77,347a113c,781284,261,36000,436,,A333,B-1017,1711211508,SZX,LHR,ZH9067,ZH,0,0,CSZ9067,CSZ
930,43.63,0.0,18.76,347b5435,4520FB,325,36000,416,,B734,LZ-GPA,1711211507,PRN,DUS,IV822,IV,0,0,GPX822,GPX
939,56.22,0.0,42.34,347ae904,7810C4,280,36000,370,,B763,B-1589,1711211504,KGF,LGG,O37429,O3,0,0,CSS7429,CSS
946,45.63,0.0,5.47,347adde7,45AA53,46,36000,500,,A320,OY-JRS,1711211508,LPA,BER,SR3601,SR,0,64,SDR30MH,DTR
975,39.96,0.0,38.75,347ae599,4D0115,309,36000,475,,B744,LX-ECV,1711211507,DWC,LUX,CV7205,CV,0,0,CLX7XM,CLX
1005,42.41,0.0,31.34,347ab59a,70C126,283,36000,488,,A21N,A4O-OXA,1711211505,MCT,MUC,OV995,OV,0,-64,OMS995,OMS
1013,55.88,0.0,43.09,347b29f2,151DE1,248,36000,381,,B738,RA-73185,1711211509,IJK,DME,I8307,I8,0,0,IZA307,IZA
1016,57.69,0.0,-12.92,347b1401,C06022,292,35975,410,,B789,C-GKKN,1711211508,LHR,YYC,WS19,WS,0,0,WJA19,WJA
1030,36.11,0.0,-6.02,347b124c,511170,42,35975,518,,A20N,ES-MBA,1711211509,TFS,MUC,DI6585,DI,0,64,MBU6585,MBU
1035,46.94,0.0,18.51,347b1ed0,4B8467,297,35975,454,,B744,TC-ACG,1711211509,IST,CDG,TK6307,TK,0,0,THY6307,RUN
1056,52.06,0.0,-5.64,347b4813,4CADA0,171,35875,464,,C56X,EJ-PRLN,1711211508,DUB,AGP,SON5,SO,0,1088,SON005,SON
1087,47.85,0.0,23.01,347b18bf,45B534,101,35025,477,,CRJ9,OY-MIT,1711211508,AMS,RMO,GAV213,GA,0,64,GAV213,GAV
1110,43.94,0.0,49.55,347b34cb,600012,27,35025,447,,B735,EK-SHC,1711211510,EVN,,,,0,64,,SHS
1116,42.34,0.0,3.98,347b3193,347648,234,35000,398,,E295,EC-OEP,1711211508,FLR,LPA,NT3073,NT,0,64,IBB1ZF,IBB
1131,50.69,0.0,-6.31,347b336d,398699,309,35000,360,,A21N,F-HBUZ,1711211510,ORY,EWR,B0300,B0,0,0,DJT300,DJT
1152,50.34,0.0,18.54,347b33ff,502D66,32,35000,538,,E35L,YL-DAN,1711211509,VCE,RIX,,,0,192,UAG65D,UAG
1169,58.94,0.0,47.38,347b27dd,151F6F,103,35000,505,,CRJ2,RA-73583,1711211507,LED,,DXT9683,DX,0,0,DXT9683,DXT
1192,45.27,0.0,10.82,347b3990,060040,110,35000,547,,A359,3B-NCE,1711211508,CDG,MRU,MK15,MK,0,0,MAU15,MAU
1227,63.71,0.0,46.52,347b1f99,781783,89,35000,527,,B789,B-20D1,1711211509,HEL,PVG,HO1608,HO,0,0,DKH1608,DKH
1247,50.95,0.0,42.65,347acaf3,51012D,329,35000,412,,B738,EW-544PA,1711211503,IST,MSQ,B2784,B2,0,0,BRU784,BRU
1276,45.39,0.0,20.51,347b4efe,452086,153,35000,428,,A320,LZ-BHL,1711211504,BUD,SOF,8H7002,8H,0,-64,BGH7002,UBD
1318,34.7,0.0,44.98,347aa63a,7C806E,161,34975,478,,B789,VH-ZNK,1711211503,LHR,PER,QF10,QF,0,64,QFA10,QFA
1320,42.67,0.0,15.7,347b1f18,452153,77,34975,498,,A320,LZ-FSD,1711211510,BCN,SOF,W64406,W6,0,0,WZZ785,USW
1321,56.41,0.0,45.38,347b29e0,150699,120,34975,540,,GL5T,RA-67225,1711211507,LED,,,,0,-1920,TUL7726,TUL
1337,36.19,0.0,28.44,347b1ad6,4A04E2,137,34975,464,,A320,YR-AGB,1711211508,CLJ,HRG,A24208,A2,0,0,AWG4208,AWG
1350,41.79,0.0,26.65,347ac908,010256,146,34950,470,,A321,SU-TCM,1711211508,SVO,HRG,UJ402,UJ,0,0,LMU402,LMU
1394,42.86,0.0,-0.07,347b3ad1,4C01EE,52,34025,466,,A320,YU-APO,1711211509,MAD,BEG,JU571,JU,0,0,ASL84M,ASL
1395,48.4,0.0,9.02,347b42b4,4858C7,136,34025,462,,E135,PH-DWS,1711211510,ANR,INN,AGR1000,AG,0,-1536,AGR1000,AGR
1414,52.55,0.0,-9.01,347b207a,AAA326,279,34000,397,,B772,N785AN,1711211510,LHR,RDU,AA173,AA,0,0,AAL173,AAL
1417,48.96,0.0,11.75,347b42e7,3C5DB0,302,34000,419,,E190,D-AGMP,1711211508,LJU,CGN,,,0,64,GER336F,GER
1424,44.13,0.0,50.1,347aeb85,151E80,210,34000,409,,B739,RA-73344,1711211510,SCW,AER,EO460,EO,0,0,KAR460,KAR
1430,45.81,0.0,23.86,347abd28,3C4588,308,34000,472,,B77L,D-AALH,1711211509,BAH,LEJ,3S539,3S,0,0,BOX539,BOX
1479,53.52,0.0,42.26,347ad062,507C5D,292,34000,386,,A320,UK32030,1711211503,TAS,VKO,HH777,HH,0,0,QNT777,QNT
1483,53.53,0.0,-2.51,347ae5fb,4A1265,277,34000,414,,A320,YR-DSE,1711211508,BCM,DUB,DN407,DN,0,64,JOC407,JOC
1495,41.66,0.0,39.25,347a1f0d,39B221,274,34000,480,,B77L,F-HMRB,1711211507,HKG,CDG,2C611,2C,0,0,CMA611,CMA
0,39.94,3376.8779880887614,39.17,347ade9a,4B17DD,88,44975,514,,GLF5,HB-JAZ,1711212411,GVA,ALA,PP550,PP,0,-64,PJS550,PJS
3,43.69,1832.0087881102538,-1.03,347b2a2e,44A0C8,207,43000,417,,C56X,OO-HFH,1711212413,RTM,XRY,,,0,64,OOHFH,BNJ
6,46.03,0.0,48.6,347b296b,142AFC,177,43000,463,,GLF4,RA-11044,1711212412,GOJ,,MMM9632,MM,0,0,MMM9632,MMM
7,47.24,0.0,4.07,347b33b9,3009C5,137,43000,496,,FA7X,I-FDIA,1711212413,FAB,CIA,SIO626,SI,0,0,SIO626,SIO
9,41.95,0.0,-5.51,347b17c4,A0E1E8,28,43000,483,,GLEX,N156QS,1711212414,CAT,CGN,,,0,-64,N156QS,EJA
12,50.19,1071.9930366386843,-5.21,347b4813,4CADA0,171,41000,453,,C56X,EJ-PRLN,1711212413,DUB,AGP,SON5,SO,0,0,SON005,SON
14,45.11,0.0,-0.01,347b2748,3CF571,206,41000,402,,C25B,D-CUGF,1711212412,PAD,AGP,,,0,-64,ATL6U,ATL
16,41.42,0.0,33.12,347af544,732541,111,41000,472,,A332,EP-IJA,1711212407,FRA,IKA,IR720,IR,0,64,IRA720,IRA
18,48.67,2421.2006031980973,6.76,347b3c05,30095A,143,41000,444,,PC24,I-LRSL,1711212413,BQH,LIN,CPV714,CP,0,0,CPV714,CPV
19,33.59,1909.8924076660555,-10.28,347b0140,3A2589,197,41000,456,,FA8X,F-OJMJ,1711212414,LBG,DKR,,,0,0,DSO16MJ,DSO
20,36.16,0.0,-7.16,347b2a22,3CCBB6,211,41000,325,,C55B,D-CELI,1711212414,PNA,BER,,,0,0,EUL5R,EUL
26,42.92,0.0,48.21,347afa46,151F37,352,41000,488,,GLEX,RA-73527,1711212413,AZI,VKO,RSJ9627,RS,0,0,RSJ9627,RSJ
42,37.94,0.0,31.8,347b331f,4BB47A,311,40000,451,,A332,TC-MCZ,1711212413,TLV,IST,MB541,MB,0,0,MNB541,MNB
77,50.71,0.0,4.69,347b3640,4D238B,307,40000,431,,E550,9H-LFX,1711212412,VCE,LTN,,,0,0,FJO66L,LXJ
82,52.13,0.0,6.16,347a69bc,400A99,300,40000,422,,B737,G-NEWG,1711212413,DWC,NCL,,,0,0,BRO922B,BRO
98,40.73,0.0,51.14,347afe9f,440CE0,90,39025,523,,B744,OE-LRG,1711212414,TLV,HKG,5C851,5C,0,0,ICL851,CHG
99,46.05,0.0,-9.48,347b2104,4CC546,359,39025,377,,A21N,TF-PLB,1711212413,AGP,KEF,,,0,0,FPY43M,FPY
107,52.14,0.0,20.47,347b33ff,502D66,34,39000,508,,E35L,YL-DAN,1711212412,VCE,RIX,,,0,0,UAG65D,UAG
119,41.74,465.6182584388273,41.58,347ad568,5140C2,94,39000,472,,B737,4L-NIK,1711212407,NCE,TBS,A9768,A9,0,0,TGZ768,TGZ
121,33.82,0.0,35.49,347ab5e5,740D29,90,39000,530,,E35L,JY-CII,1711212411,FAB,ADJ,,,0,-128,JYCII,AWS
165,36.1,0.0,25.39,347b1bc8,501C1C,142,39000,488,,A320,9A-BTK,1711212413,LJU,HRG,C3175,C3,0,0,TDR175,TDR
200,49.42,0.0,7.78,347b04b7,46D1F9,306,38025,378,,C650,SX-TOY,1711212410,ATH,BQH,LLK601,LL,0,-128,LLK601,LLK
201,38.98,0.0,-15.46,347b16d3,49526B,268,38025,473,,A20N,CS-TSK,1711212407,LIS,TER,S4135,S4,0,0,RZO135,RZO
223,40.48,0.0,32.17,347b0afa,7335B4,290,38000,470,,A343,EP-MMT,1711212413,IKA,IST,W5114,W5,0,0,IRM114,IRM
240,40.74,0.0,20.16,3479fe60,71C216,279,38000,452,,B77W,HL8216,1711212414,ICN,FCO,KE931,KE,0,0,KAL931,KAL
244,58.14,0.0,10.78,347b1900,440028,197,38000,356,,C55B,OE-GPS,1711212412,TOS,DUS,,,0,-64,TYW848S,TYW
257,51.92,0.0,17.0,347b3a2d,4B0294,234,38000,410,,E295,HB-AZK,1711212408,VNO,ZRH,LX1341,LX,0,-64,SWR1341,OAW
269,56.52,0.0,21.1,347a3160,7810C6,256,38000,433,,A332,B-8776,1711212413,CKG,LHR,GS7965,GS,0,0,GCR7965,GCR
275,47.45,0.0,10.57,347b305b,3CF68E,330,38000,434,,LJ60,D-CURE,1711212413,SUF,CGN,,,0,-128,ADN64E,ADN
284,36.0,0.0,47.24,347aed06,3CCD4B,327,38000,407,,LJ60,D-CFAX,1711212415,DWC,TZX,IFA1065,IF,0,0,IFA1065,IFA
309,34.95,0.0,-1.6,347a91e0,710D87,243,38000,398,,A333,HZ-NE23,1711212414,JED,CMN,XY663,XY,0,0,KNE663,KNE
312,49.49,0.0,16.71,347b2d49,508405,283,38000,397,,B738,UR-SQC,1711212413,RMO,CDG,5F901,5F,0,64,FIA901,SQP
314,47.79,0.0,16.03,347b1ed0,4B8467,296,38000,440,,B744,TC-ACG,1711212412,IST,CDG,TK6307,TK,0,-64,THY6307,RUN
330,43.28,0.0,16.31,347b2a8b,5082E6,240,38000,392,,B739,UR-PSI,1711212414,RMO,FCO,5F297,5F,0,0,FIA297,WRC
339,40.09,0.0,37.32,347b0f68,730601,282,38000,439,,A343,EP-APA,1711212407,IKA,IST,EP512,EP,0,0,IRC512,IRC
406,52.73,0.0,22.68,347acd91,503D74,7,37025,494,,A320,LY-PNG,1711212412,HRG,TLL,MYX586,MY,0,0,MYX586,HST
447,42.15,0.0,36.21,347ad9ce,682308,98,37000,412,,A320,JU-1410,1711212407,CDG,EVN,OE928,OE,0,0,FOE928,FIA
476,56.08,0.0,45.28,347b0083,78147A,91,37000,524,,A333,B-300U,1711212413,SVO,PKX,CZ342,CZ,0,0,CSN342,CSN
544,39.68,1198.4723986459448,2.86,347b34e2,39C5CA,192,37000,431,,A333,F-HROK,1711212412,ORY,ABJ,SS984,SS,0,0,CRL984,CRL
580,62.95,0.0,33.85,347ab547,78131E,76,37000,502,,A332,B-1043,1711212412,LIS,HGH,JD622,JD,0,0,CBJ622,CBJ
583,50.8,0.0,9.59,347b3e90,3C6647,88,37000,492,,E35L,D-AIRG,1711212412,FAB,WAW,H5724,H5,0,128,VJH724,VJT
590,40.25,0.0,15.2,347b1464,4D2475,119,37000,472,,B738,9H-KAR,1711212413,FCO,TLV,BZ131,BZ,0,0,BBG131,BBG
629,46.69,0.0,0.02,347b55c6,39AE39,126,37000,426,,E50P,F-HLRZ,1711212410,SBK,LYN,,,0,0,LWG27F,LWG
711,56.06,0.0,34.12,347b0bb6,4CAA15,97,36975,315,,B789,EI-MGL,1711212415,FRA,UBN,OM138,OM,0,128,MGL138,MGL
738,43.36,0.0,29.11,347ab59a,70C126,311,36050,446,,A21N,A4O-OXA,1711212408,MCT,MUC,OV995,OV,0,0,OMS995,OMS
750,56.46,0.0,39.48,347ae904,7810C4,277,36025,378,,B763,B-1589,1711212410,KGF,LGG,O37429,O3,0,0,CSS7429,CSS
761,46.86,0.0,7.83,347adde7,45AA53,65,36025,504,,A320,OY-JRS,1711212412,LPA,BER,SR3601,SR,0,-64,SDR30MH,DTR
777,58.29,0.0,-15.81,347b1401,C06022,291,36004,404,,B789,C-GKKN,1711212407,LHR,YYC,WS19,WS,0,0,WJA19,WJA
780,53.65,0.0,40.48,347b1e57,151E25,321,36000,394,,B738,RA-73253,1711212415,MCX,DME,Y71042,Y7,0,0,TYA1042,TYA
783,44.35,0.0,26.69,347a26ec,780204,294,36000,471,,B77W,B-KPD,1711212412,HKG,LHR,CX253,CX,0,0,CPA253,CPA
788,40.07,0.0,-14.53,347b2c21,345103,258,36000,498,,A333,EC-MII,1711212411,MAD,PUJ,E9801,E9,0,0,EVE801,EVE
797,47.03,0.0,-1.47,347b33cb,398175,39,36000,392,,C25M,F-HALV,1711212412,OVD,LBG,,,0,0,VLJ625T,VLJ
808,45.03,0.0,17.35,347b5435,4520FB,324,36000,417,,B734,LZ-GPA,1711212410,PRN,DUS,IV822,IV,0,128,GPX822,GPX
831,58.9,0.0,25.35,347a113c,781284,247,36000,434,,A333,B-1017,1711212413,SZX,LHR,ZH9067,ZH,0,0,CSZ9067,CSZ
862,52.73,0.0,41.97,347acaf3,51012D,344,36000,396,,B738,EW-544PA,1711212411,IST,MSQ,B2784,B2,0,0,BRU784,BRU
901,33.65,0.0,13.01,347b50b4,01802E,326,36000,404,,A320,5A-ONA,1711212411,MRA,TUN,8U490,8U,0,0,AAW490,AAW
978,40.84,0.0,36.41,347ae599,4D0115,290,36000,491,,B744,LX-ECV,1711212413,DWC,LUX,CV7205,CV,0,64,CLX7XM,CLX
1004,47.8,0.0,12.21,347b4286,471843,28,35975,513,,C650,HA-JEX,1711212413,MXP,PRG,JSG47,JS,0,64,JSG47,JSH
1020,43.71,0.0,1.45,347af587,501C15,53,35975,478,,A320,9A-IRM,1711212412,FUE,KSF,SR3263,SR,0,0,SDR36GQ,BER
1029,37.87,0.0,-4.51,347b124c,511170,22,35975,504,,A20N,ES-MBA,1711212411,TFS,MUC,DI6585,DI,0,0,MBU6585,MBU
1068,38.49,0.0,43.26,347adfc4,89409E,156,35050,428,,A21N,A9C-NA,1711212413,DME,BAH,GF15,GF,0,64,GFA015,GFA
1078,33.82,0.0,35.49,347b4c5e,748016,90,35025,2,,A320,OD-MRT,1711212414,BEY,CAI,ME306,ME,0,0,MEA306,MEA
1088,45.5,0.0,12.97,347b353a,4B1942,133,35025,454,,A320,HB-JOS,1711212413,ZRH,PRN,GM602,GM,0,0,GSW2KP,GSW
1101,34.74,0.0,30.01,347b1ad6,4A04E2,148,35025,450,,A320,YR-AGB,1711212411,CLJ,HRG,A24208,A2,0,0,AWG4208,AWG
1108,43.73,0.0,13.0,347b3990,060040,135,35000,521,,A359,3B-NCE,1711212413,CDG,MRU,MK15,MK,0,64,MAU15,MAU
1111,58.46,0.0,51.32,347b27dd,151F6F,104,35000,503,,CRJ2,RA-73583,1711212412,LED,,DXT9683,DX,0,64,DXT9683,DXT
1112,40.01,0.0,27.78,347ac908,010256,154,35000,459,,A321,SU-TCM,1711212412,SVO,HRG,UJ402,UJ,0,0,LMU402,LMU
1165,47.4,0.0,25.86,347b18bf,45B534,98,35000,474,,CRJ9,OY-MIT,1711212414,AMS,RMO,GAV213,GA,0,128,GAV213,GAV
1166,54.09,0.0,47.29,347b4919,601828,134,35000,524,,B77W,EZ-A781,1711212409,DME,ASB,T5706,T5,0,0,TUA706,TUA
1202,43.07,0.0,18.43,347b1f18,452153,82,35000,482,,A320,LZ-FSD,1711212413,BCN,SOF,W64406,W6,0,-64,WZZ785,USW
1205,40.13,0.0,17.89,347b44a8,4CAAC1,133,35000,473,,B738,EI-GRJ,1711212410,BLQ,RMF,NO6588,NO,0,-128,NOS6588,NOS
1210,63.65,0.0,51.47,347b1f99,781783,93,35000,527,,B789,B-20D1,1711212414,HEL,PVG,HO1608,HO,0,0,DKH1608,DKH
1233,45.59,0.0,50.71,347b34cb,600012,25,35000,436,,B735,EK-SHC,1711212412,EVN,,,,0,-64,,SHS
1272,41.1,0.0,2.42,347b3193,347648,220,35000,412,,E295,EC-OEP,1711212414,FLR,LPA,NT3073,NT,0,0,IBB1ZF,IBB
1278,39.87,0.0,36.65,347af22f,4BD189,119,35000,466,,B738,TC-TLI,1711212413,MUC,EBL,IA298,IA,0,64,IAW298,IAW
1303,51.6,0.0,-8.13,347b336d,398699,307,34975,338,,A21N,F-HBUZ,1711212414,ORY,EWR,B0300,B0,0,0,DJT300,DJT
1349,39.54,0.0,33.01,347b474a,155BF6,56,34025,441,,SU95,RA-89078,1711212415,AYT,DME,IO1802,IO,0,64,IAE1802,IAE
1362,45.58,0.0,16.93,347aa1ee,4A1A61,301,34000,462,,B744,YR-FSA,1711212413,SHJ,BHX,NJ3319,NJ,0,0,RCR3319,RCR
1363,42.97,0.0,-2.48,347b32ad,3C56A1,29,34000,458,,A321,D-AEUA,1711212413,CMN,FRA,LH8349,LH,0,64,GEC8349,GEC
1366,60.2,0.0,36.86,347a4fc0,7807BD,289,34000,426,,A332,B-6535,1711212407,TFU,LED,3U3815,3U,0,0,CSC3815,CSC
1380,41.76,0.0,36.56,347a1f0d,39B221,273,34000,484,,B77L,F-HMRB,1711212415,HKG,CDG,2C611,2C,0,0,CMA611,CMA
1397,41.59,0.0,20.24,347b2da7,4D2103,287,34000,406,,CRJ2,9H-JOY,1711212413,IST,PSA,,,0,0,AXY134J,AXY
1407,43.44,0.0,48.25,347aeb85,151E80,272,34000,418,,B739,RA-73344,1711212414,SCW,AER,EO460,EO,0,-64,KAR460,KAR
1424,36.65,819.3917685906544,46.06,347b0875,150694,323,34000,390,,CRJ2,RA-67220,1711212412,DWC,,RFE9005,RF,0,0,RFE9005,PLG
1445,54.43,0.0,40.59,347b0f9d,151FBC,310,34000,378,,B738,RA-73660,1711212408,AER,LED,5N546,5N,0,0,AUL546,AUL
1449,52.79,0.0,-11.7,347b207a,AAA326,277,34000,397,,B772,N785AN,1711212414,LHR,RDU,AA173,AA,0,0,AAL173,AAL
1463,47.0,0.0,21.63,347abd28,3C4588,306,34000,460,,B77L,D-AALH,1711212414,BAH,LEJ,3S539,3S,0,0,BOX539,BOX
1470,44.07,0.0,2.12,347b3ad1,4C01EE,53,33975,487,,A320,YU-APO,1711212411,MAD,BEG,JU571,JU,0,0,ASL84M,ASL
1479,40.54,397.0364771225968,34.86,347b4c3e,4B9E02,261,33975,454,,A321,TC-GPB,1711212413,RZV,SAW,TK7375,TK,0,0,THY8XR,FHY
0,40.01,3150.6035748055674,41.99,347ade9a,4B17DD,84,45000,518,,GLF5,HB-JAZ,1711213317,GVA,ALA,PP550,PP,0,-64,PJS550,PJS
1,45.78,0.0,6.2,347b33b9,3009C5,134,43025,490,,FA7X,I-FDIA,1711213318,FAB,CIA,SIO626,SI,0,0,SIO626,SIO
6,44.27,0.0,47.97,347b296b,142AFC,235,43000,434,,GLF4,RA-11044,1711213316,GOJ,,MMM9632,MM,0,-64,MMM9632,MMM
8,42.17,0.0,-2.08,347b2a2e,44A0C8,206,43000,400,,C56X,OO-HFH,1711213317,RTM,XRY,,,0,64,OOHFH,BNJ
9,43.74,1385.1194025703758,-4.35,347b17c4,A0E1E8,23,43000,475,,GLEX,N156QS,1711213317,CAT,CGN,,,0,0,N156QS,EJA
11,40.54,0.0,35.67,347af544,732541,106,41000,472,,A332,EP-IJA,1711213317,FRA,IKA,IR720,IR,0,0,IRA720,IRA
20,35.05,2424.7762741426236,-8.24,347b2a22,3CCBB6,218,41000,344,,C55B,D-CELI,1711213316,PNA,BER,,,0,0,EUL5R,EUL
21,44.95,0.0,47.83,347afa46,151F37,352,41000,477,,GLEX,RA-73527,1711213317,AZI,VKO,RSJ9627,RS,0,0,RSJ9627,RSJ
